"Month","Mar","","Feb","",""
"Week","Current","9","8","7","6"
"Total specimens tested","63","109","136","146","131"
"Influenza A 2009 H1N1","4","8","17","35","23"
"Influenza A H3N2","5","11","16","13","10"
"Influenza B","3","14","14","20","26"
"Respiratory Syncitial Virus A","*","*","*","*","*"
"Respiratory Syncitial Virus B","*","*","*","*","*"
"Parainfluenza 1","*","*","*","*","*"
"Parainfluenza 2","*","*","*","*","*"
"Parainfluenza 3","*","*","*","*","*"
"Rhinovirus","*","*","*","*","*"
"Metapneumovirus","*","*","*","*","*"
"Adenovirus","*","*","*","*","*"
