year,epi_week,country,total_cases
2017,1,Somalia,618
2017,2,Somalia,707
2017,3,Somalia,1000
2017,4,Somalia,859
2017,5,Somalia,932
2017,6,Somalia,1005
2017,7,Somalia,1335
2017,8,Somalia,1356
2017,9,Somalia,1827
2017,10,Somalia,3319
2017,11,Somalia,2895
2017,12,Somalia,3482
2017,13,Somalia,3272
2017,14,Somalia,3445
2017,15,Somalia,3921
2017,16,Somalia,4728
2017,17,Somalia,4801
2017,18,Somalia,4398
2017,19,Somalia,3503
2017,20,Somalia,3387
2017,21,Somalia,4120
2017,22,Somalia,5037
2017,23,Somalia,4304
2017,24,Somalia,3136
2017,25,Somalia,2230
2017,26,Somalia,1827
2017,27,Somalia,1366
2017,28,Somalia,1424
2017,29,Somalia,1141
2017,30,Somalia,555
2017,31,Somalia,183
2017,32,Somalia,141
2017,33,Somalia,94
2017,34,Somalia,215
2017,35,Somalia,168
2017,36,Somalia,99
2017,37,Somalia,94
2017,38,Somalia,126
2017,39,Somalia,152
2017,40,Somalia,183
2017,41,Somalia,178
2017,42,Somalia,105
2017,43,Somalia,105
2017,44,Somalia,73
2017,45,Somalia,168
2017,46,Somalia,47
2017,47,Somalia,79
2017,48,Somalia,73
