date, country, city, cases
2017-10-07, Zambia, Lusaka, 13
2017-10-14, Zambia, Lusaka, 63
2017-10-21, Zambia, Lusaka, 57
2017-10-28, Zambia, Lusaka, 2
2017-11-04, Zambia, Lusaka, 5
2017-11-11, Zambia, Lusaka, 13
2017-11-18, Zambia, Lusaka, 49
2017-11-25, Zambia, Lusaka, 111
2017-12-02, Zambia, Lusaka, 128
2017-12-09, Zambia, Lusaka, 202
2017-12-16, Zambia, Lusaka, 227
2017-12-23, Zambia, Lusaka, 336
2017-12-30, Zambia, Lusaka, 525
2018-01-06, Zambia, Lusaka, 713
2018-01-13, Zambia, Lusaka, 639
2018-01-20, Zambia, Lusaka, 339
2018-01-27, Zambia, Lusaka, 180
2018-02-03, Zambia, Lusaka, 148
2018-02-10, Zambia, Lusaka, 112
2018-02-17, Zambia, Lusaka, 115
2018-02-24, Zambia, Lusaka, 125
2018-03-03, Zambia, Lusaka, 109
2018-03-10, Zambia, Lusaka, 158
2018-03-17, Zambia, Lusaka, 257
2018-03-24, Zambia, Lusaka, 213
2018-03-31, Zambia, Lusaka, 177
2018-04-07, Zambia, Lusaka, 133
2018-04-14, Zambia, Lusaka, 156
2018-04-21, Zambia, Lusaka, 74
2018-04-28, Zambia, Lusaka, 63
2018-05-05, Zambia, Lusaka, 33
2018-05-12, Zambia, Lusaka, 17
