"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2017-09-13T04:00Z(-7.0h, +7.0h)","8.57","----","2017-09-10T20:04Z","47.37","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2017-09-13T18:00Z","22.57","----","2017-09-11T03:25Z","40.02","Max Kp Range: -- - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2017-09-11T12:00Z(-12.0h, +12.0h)","-31.43","----","2017-09-11T08:29Z","34.95","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2017-09-12T05:00Z(-7.0h, +7.0h)","-14.43","70.0","2017-09-11T08:54Z","34.53","Max Kp Range: 4.0 - 6.0"," Other (NSSC SEPC) ","Jingjing Wang (NSSC SEPC)"," Detail"
"2017-09-13T02:00Z(-7.0h, +7.0h)","6.57","----","2017-09-11T09:42Z","33.73","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2017-09-13T02:34Z(-6.0h, +6.0h)","7.13","----","2017-09-11T11:35Z","31.85","----"," EAM (Effective Acceleration Model) ","Evangelos Paouris (UoA)"," Detail"
"2017-09-12T07:00Z(-12.0h, +12.0h)","-12.43","60.0","2017-09-11T12:07Z","31.32","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2017-09-12T08:00Z(-7.0h, +7.0h)","-11.43","50.0","2017-09-11T14:16Z","29.17","Max Kp Range: 3.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2017-09-12T01:30Z(-3.0h, +3.0h)","-17.93","----","2017-09-11T14:29Z","28.95","----","Ooty IPS ","Aleksandre Taktakishvili (GSFC)"," Detail"
"2017-09-12T16:06Z(-5.4h, +7.7h)","-3.33","13.0","2017-09-11T16:28Z","26.97","Max Kp Range: 3.0 - 4.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2017-09-12T14:49Z","-4.62","48.25","---","---","Max Kp Range: 3.75 - 5.6"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
