"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2017-09-08T18:27Z(-7.0h, +7.0h)","19.95","----","2017-09-06T17:23Z","29.12","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Barbara Thompson (GSFC)"," Detail"
"2017-09-08T17:00Z(-12.0h, +12.0h)","18.50","80.0","2017-09-06T22:40Z","23.83","Max Kp Range: 4.0 - 6.0","Other (SIDC) ","Yaireska Collado (GSFC)"," Detail"
"2017-09-08T22:00Z","23.50","----","2017-09-06T23:24Z","23.10","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Yaireska Collado (GSFC)"," Detail"
"2017-09-08T10:25Z","11.92","----","2017-09-07T02:13Z","20.28","----","SARM ","Marlon Nunez (UMA)"," Detail"
"2017-09-08T06:00Z(-3.0h, +3.0h)","7.50","80.0","2017-09-07T05:00Z","17.50","Max Kp Range: 5.0 - 8.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2017-09-08T08:00Z(-3.0h, +3.0h)","9.50","70.0","2017-09-07T05:40Z","16.83","----","DBM + ESWF ","Manuela Temmer (UNIGRAZ)"," Detail"
"2017-09-08T13:00Z(-7.0h, +7.0h)","14.50","90.0","2017-09-07T08:25Z","14.08","Max Kp Range: 5.0 - 7.0"," Other ","Jingjing Wang (NSSC SEPC)"," Detail"
"2017-09-08T07:32Z(-5.0h, +6.0h)","9.03","----","2017-09-07T08:33Z","13.95","----","DBM ","Mateja Dumbovic (UNIGRAZ)"," Detail"
"2017-09-08T10:16Z(-4.0h, +4.0h)","11.77","----","2017-09-07T09:00Z","13.50","----"," EAM (Effective Acceleration Model) ","Evangelos Paouris (UoA)"," Detail"
"2017-09-08T16:30Z(+14.0h)","18.00","----","2017-09-07T12:32Z","9.97","----"," ElEvo ","Tanja Amerstorfer (SRI)"," Detail"
"2017-09-08T15:48Z(-9.0h, +10.0h)","17.30","100.0","2017-09-07T14:53Z","7.62","Max Kp Range: 4.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Hayley Austin (CCMC)"," Detail"
"2017-09-08T13:52Z","15.37","----","2017-09-07T15:46Z","6.73","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2017-09-08T10:42Z","12.20","----","2017-09-07T15:55Z","6.58","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2017-09-08T06:00Z(-2.0h, +2.0h)","7.50","----","2017-09-07T16:30Z","6.00","----","Ooty IPS ","Aleksandre Taktakishvili (GSFC)"," Detail"
"2017-09-08T16:00Z","17.50","----","2017-09-09T12:59Z","-38.48","----","WSA-ENLIL + Cone (BoM) ","Yaireska Collado (GSFC)"," Detail"
"2017-09-08T12:46Z","14.27","84.0","---","---","Max Kp Range: 4.33333 - 6.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
