"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By",,CME,Actual Shock Arrival Time,Observed Geomagnetic Storm Parameters,Max Kp,Dst min. in nT,Dst min. time
"2013-04-13T00:40Z","-21.53","----","2013-04-11T09:42Z","60.50","----"," ESA ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-13T06:00Z","-16.20","----","2013-04-11T11:30Z","58.70","Max Kp Range: -- - 7.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-13T20:00Z","-2.20","----","2013-04-11T13:38Z","56.57","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-13T05:57Z(-7.0h, +7.0h)","-16.25","----","2013-04-11T16:00Z","54.20","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-12T10:00Z","-36.20","----","2013-04-11T16:20Z","53.87","Dst min. in nT: -143 Dst min. time: 2013-04-12T20:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-14T02:40Z(-2.0h, +2.0h)","4.47","----","2013-04-11T16:22Z","53.83","----","DBM ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-12T21:29Z","-24.72","----","2013-04-11T20:18Z","49.90","----"," STOA ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-14T03:00Z","4.80","----","2013-04-12T15:47Z","30.42","Max Kp Range: -- - 7.33Dst min. time: 2013-04-14T09:00Z ","BHV ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-13T01:00Z","-21.20","----","2013-04-12T18:26Z","27.77","Dst min. in nT: -151 Dst min. time: 2013-04-13T11:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-14T00:00Z","1.80","----","2013-04-13T04:31Z","17.68","----"," HAFv2w ","Leila Mays (GSFC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-13T10:00Z","-12.20","----","2013-04-13T08:28Z","13.73","Dst min. in nT: -139 Dst min. time: 2013-04-13T22:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-13T22:00Z","-0.20","----","2013-04-13T18:35Z","3.62","Dst min. in nT: -148 Dst min. time: 2013-04-14T08:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
"2013-04-13T10:33Z","-11.65","----","---","---","Max Kp Range: 5.5 - 7.0825"," Average of all Methods ","Auto Generated (CCMC)"," Detail",2013-04-11T073600-CME-001,2013-04-13T2212Z,,3.0,-11,2013-04-15T0300Z
