"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2013-12-15T03:38Z(-7.0h, +7.0h)","13.63","----","2013-12-12T17:09Z","44.85","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-12-15T00:00Z","10.00","----","2013-12-13T00:30Z","37.50","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-12-14T18:11Z(-16.1h, +13.9h)","4.18","----","2013-12-13T15:15Z","22.75","Max Kp Range: 2.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-12-14T23:16Z","9.27","----","---","---","Max Kp Range: 2.5 - 4.66667"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-12-07T18:00Z(-7.0h, +7.0h)","-6.00","----","2013-12-06T01:09Z","46.85","Max Kp Range: 2.0 - 4.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-12-07T13:45Z(-4.0h, +4.0h)","-10.25","----","2013-12-06T16:10Z","31.83","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-12-07T15:52Z","-8.13","----","---","---","Max Kp Range: 2.5 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-08-23T23:59Z(-7.0h, +7.0h)","0.07","----","2013-08-21T17:12Z","54.72","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-08-23T23:59Z","0.07","----","---","---","Max Kp Range: 4.0 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-08-22T23:11Z(-7.0h, +7.0h)","4.47","----","2013-08-20T12:50Z","53.88","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-08-22T23:11Z","4.47","----","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-08-20T14:00Z","-7.57","----","2013-08-18T17:00Z","52.57","Dst min. in nT: -32 Dst min. time: 2013-08-21T01:00Z ","Anemomilos ","Leila Mays (GSFC)"," Detail"
"2013-08-20T14:00Z","-7.57","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-08-05T06:00Z(-7.0h, +7.0h)","----","----","2013-08-02T07:41Z","70.32","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-08-05T04:00Z","----","----","2013-08-03T05:25Z","46.58","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-08-15T21:00Z","----","----","2013-08-12T18:52Z","74.13","Dst min. in nT: -61 Dst min. time: 2013-08-16T08:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-08-08T18:20Z","----","----","---","---","Max Kp Range: -- - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-07-15T10:00Z","----","----","2013-07-10T22:42Z","107.30","Dst min. in nT: -30 Dst min. time: 2013-07-15T21:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-07-15T10:00Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-07-12T17:53Z(-7.0h, +7.0h)","-7.12","----","2013-07-09T20:57Z","76.05","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-07-13T13:00Z","12.00","----","2013-07-10T12:17Z","60.72","Max Kp Range: 5.0 - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-07-13T11:00Z","10.00","----","2013-07-10T17:43Z","55.28","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-07-13T05:57Z","4.95","----","---","---","Max Kp Range: 4.5 - 5.66667"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-07-01T00:00Z","13.33","----","2013-06-28T12:34Z","46.10","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-06-30T12:00Z","1.33","----","2013-06-28T17:43Z","40.95","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-06-30T12:00Z(-7.0h, +7.0h)","1.33","----","2013-06-28T19:23Z","39.28","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-07-01T14:00Z","27.33","----","2013-06-29T19:24Z","15.27","Dst min. in nT: -31 Dst min. time: 2013-07-01T23:59Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-06-30T21:30Z","10.83","----","---","---","Max Kp Range: -- - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-06-22T10:17Z(-7.0h, +7.0h)","-17.47","----","2013-06-21T15:01Z","36.73","Max Kp Range: 6.0 - 7.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-06-23T12:00Z","8.25","----","2013-06-22T12:30Z","15.25","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-06-22T23:08Z","-4.62","----","---","---","Max Kp Range: 4.5 - 5.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-05-25T17:00Z","23.42","----","2013-05-22T17:28Z","48.12","Max Kp Range: 4.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-05-23T23:26Z(-10.0h, +10.0h)","-18.15","----","2013-05-22T18:35Z","47.00","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-05-24T15:30Z","-2.08","----","2013-05-22T18:59Z","46.60","Max Kp Range: 6.0 - 7.66","BHV ","Leila Mays (GSFC)"," Detail"
"2013-05-25T12:00Z(-7.0h, +7.0h)","18.42","----","2013-05-22T19:18Z","46.28","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-05-24T09:00Z","-8.58","----","2013-05-22T21:43Z","43.87","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-05-24T20:11Z","2.60","----","---","---","Max Kp Range: 4.33333 - 5.665"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-05-19T12:00Z","-10.33","----","2013-05-17T13:07Z","57.22","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-05-19T11:59Z(-7.0h, +7.0h)","-10.35","----","2013-05-17T17:03Z","53.28","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-05-19T15:37Z(-7.0h, +7.0h)","-6.72","----","2013-05-17T23:45Z","46.58","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-05-19T20:00Z","-2.33","----","2013-05-17T23:52Z","46.47","Dst min. in nT: -33 Dst min. time: 2013-05-20T07:00Z ","Anemomilos ","Leila Mays (GSFC)"," Detail"
"2013-05-19T14:00Z","-8.33","----","2013-05-18T00:30Z","45.83","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-05-18T20:55Z(-10.0h, +10.0h)","-25.42","----","2013-05-18T07:51Z","38.48","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-05-19T11:45Z","-10.58","----","---","---","Max Kp Range: 5.0 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-10-28T06:00Z","-25.17","----","2013-10-25T21:15Z","81.92","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-10-26T23:53Z(-10.0h, +10.0h)","-55.28","----","2013-10-26T00:21Z","78.82","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-10-28T00:00Z","-31.17","----","2013-10-26T13:46Z","65.40","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-10-28T04:00Z(-7.0h, +7.0h)","-27.17","----","2013-10-27T00:18Z","54.87","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2013-10-27T20:28Z","-34.70","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-04-13T00:40Z","-21.53","----","2013-04-11T09:42Z","60.50","----"," ESA ","Leila Mays (GSFC)"," Detail"
"2013-04-13T06:00Z","-16.20","----","2013-04-11T11:30Z","58.70","Max Kp Range: -- - 7.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-04-13T20:00Z","-2.20","----","2013-04-11T13:38Z","56.57","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-04-13T05:57Z(-7.0h, +7.0h)","-16.25","----","2013-04-11T16:00Z","54.20","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-04-12T10:00Z","-36.20","----","2013-04-11T16:20Z","53.87","Dst min. in nT: -143 Dst min. time: 2013-04-12T20:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-04-14T02:40Z(-2.0h, +2.0h)","4.47","----","2013-04-11T16:22Z","53.83","----","DBM ","Leila Mays (GSFC)"," Detail"
"2013-04-12T21:29Z","-24.72","----","2013-04-11T20:18Z","49.90","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-04-14T03:00Z","4.80","----","2013-04-12T15:47Z","30.42","Max Kp Range: -- - 7.33Dst min. time: 2013-04-14T09:00Z ","BHV ","Leila Mays (GSFC)"," Detail"
"2013-04-13T01:00Z","-21.20","----","2013-04-12T18:26Z","27.77","Dst min. in nT: -151 Dst min. time: 2013-04-13T11:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-04-14T00:00Z","1.80","----","2013-04-13T04:31Z","17.68","----"," HAFv2w ","Leila Mays (GSFC)"," Detail"
