"","E Week","2","","Cumulativ","e first","2Weeks"
"","2018*","2017","Median 2013 -2017","2018","2017","Median2013 -2017"
"FOOD/WATER-BORNE DISEASES","","","","","",""
"Acute Hepatitis A","1","0","1","2","2","3"
"Acute Hepatitis E","0","1","1","0","4","2"
"Campylobacteriosis","11","7","9","23","14","20"
"CholeraParatyphoid","0   1","0   1","0   1","0   2","0   4","0   1"
"Poliomyelitis","0","0","0","0","0","0"
"SalmonellosisTyphoid","37   1","43   4","40   2","67   2","91   7","84   4"
"VECTOR-BORNE DISEASES","","","","","",""
"Chikungunya Fever","0","0","1","0","0","2"
"Dengue Fever","68","90","228","151","160","484"
"Dengue Haemorrhagic Fever","0","1","0","0","1","1"
"Japanese Encephalitis^","0","0","NA","0","0","NA"
"Leptospirosis^","0","0","NA","1","2","NA"
"Malaria","1","0","0","3","0","1"
"Murine Typhus^","0","0","NA","0","0","NA"
"Nipah virus infection","0","0","0","0","0","0"
"Plague","0","0","0","0","0","0"
"Yellow FeverZika Virus Infection","0   0","0   0","0   NA","0   0","0   0","0   NA"
"AIR/DROPLET-BORNE DISEASES","","","","","",""
"Avian Influenza","0","0","NA","0","0","NA"
"Diphtheria","0","0","0","0","0","0"
"Ebola Virus Disease","0","0","NA","0","0","NA"
"Haemophilus influenzae type bHand, Foot And Mouth DiseaseLegionellosis","0   478   0","0   588   0","0   504   1","0   804   10","1   089   0","0   921   1"
"Measles","1","4","1","2","7","1"
"MelioidosisMeningococcal Disease","1   1","2   0","1   0","2   1","4   0","4   0"
"Mumps","13","15","13","19","21","21"
"PertussisPneumococcal Disease (invasive)","3   3","3   2","2   2","5   4","4   3","3   5"
"RubellaSevere acute respiratory syndrome","0   0","0   0","0   0","0   0","0   0","1   0"
"Tetanus^","0","0","0","0","0",""
"OTHER DISEASES","","","","","",""
"Acute hepatitis B","2","1","1","3","3","2"
"Acute hepatitis C","0","0","0","0","1","1"
"Botulism^","0","0","NA","0","0","NA"
"MERS-CoV    Suspect cases tested","2","NA","NA","44","41","NA"
"Other patients tested","1","NA","NA","18","31","NA"
"POLYCLINIC ATTENDANCES - AVERAGAcute upper respiratory infections","E DAILY NUMBER3632","2864","2864","","","NA"
"Acute conjunctivitis","93","91","92","","","NA"
"Acute DiarrhoeaChickenpox","604   17","543   17","514   NA","","","NANA"
"HIV/STI/TB NOTIFICATIONS","2017","Dec","","Cumulative","2017",""
"HIV/AIDSLegally Notifiable STIs**","25   670","","","399   8399","",""
"Tuberculosis","135","","","1560","",""

