"Country ","Date of Report ","Dengue & DHF ","Serotype ","DHF only ","Deaths  "
"Bolivia**  ","Week 52 ","539  ","Den 2  ","-  ","-  "
"Brazil  ","Week 53  ","254,109  ","Den 1,2  ","35  ","5  "
"Colombia  ","Week 53  ","24,290  ","Den 1,2  ","3,950  ","28  "
"Ecuador  ","Week 53  ","3,871  ","Den 1,2,4  ","-  ","-  "
"Paraguay  ","Week 52  ","-  ","-  ","-  ","-  "
"Peru  ","Week 53  ","1,357  ","Den 1,2  ","-  ","-  "
"Venezuela  ","Week 53  ","33,654  ","Den 1,2  ","6,300  ","43  "
"Mexico  ","Week 53  ","53,541  ","Den 1,2,3,4  ","980  ","37  "
"Costa Rica  ","Week 53  ","14,267  ","Den 1,3  ","8  ","2  "
"Guatemala  ","Week 40  ","5,385  ","Den 1,2,3,4  ","6  ","-  "
"Honduras  ","Week 53  ","11,873  ","Den 3  ","12  ","1  "
"Nicaragua  ","Week 48  ","3,126  ","-  ","68  ","-  "
"Panama  ","Week 53  ","2,628  ","Den 1  ","-  ","-  "
"Cuba  ","Week 42  ","3,012  ","Den 2  ","205  ","12  "
"Dominican Republic**  ","Week 53  ","608  ","Den 1,2,4  ","96  ","6  "
"Haiti  ","Week  ","-  ","-  ","-  ","-  "
"Puerto Rico  ","Week 53  ","6,955  ","Den 1,2,4  ","62  ","5  "
"Anguilla  ","Week 22  ","-  ","-  ","-  ","-  "
"Antigua & Barbuda  ","Week 38  ","7  ","Den 4  ","-  ","-  "
"Aruba  ","Week 1  ","-  ","-  ","-  ","-  "
"Bahamas  ","Week 38  ","-  ","-  ","-  ","-  "
"Barbados**  ","Week 47  ","199  ","Den 1,2  ","3  ","2  "
"Belize  ","Week 40  ","141  ","Den 3  ","-  ","-  "
"Bermuda  ","Week 40  ","-  ","-  ","-  ","-  "
"British Virgin Islands  ","Week 35  ","-  ","-  ","-  ","-  "
"Cayman Islands  ","Week 38  ","-  ","-  ","-  ","-  "
"Curaçao  ","Week  ","-  ","-  ","-  ","-  "
"Dominica  ","Week 26  ","-  ","Den 1,2  ","-  ","-  "
"French Guiana**  ","Week 52  ","851  ","Den 1,2  ","3  ","-  "
"Guadaloupe  ","Week 6  ","-  ","-  ","-  ","-  "
"Guyana  ","Week 40  ","   ","-  ","-  ","-  "
"Jamaica  ","Week 53  ","16  ","-  ","-  ","-  "
"Martinique  ","Week 35  ","235  ","Den 1  ","15  ","3  "
"Montserrat  ","Week 18  ","   ","Den 1  ","-  ","-  "
"St. Christopher/Nevis  ","Week 36  ","-  ","-  ","-  ","-  "
"St. Lucia  ","Week 34  ","12  ","-  ","1  ","-  "
"St. Vincent & Grenadines  ","Week 36  ","3  ","Den 1  ","-  ","-  "
"Suriname  ","Week 32  ","90  ","-  ","-  ","-  "
"Trinidad & Tobago  ","Week 41  ","784  ","Den 1,2  ","39  ","9  "
"Total ","   ","421,998  ","   ","11,783  ","153  "
