"1Argentina  ","Week 52 ","214"," ","0.57 ","DEN 1, 3 ","0"," ","0"," ","37,448"," "
"1Bolivia***  ","Week 52 ","892"," ","74.33 ","DEN 1, 2 ","1"," ","1"," ","1,200"," "
"1Brazil ","Week 52 ","780,644"," ","452.39 ","DEN 1, 2, 3 ","2,607"," ","145"," ","172,559"," "
"1Chile (Easter Island only)  ","Week 52 ","636"," ","-- ","DEN 1 ","0"," ","0"," ","4"," "
"1Colombia  ","Week 52 ","76,996"," ","210.30 ","DEN 1, 3, 4 ","5,269"," ","27"," ","36,613"," "
"1Costa Rica***  ","Week 52 ","12,251"," ","314.53 ","DEN 1, 2 ","27"," ","0"," ","3,895"," "
"1Cuba ","Week 52 ","3,011"," ","26.75 ","-- ","12"," ","1"," ","11,254"," "
"1Dominican Republic ","Week 52 ","3,194"," ","37.60 ","DEN 2 ","76"," ","14"," ","8,495"," "
"1Ecuador ","Week 32 ","5,833"," ","45.29 ","DEN 2, 3 ","158"," ","0"," ","12,880"," "
"1Guatemala ","Week 52 ","7,599"," ","65.02 ","DEN 2, 3, 4 ","47"," ","6"," ","11,687"," "
"1Honduras  ","Week 52 ","32,269"," ","490.78 ","DEN 2, 3, 4 ","863"," ","17"," ","6,575"," "
"1Mexico*  ","Week 52 ","9,844"," ","9.81 ","DEN 1, 2 (98%), 3 ","1,429"," ","6"," ","100,368"," "
"1Nicaragua ","Week 52 ","2,157"," ","41.42 ","DEN 1, 2, 4 ","157"," ","12"," ","5,208"," "
"1Panama ","Week 52 ","711"," ","24.53 ","DEN 2 ","5"," ","0"," ","2,899"," "
"1Paraguay ","Week 52 ","1,871"," ","33.20 ","DEN 1, 2, 3 ","0"," ","0"," ","5,636"," "
"1Peru ","Week 52 ","8,875"," ","34.01 ","DEN 1, 3 ","13"," ","1"," ","26,093"," "
"3Puerto Rico ","Week 52 ","2,906"," ","73.53 ","DEN 2, 3 ","23"," ","1"," ","3,952"," "
"1Venezuela ","Week 52 ","37,676"," ","152.96 ","DEN 2, 3, 4 ","2,979"," ","1"," ","24,632"," "
"3Anguilla ","Week 52 ","5"," ","41.67 ","DEN 2 (12%), 3 (87%) ","0"," ","--"," ","12"," "
"3Antigua & Barbuda*  ","Week 52 ","5"," ","7.69 ","DEN 3 ","0"," ","--"," ","65"," "
"3Aruba ","Week 52 ","25"," ","... ","-- ","--"," ","--"," ","104"," "
"3Bahamas ","Week 52 ","0"," ","0 ","-- ","0"," ","--"," ","308"," "
"3Barbados ","Week 52 ","740"," ","276.12 ","DEN 3 ","0"," ","--"," ","268"," "
"3Belize*  ","Week 52 ","41"," ","16.40 ","DEN 2 ","0"," ","--"," ","250"," "
"3Bermuda ","Week 52 ","0"," ","0.00 ","-- ","0"," ","--"," ","63"," "
"3British Virgin Islands*  ","Week 52 ","0"," ","0.00 ","-- ","0"," ","--"," ","24"," "
"3Cayman Islands ","Week 52 ","1"," ","2.50 ","-- ","0"," ","--"," ","40"," "
"1Curaçao ","Week 01 ","--"," ","0.00 ","-- ","--"," ","--"," ","217"," "
"3Dominica*  ","Week 48 ","0"," ","0.00 ","-- ","0"," ","--"," ","71"," "
"4French Guiana ","Week 52 ","280"," ","164.71 ","DEN 3 ","0"," ","--"," ","170"," "
"3Grenada*  ","Week 52 ","84"," ","89.36 ","DEN 3 ","3"," ","--"," ","94"," "
"4Guadaloupe ","Week 52 ","93"," ","21.58 ","-- ","0"," ","--"," ","431"," "
"3Guyana ","Week 52 ","202"," ","26.47 ","DEN 3 ","2"," ","--"," ","763"," "
"3Jamaica ","Week 52 ","90"," ","3.46 ","-- ","0"," ","--"," ","2,598"," "
"4Martinique ","Week 52 ","392"," ","101.55 ","DEN 3 ","0"," ","--"," ","386"," "
"3St. Kitts/Nevis*  ","Week 52 ","20"," ","52.63 ","DEN 2 ","0"," ","--"," ","38"," "
"3St. Lucia*  ","Week 52 ","51"," ","34.23 ","DEN 3 ","0"," ","--"," ","149"," "
"3St. Vincent & Grenadines*  ","Week 52 ","125"," ","109.65 ","DEN 3 ","2"," ","--"," ","114"," "
"3Suriname ","Week 52 ","1,104"," ","263.48 ","DEN 3 ","23"," ","--"," ","419"," "
"3Trinidad & Tobago ","Week 52 ","6,246"," ","480.46 ","DEN 2 (15%), 3 (85%) ","273"," ","12"," ","1,300"," "
"3Turks & Caicos Islands ","Week 52 ","0"," ","0.00 ","-- ","0"," ","--"," ","17"," "
