"***United States","IWeek 52","488","","","","","","","","",""
"Subtotal ","","488","","","","","","","","",""
"gBelize","Week 52","40","17.32","","0.00","DEN 1","0","0","231","0.00","0.00"
"Costa Rica**","Week 52 ","26,440","815.04","","0.00","DEN 1,2","318","8","3,244","1.20","2.52"
"El Salvador","Week 52 ","12,476","195.03","6,181","96.62","DEN 1, 2","100","0","6,397","0.00","0.00"
"Guatemala","Week 52 ","5,886","50.36","580","4.96","DEN 1,2,4","21","4","11,687","0.36","19.05"
"Honduras","Week 52 ","33,508","444.58","2,128","28.23","DEN 1, 2, 4","4,180","16","7,537","12.47","0.38"
"gMexico","Week 52 ","48,436","48.26","40,559","40.41","DEN 1,2,3,4","7,897","10","100,368","16.30","0.13"
"gNicaragua","Week 52","1,415","27.17","1,132","21.74","DEN 1,2,3","151","12","5,208","10.67","7.95"
"Panama","Week 52 ","3,402","117.35","","0.00","DEN 3","3","0","2,899","0.09","0.00"
"Subtotal ","","131,603","","50,580","","","12,670","50","","",""
"Bolivia**","Week 52","7,332","366.60","2,142","107.10","DEN 2,3","109","1","2,000","1.49","0.92"
"Colombia ","Week 52 ","43,227","212.65","11,915","58.61","DEN 1,2,3,4","4,665","20","20,328","10.79","0.43"
"Ecuador","Week 52","10,587","78.96","3,375","25.17","DEN 1,3,4","334","5","13,408","3.15","1.50"
"Peru","Week 52 ","6,907","14.19","1,801","6.90","DEN 1,2,3,4","35","2","26,095","0.51","5.71"
"Venezuela","Week 52","80,646","293.46","48,186","175.34","DEN 1,2,3,4","6,461","","27,481","8.01","0.00"
"Subtotal ","","148,699","","67,419","","","11,604","28","","",""
"Argentina","Week 52 ","173","0.46","49","0.13","DEN 2,3","0","0","37,448","0.00","0.00"
"Brazil","Week 52 ","559,954","295.75","210,580","111.22","DEN 1,2,3","1,541","158","189,335","0.28","10.25"
"hChile ","Week 52","28","0.62","28","0.62","DEN 1","0","0","4,537","0.00","0.00"
"Paraguay","Week 43","28,182","500.02","6,137","108.89","DEN 3","55","17","5,636","0.20","30.91"
"Uruguay***","Week 52 ","0","0.00","","0.00","DEN","0","0","3,385","0.00","0.00"
"fCuba ","Week 43","28","0.25","","0.00","","","","11,254","…","…"
"Dominican Republic","Week 52","9,628","113.34","6,069","71.44","DEN 1,2,3,4","225","47","8,495","2.34","20.89"
"Puerto Rico","Week 52 ","11,012","278.64","3,111","78.72","DEN 1,2,3,4","48","9","3,952","0.44","18.75"
"Subtotal ","","20,668","","9,180","","","273","56","","",""
"Country or Subregion","aWeek","Clinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","d Serotype(%)","eDHF","Deaths","PopulationX 1000","(DHF/D) x100","CFR"
"American Virgin islands","Week 52","73","0.00","","0.00","DEN","0","0","","",""
"Anguilla","Week 52","0","0.00","","0.00","DEN","0","0","12","0.00","0.00"
"Antigua & Barbuda","Week 52","0","0.00","","0.00","DEN","0","0","65","0.00","0.00"
"Aruba","Week 52","0","0.00","","0.00","DEN","0","0","104","0.00","0.00"
"Bahamas","Week 52","0","0.00","","0.00","DEN","0","0","308","0.00","0.00"
"Barbados","Week 52","0","0.00","","0.00","DEN","0","0","268","0.00","0.00"
"Bermuda","Week 52","0","0.00","","0.00","DEN","0","0","63","0.00","0.00"
"British Virgin Islands","Week 52","6","25.00","","0.00","DEN 3","0","0","24","0.00","0.00"
"Cayman Islands","Week 52","10","25.00","","0.00","DEN 2,4","","","40","0.00","0.00"
"Curacao","Week 52","","0.00","","0.00","DEN","","","217","0.00","0.00"
"Dominica","Week 52","111","156.34","","0.00","DEN 2,4","1","0","71","0.00","0.00"
"gFrench Guiana","Week 52","661","388.82","","0.00","DEN 1,2,3","0","0","170","0.00","0.00"
"Grenada","Week 52","0","0.00","","0.00","DEN 4","0","0","94","0.00","0.00"
"g****Guadaloupe","Week 52","3,266","757.77","","0.00","DEN 1,2,3,4","104","4","431","3.18","3.85"
"gGuyana","Week 52","201","26.34","","0","DEN 2,3","1","0","763","0","0"
"fHaiti","","","","","","","","","","",""
"Jamaica","Week 52 ","1,448","55.74","","0.00","DEN 2,4","0","0","2,598","",""
"g****Martinique","Week 52","5,082","1,316.58","","0.00","DEN 1,2,3,4","164","4","386","3.23","2.44"
"Montserrat","Week 52","0","0.00","","0.00","DEN","0","0","8","0.00","0.00"
"St. Kitts & Nevis","Week 41","0","0.00","","0.00","DEN 3","0","0","38","0.00","0.00"
"St. Lucia","Week 52","39","26.17","","0.00","DEN 2,3,4","0","0","149","0.00","0.00"
"St. Vincent & the Grenadine","sWeek 52","2","1.75","","0.00","DEN","0","0","114","0.00","0.00"
"Suriname","Week 52","41","9.79","","0.00","DEN 2","0","0","419","0.00","0.00"
"Trinidad & Tobago","Week 52","47","3.62","","0.00","DEN 3","0","0","1,300","0.00","0.00"
"Subtotal ","","10,987","","0","","","270","8","","",""
"TOTAL","","    900,782","","343,973","","","   26,413","                   317","500,000","",""
