"Country or Subregion","aWeek","bSuspected","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","37","0","0.00","0","0","","0","0","0","0","0.00"
"fUnited States","37","141","0.04","141","0.04","DEN","0","0","325,128","0","0.00"
"Subtotal","","141","0.04","141","","","0","0","      325,128","","0.00"
"Belize","29","15","4.31","4","1.15","DEN","0","0","348","0.00","0.00"
"Costa Rica","34","4,254","85.05","0","0.00","DEN 1,2","0","0","5,002","0.00","0.00"
"El Salvador","37","2,977","47.66","148","2.37","DEN 2","2","0","6,246","0.07","0.00"
"Guatemala","33","2,280","14.03","386","2.37","DEN 1,2,3,4","15","0","16,255","0.66","0.00"
"Honduras","37","4,380","50.22","0","0.00","DEN 1,2,3","82","0","8,721","1.87","0.00"
"gMexico","37","41,555","33.18","6,248","4.99","DEN 1,2,3","210","17","125,236","0.51","0.04"
"Nicaragua","37","50,508","807.22","1,888","30.17","DEN 2","0","2","6,257","0.00","0.00"
"Panama","35","5,152","129.19","2,375","59.55","DEN 1,2","9","0","3,988","0.17","0.00"
"Subtotal","","111,121","64.59","11,049","6.42","","318","19","172,053","0.29","0.02"
"Bolivia","37","7,910","71.75","845","7.66","DEN","70","2","11,025","0.88","0.03"
"Colombia","37","20,769","41.93","5,446","11.00","DEN 1,2,3,4","222","37","49,529","1.07","0.18"
"hEcuador","36","10,557","65.06","10,557","65.06","DEN","13","4","16,226","0.12","0.04"
"Peru","37","72,702","233.31","24,442","78.44","DEN 2,3","232","82","31,161","0.32","0.11"
"Venezuela","31","4,929","15.89","860","2.77","DEN","19","0","31,028","0.39","0.00"
"Subtotal","","116,867","84.10","42,150","30.33","","556","125","138,969","0.48","0.11"
"iArgentina ","36","305","0.72","253","0.60","DEN 1,3","0","0","42,155","0.00","0.00"
"Brazil","35","219,040","107.55","0","0.00","DEN 1,2,3,4","184","88","203,657","0.08","0.04"
"kChile","26","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.00"
"Paraguay","36","1,374","19.54","311","4.42","DEN 1","0","0","7,033","0.00","0.00"
"Uruguay","37","0","0.00","0","0.00","","0","0","3,430","0.00","0.00"
"Subtotal","","220,724","80.50","569","0.21","","184","88","274,199","0.03","0.04"
"Cuba","25","270","2.40","270","2.40","DEN 2,3","0","0","11,249","0.00","0.00"
"Dominican Republic","36","882","8.28","18","0.17","DEN","53","1","10,652","6.01","0.11"
"jPuerto Rico ","37","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.00"
"Subtotal","","1,161","4.54","297","1.16","","53","1","25,581","2.67","0.09"
"American Virgin Islands","37","1","0.96","1","0.96","DEN","0","0","104","0.00","0.00"
"Anguilla","28","18","112.50","2","12.50","DEN","0","0","16","0.00","0.00"
"Country or Subregion","aWeek","bSuspected","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Antigua & Barbuda","28","1","1.09","0"," 0.00","DEN","0","0","92","0.00","0.00"
"Aruba","26","688","614.29","9","8.04","DEN","0","0","112","0.00","0.00"
"Bahamas","28","4","1.03","0","0.00","DEN","0","0","388","0.00","0.00"
"Barbados","28","192","65.98","29","9.97","DEN","0","0","291","0.00","0.00"
"Bermuda","28","0","0.00","0","0.00","","0","0","70","0.00","0.00"
"Bonaire, Saba and St. Eustatiu","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"British Virgin Islands","32","42","127.27","42","127.27","DEN","0","0","33","0.00","0.00"
"Cayman Islands","28","23","41.07","0","0.00","DEN","0","0","56","0.00","0.00"
"Curacao","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"Dominica","28","31","41.89","0","0.00","DEN","0","0","74","0.00","0.00"
"French Guiana","26","455","190.38","0","0.00","DEN","0","0","239","0.00","0.00"
"Grenada","28","80","72.07","80","72.07","DEN","0","0","111","0.00","0.00"
"Guadaloupe","30","455","110.71","0","0.00","DEN","0","0","411","0.00","0.00"
"Haiti","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"Jamaica","35","73","2.60","14","0.50","DEN 3","0","0","2,813","0.00","0.00"
"Martinique","30","72","18.09","1","0.25","DEN 2","0","0","398","0.00","0.00"
"Montserrat","28","0","0.00","0","0.00","","0","0","5","0.00","0.00"
"St. Bartolome","30","35","388.89","0","0.00","DEN","0","0","9","0.00","0.00"
"St. Kitts & Nevis","28","7","13.46","0","0.00","DEN","0","0","52","0.00","0.00"
"St. Lucia","24","14","8.54","14","8.54","DEN","0","0","164","0.00","0.00"
"St. Martin","30","157","382.93","0","0.00","DEN","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","28","3","2.91","0","0.00","DEN","0","0","103","0.00","0.00"
"Suriname","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"Trinidad & Tobago","32","206","15.29","0","0.00","DEN","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands","24","157","314.00","157","314.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","2,719","34.92","349","4.48","","0","0","7,787","0.00","0.00"
"TOTAL","","             452,733","47.97","         54,555","","","         1,111","                  233","943,717","0.25","0.051"
