"Year","Week","Country.or.Subregion","Probable","Lab.Confirm","Severe.Dengue","Deaths","New.Serotype","Cumul.Serotype","Population.x.1000"
"2017","Week 25 - Week 26","Canada",0,0,0,0,NA,NA,NA
"2017","Week 25 - Week 26","United States",3,0,0,0,NA,"DEN",325128
"2017","Week 00 - Week 00","Belize",NA,NA,NA,NA,NA,NA,348
"2017","Week 25 - Week 26","Costa Rica",484,NA,0,0,NA,"DEN 1,2",5002
"2017","Week 25 - Week 26","El Salvador",105,4,-2,0,NA,"DEN 2",6426
"2017","Week 17 - Week 24","Guatemala",502,132,NA,0,"DEN 1","DEN 1,2",16255
"2017","Week 25 - Week 26","Honduras",225,0,1,0,"DEN 1,2,3","DEN 1, 2, 3",8721
"2017","Week 24 - Week 26","Mexico",770,381,105,0,NA,"DEN 1,2,3",125236
"2017","Week 25 - Week 26","Nicaragua",1542,3,NA,0,NA,"DEN",6257
"2017","Week 25 - Week 25","Panama",0,0,0,0,NA,"DEN 1,2",3988
"2017","Week 20 - Week 20","Bolivia",0,NA,0,NA,NA,NA,11025
"2017","Week 25 - Week 26","Colombia",1032,0,-5,0,NA,"DEN",49529
"2017","Week 23 - Week 26","Ecuador",797,797,0,0,NA,"DEN",16226
"2017","Week 25 - Week 26","Peru",607,437,6,1,NA,"DEN 2,3",31161
"2017","Week 17 - Week 17","Venezuela",0,0,0,0,NA,"DEN",31028
"2017","Week 25 - Week 26","Argentina",-147,0,0,0,NA,"DEN 1",42155
"2017","Week 19 - Week 25","Brazil",47797,NA,0,0,NA,"DEN",203657
"2017","Week 25 - Week 26","Chile",0,0,0,0,NA,"DEN 2",17924
"2017","Week 23 - Week 26","Paraguay",72,10,NA,0,NA,"DEN 1",7033
"2017","Week 25 - Week 26","Uruguay",0,0,0,0,NA,NA,3430
"2017","Week 25 - Week 25","Cuba",0,NA,NA,NA,NA,"DEN 2,3",11249
"2017","Week 24 - Week 26","Dominican Republic",66,NA,7,0,NA,"DEN",10652
"2017","Week 25 - Week 26","Puerto Rico",0,0,0,0,NA,"DEN 2",3680
"2017","Week 19 - Week 19","American Virgin Islands",0,0,0,0,NA,"DEN",104
"2017","Week 12 - Week 12","Anguilla",0,0,0,0,NA,"DEN",16
"2017","Week 16 - Week 16","Antigua & Barbuda",0,0,0,0,NA,"DEN",92
"2017","Week 22 - Week 22","Aruba",0,0,0,0,NA,"DEN",112
"2017","Week 12 - Week 12","Bahamas",0,0,0,0,NA,NA,388
"2017","Week 12 - Week 12","Barbados",0,0,0,0,NA,"DEN",291
"2017","Week 16 - Week 16","Bermuda",0,0,0,0,NA,NA,70
"2017","Week 12 - Week 12","British Virgin Islands",0,0,0,0,NA,"DEN",33
"2017","Week 16 - Week 16","Cayman Islands",0,0,0,0,NA,"DEN",56
"2017","Week 00 - Week 00","Curacao",0,0,0,0,NA,NA,148
"2017","Week 08 - Week 08","Dominica",0,0,0,0,NA,"DEN",74
"2017","Week 17 - Week 17","French Guiana",0,0,0,0,NA,NA,239
"2017","Week 16 - Week 16","Grenada",0,0,0,0,NA,"DEN",111
"2017","Week 22 - Week 22","Guadaloupe",0,0,0,0,NA,NA,411
"2017","Week 00 - Week 00","Guyana",NA,NA,0,0,NA,NA,808
"2017","Week 00 - Week 00","Haiti",NA,NA,0,0,NA,NA,10604
"2017","Week 24 - Week 26","Jamaica",8,0,-2,0,NA,"DEN",2813
"2017","Week 22 - Week 22","Martinique",0,0,0,0,NA,NA,398
"2017","Week 16 - Week 16","Montserrat",0,0,0,0,NA,NA,5
"2017","Week 00 - Week 00","Netherlands Antilles",NA,NA,0,0,NA,NA,225
"2017","Week 22 - Week 22","St. Bartolome",0,0,0,0,NA,NA,9
"2017","Week 00 - Week 00","St. Kitts & Nevis",NA,NA,0,0,NA,NA,52
"2017","Week 12 - Week 12","St. Lucia",0,0,0,0,NA,"DEN",164
"2017","Week 22 - Week 22","St. Martin",0,0,0,0,NA,NA,41
"2017","Week 16 - Week 16","St. Vincent & the Grenadines",0,0,0,0,NA,NA,103
"2017","Week 00 - Week 00","Suriname",NA,NA,0,0,NA,NA,548
"2017","Week 19 - Week 19","Trinidad & Tobago",0,0,0,0,NA,"DEN",1347
"2017","Week 16 - Week 16","Turks & Caicos Islands",0,0,0,0,NA,"DEN",50
