"Country.or.Subregion","Week","Probable","Lab.Confirm","Serotype","Severe.Dengue","Deaths","Population.x.1000"
"Canada","41",0,0,NA,0,0,0
"United States of America","41",190,190,"DEN",0,0,325128
"Belize","38",2626,18,"DEN",2,0,348
"Costa Rica","39",4773,0,"DEN 1,2",0,0,5002
"El Salvador","41",3413,174,"DEN 2",5,0,6246
"Guatemala","39",3081,1010,"DEN 1,2,3,4",33,13,16255
"Honduras","41",4639,0,"DEN 1,2,3",94,0,8721
"Mexico","41",58697,9251,"DEN 1,2,3",262,17,125236
"Nicaragua","41",54025,2014,"DEN 2",0,2,6257
"Panama","37",5540,2539,"DEN 1,2",12,0,3988
"Bolivia","41",8712,852,"DEN",72,2,11025
"Colombia","41",22476,6104,"DEN 1,2,3,4",227,44,49259
"Ecuador","41",10909,10929,"DEN",15,4,16226
"Peru","41",73766,25022,"DEN 2,3",238,82,31161
"Venezuela","31",4929,860,"DEN",19,0,31028
"Argentina","40",549,253,"DEN 1,3",0,0,42155
"Brazil","35",219040,0,"DEN 1,2,3,4",184,88,203657
"Chile","38",10,10,"DEN 1,3",0,0,17924
"Paraguay","39",1417,315,"DEN 1",0,0,7033
"Uruguay","41",0,0,NA,0,0,3430
"Cuba","25",270,270,"DEN 2,3",0,0,11249
"Dominican Republic","40",1036,18,"DEN",65,1,10652
"Puerto Rico","41",9,9,"DEN 2",0,0,3680
"American Virgin Islands","41",1,1,"DEN",0,0,104
"Anguilla","36",19,2,"DEN",0,0,16
"Antigua and Barbuda","40",1,0,"DEN",0,0,92
"Aruba","32",669,401,"DEN",0,0,112
"Bahamas","36",4,0,"DEN",0,0,388
"Barbados","36",309,309,"DEN",0,0,291
"Bermuda","36",0,0,NA,0,0,70
"Bonaire, Saba and St. Eustatius","0",0,0,NA,0,0,0
"British Virgin Islands","32",42,42,"DEN",0,0,33
"Cayman Islands","40",23,0,"DEN",0,0,56
"Curacao","0",0,0,NA,0,0,0
"Dominica","28",33,0,"DEN",0,0,74
"French Guiana","37",625,0,"DEN",0,0,239
"Grenada","36",120,120,"DEN",0,0,111
"Guadaloupe","30",455,0,"DEN",0,0,411
"Haiti","0",0,0,NA,0,0,0
"Jamaica","38",70,14,"DEN 3",0,0,2813
"Martinique","30",72,1,"DEN 2",0,0,398
"Montserrat","40",0,0,NA,0,0,5
"Saint Barthelemy","30",35,0,"DEN",0,0,9
"Saint Kitts and Nevis","28",9,0,"DEN",0,0,52
"Saint Lucia","32",28,28,"DEN",0,0,164
"Saint Martin","30",157,0,"DEN",0,0,41
"Saint Vincent and the Grenadines","36",3,0,"DEN",0,0,103
"Suriname","0",0,0,NA,0,0,0
"Trinidad and Tobago","39",220,3,"DEN",0,0,1347
"Turks and Caicos Islands","36",201,201,"DEN",0,0,50
