"ENTIDAD","TOTAL","TASA*","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGT","SEP","OCT","NOV","DIC"
"Aguascalientes","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","72","4.90","0","0","0","0","0","0","0","0","0","0","0","72"
"Baja California Sur","675","242.00","0","7","0","7","1","7","57","44","96","107","253","96"
"Campeche","27","5.00","3","1","0","0","1","0","0","1","0","1","3","17"
"Coahuila","18","1.00","0","0","0","0","0","0","0","1","4","6","7","0"
"Colima","972","230.20","31","33","28","40","22","5","14","19","84","225","266","205"
"Chiapas","208","8.70","12","3","3","13","1","20","46","47","16","27","13","7"
"Chihuahua","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Guanajuato","1","0.00","0","0","0","0","0","0","0","0","0","1","0","0"
"Guerrero","388","15.80","1","0","6","1","11","8","40","3","0","43","137","138"
"Hidalgo","36","1.90","0","0","0","0","0","0","0","0","24","11","1","0"
"Jalisco","983","19.30","28","13","4","14","12","0","0","44","60","323","372","113"
"México","3","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Michoacán","272","8.5","23","27","12","14","16","5","6","22","36","52","59","0"
"Morelos","11","0.90","0","0","0","2","3","0","0","0","0","2","4","0"
"Nayarit","1074","125.60","0","4","0","3","1","11","25","39","74","270","232","415"
"Nuevo León","2036","64.60","83","2","2","0","5","0","2","0","43","202","1284","413"
"Oaxaca","635","24.7","63","1","1","1","0","2","0","2","5","279","92","189"
"Puebla","3405","88.70","9","5","4","0","0","22","344","364","2117","481","0","59"
"Querétaro","52","5.80","0","0","0","0","0","0","1","0","28","10","0","13"
"Quintana Roo","36","10.4","1","4","6","3","4","3","1","1","7","6","0","0"
"San Luis Potosí","213","11.3","5","0","0","3","0","0","2","1","78","38","74","12"
"Sinaloa","831","36.40","33","12","1","13","31","28","38","39","147","243","117","129"
"Sonora","161","8.90","0","0","0","15","8","6","0","88","0","44","0","0"
"Tabasco","85","6.50","6","1","5","4","3","2","8","5","23","11","12","5"
"Tamaulipas","261","11.5","0","0","0","0","0","0","2","0","0","243","8","8"
"Tlaxcala","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","7219","112.00","16","13","26","15","18","52","310","993","3353","1998","357","68"
"Yucatán","34","2.8","4","4","0","2","3","6","4","0","4","4","3","0"
"Zacatecas","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","19708","24.6","318","130","98","150","140","177","900","1713","6199","4630","3294","1959"

