"ENTIDAD","TOTAL","TASA*","ENE","FEB","MAR","ABR","MAYO","JUN","JUL","AGT","SEP","OCT","NOV","DIC"
" Aguascalientes","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Baja California","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Baja California Sur","75","24.8","3","20","3","9","8","9","1","4","1","5","6","6"
" Campeche","142","24.8","0","5","4","11","6","4","9","16","22","24","26","15"
" Coahuila","1","0.1","0","0","0","0","0","0","0","0","1","0","0","0"
" Colima","840","203.7","42","15","8","22","15","14","14","42","107","139","213","209"
" Chiapas","345","13.9","4","6","2","5","6","6","43","34","75","79","28","57"
" Chihuahua","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Distrito Federal","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Durango","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Guanajuato","3","0.1","0","0","0","0","3","0","0","0","0","0","0","0"
" Guerrero","1348","53.6","24","47","46","51","7","44","70","136","281","241","237","164"
" Hidalgo","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Jalisco","1927","37.6","8","9","9","14","9","91","132","384","549","338","295","89"
" México","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Michoacán","230","6.9","34","5","4","0","1","12","0","16","22","25","66","45"
" Morelos","626","51.0","0","0","16","3","0","4","19","36","164","231","130","23"
" Nayarit","2655","318.0","24","13","4","78","27","168","400","236","571","220","365","549"
" Nuevo León","599","19.4","2","2","9","0","0","2","2","9","43","490","25","15"
" Oaxaca","3300","125.5","347","90","26","21","38","32","65","84","1049","597","707","244"
" Puebla","190","4.8","7","29","20","8","5","7","3","16","29","31","30","5"
" Queretaro","6","0.6","0","0","0","0","0","0","1","0","1","1","2","1"
" Quintana Roo","58","15.6","3","4","1","1","3","2","4","14","9","12","2","3"
" San Luis Potosi","10","0.5","0","1","2","2","1","3","0","1","0","0","0","0"
" Sinaloa","478","20.7","43","19","36","0","3","4","11","8","28","13","159","154"
" Sonora","4","0.2","0","0","0","0","0","0","0","4","0","0","0","0"
" Tabasco","136","10.7","26","7","2","0","4","8","12","32","27","10","6","2"
" Tamaulipas","14","0.6","0","2","0","1","3","1","2","0","2","2","1","0"
" Tlaxcala","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
" Veracrúz","319","4.9","9","20","2","9","65","9","29","12","51","81","19","13"
" Yucatán","14","1.1","0","1","0","3","0","1","0","1","5","0","0","3"
" Zacatecas","51","4.1","0","0","0","0","0","0","0","0","0","0","0","51"
"TOTAL","13371","16.5","576","295","194","238","204","421","817","1085","3037","2539","2317","1648"
