"ENTIDAD","TOTAL","TASA *","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGT.","SEP.","OCT.","NOV.","DIC."
"Aguascalientes","1","0.14","0","0","0","0","0","0","0","0","0","0","1","0"
"Baja California","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","82","25.05","1","0","0","2","1","1","1","4","1","27","33","11"
"Campeche","44","7.18","1","1","2","3","20","4","3","1","2","3","3","1"
"Coahuila","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Colima","276","64.76","4","15","28","16","20","12","16","16","48","44","39","18"
"Chiapas","500","19.54","25","28","32","34","37","48","69","60","36","59","53","19"
"Chihuahua","1","0.04","0","0","0","0","0","0","0","0","0","0","0","1"
"Distrito Federal","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","2","0.14","0","0","0","0","0","0","0","0","0","0","2","0"
"Guanajuato","9","0.25","0","0","0","0","0","0","0","0","0","2","7","0"
"Guerrero","559","21.46","80","45","57","29","45","26","48","39","45","67","51","27"
"Hidalgo","390","21.11","1","0","0","0","7","6","12","179","131","53","1","0"
"Jalisco","456","8.65","8","17","1","2","0","140","42","59","34","86","54","13"
"México","3","0.02","0","1","0","0","0","1","1","0","0","0","0","0"
"Michoacán","79","2.31","13","13","8","4","2","2","1","3","0","5","25","3"
"Morelos","8","0.62","0","1","0","1","1","0","0","1","3","1","0","0"
"Nayarit","549","64.04","12","5","16","22","21","15","25","103","71","205","39","15"
"Nuevo León","149","4.65","1","0","0","1","1","0","1","6","10","28","90","11"
"Oaxaca","758","28.40","24","34","24","52","39","39","46","83","112","167","120","18"
"Puebla","198","4.78","22","9","4","17","8","33","2","37","5","13","15","33"
"Querétaro","2","0.20","0","0","1","1","0","0","0","0","0","0","0","0"
"Quintana Roo","68","16.42","1","8","4","26","2","6","3","8","3","1","2","4"
"San Luis Potosí","266","12.94","0","0","0","0","0","0","0","49","50","100","64","3"
"Sinaloa","825","34.02","13","20","4","7","1","1","10","2","46","210","337","174"
"Sonora","1","0.05","0","0","0","0","0","0","0","0","0","0","1","0"
"Tabasco","62","4.69","0","1","3","2","2","2","0","2","1","5","1","43"
"Tamaulipas","371","16.17","4","0","0","0","0","0","1","1","0","3","319","43"
"Tlaxcala","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","1450","21.33","8","6","10","25","18","30","11","86","523","276","389","68"
"Yucatán","11","0.83","0","0","7","0","0","0","0","0","4","0","0","0"
"Zacatecas","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","7120","8.45","218","204","201","244","225","366","292","739","1125","1355","1646","505"
