ESTADO,TASA,TOTAL,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,5.30,18,8,2,1,1,4,0,2,0,0,0,0,0
Campeche,5.21,33,1,4,0,0,4,1,1,1,0,15,5,1
Coahuila,3.51,69,0,0,0,0,0,0,0,0,0,58,11,0
Colima,51.05,221,44,30,16,17,3,18,10,3,11,14,22,33
Chiapas,18.66,485,24,34,37,16,39,28,116,44,22,66,32,27
Chihuahua,0.35,8,0,0,0,0,0,0,0,8,0,0,0,0
Distrito Federal,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,1.13,16,0,0,16,0,0,0,0,0,0,0,0,0
Guanajuato,0.08,3,1,0,0,0,2,0,0,0,0,0,0,0
Guerrero,23.25,616,26,67,50,40,37,13,28,52,32,82,47,142
Hidalgo,0.11,2,0,0,0,0,2,0,0,0,0,0,0,0
Jalisco,3.97,212,0,3,2,1,9,1,17,24,19,82,13,41
México,0.13,16,0,0,0,0,0,0,0,15,1,0,0,0
Michoacán,4.67,162,2,5,2,5,0,1,3,6,8,113,9,8
Morelos,0.08,1,1,0,0,0,0,0,0,0,0,0,0,0
Nayarit,65.29,567,10,2,3,3,0,67,45,38,96,96,143,64
Nuevo León,34.10,1109,9,1,1,0,0,0,0,0,76,76,782,164
Oaxaca,27.88,749,56,51,28,38,22,7,19,58,89,89,219,73
Puebla,5.32,224,81,37,26,16,13,8,12,5,3,3,13,7
Querétaro,0.10,1,0,0,0,1,0,0,0,0,0,0,0,0
Quintana Roo,7.58,33,7,7,5,6,0,2,0,4,1,1,0,0
SanLuis Potosí,20.82,435,50,18,3,0,0,3,36,0,155,155,14,1
Sinaloa,75.35,1871,64,62,36,36,20,6,38,50,96,96,744,623
Sonora,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabasco,3.49,47,6,4,11,0,0,0,0,1,1,1,20,3
Tamaulipas,77.61,1802,57,32,29,0,6,1,1,0,8,8,1227,433
Tlaxcala,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,10.71,743,85,88,25,20,21,4,48,40,136,136,95,45
Yucatán,5.40,73,1,1,9,0,0,1,61,0,0,0,0,0
Zacatecas,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,11.09,9516,533,448,300,200,182,161,437,349,754,1091,3396,1665
