"ESTADO","TASA","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","9.08","36","5","1","0","0","1","2","2","3","8","8","4","2"
"Campeche","29.12","188","5","1","1","3","5","12","14","6","42","29","51","19"
"Coahuila","24.48","542","4","0","0","1","0","7","1","5","131","276","102","15"
"Colima","635.33","3052","55","41","41","22","22","60","154","297","524","1049","626","161"
"Chiapas","10.99","414","10","12","15","27","44","50","27","17","69","78","49","16"
"Chihuahua","0.03","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Distrito Federal","0.09","7","6","0","0","0","0","0","0","0","0","0","0","1"
"Guanajuato","0.07","3","0","0","0","0","0","0","1","2","0","0","0","0"
"Guerrero","7.51","218","11","12","12","11","5","9","10","8","47","62","20","11"
"Hidalgo","0.56","12","1","0","0","0","0","0","0","0","1","5","5","0"
"Jalisco","4.51","284","0","1","0","1","0","0","0","0","6","69","165","42"
"México","0.06","8","0","0","0","0","0","0","2","0","6","0","0","0"
"Michoacán","4.23","164","7","11","39","12","6","0","1","16","6","25","31","10"
"Morelos","11.13","156","18","1","6","7","17","6","6","41","12","12","27","3"
"Nayarit","58.41","524","1","1","2","4","0","2","7","24","31","421","28","3"
"Nuevo León","91.42","3221","10","2","0","11","9","14","1","17","252","1599","1146","160"
"Oaxaca","15.44","528","49","19","10","10","14","9","25","172","85","76","35","24"
"Puebla","0.35","17","3","4","0","2","0","0","0","0","2","4","0","2"
"Querétaro","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","14.17","100","0","0","1","0","0","0","0","0","22","36","38","3"
"SanLuis Potosí","27.94","629","0","0","0","1","0","1","1","3","17","341","261","4"
"Sinaloa","38.50","929","11","19","10","8","6","25","69","104","131","438","101","7"
"Sonora","341.62","7126","0","0","0","0","0","0","0","73","924","5431","690","8"
"Tabasco","80.56","1394","39","24","18","7","13","38","72","62","430","462","173","56"
"Tamaulipas","299.45","7650","85","21","63","85","44","100","195","225","2130","3427","1038","237"
"Tlaxcala","0.11","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","105.22","7428","63","46","11","89","25","29","80","1382","3009","1920","612","162"
"Yucatán","29.30","450","43","17","10","4","1","4","1","13","62","134","113","48"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","37.65","35082","427","233","239","305","212","368","669","2470","7948","15902","5315","994"
