ENTIDAD,TASA *,TOTAL,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coahuila,45.7,1075,0,0,0,0,98,65,65,32,33,651,98,33
Colima,5.6,30,3,2,1,1,1,2,3,3,5,6,2,1
Chiapas,19.4,776,104,39,39,20,59,45,137,72,13,0,163,85
Chihuahua,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0
Distrito Federal,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0.3,5,0,0,0,0,0,0,0,0,0,0,5,0
Guanajuato,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,2.0,62,7,6,3,3,2,3,3,8,17,6,2,2
Hidalgo,0.3,6,0,0,0,0,0,0,0,2,1,2,0,1
Jalisco,0.8,49,0,4,16,4,21,4,0,0,0,0,0,0
México,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michoacán,0.1,3,0,0,0,0,0,0,1,1,1,0,0,0
Morelos,7.2,113,1,1,1,0,0,0,6,5,25,54,16,4
Nayarit,2.7,26,0,0,0,0,1,4,0,4,4,9,3,1
Nuevo León,301.3,11478,6,6,5,5,25,492,505,549,2466,6295,1003,121
Oaxaca,6.7,238,3,4,2,3,2,1,3,63,62,74,17,4
Puebla,2.5,128,0,0,0,0,0,0,0,2,35,27,62,2
Querétaro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintana Roo,3.5,28,3,2,2,1,1,4,2,9,3,1,0,0
San Luis Potosí,4.5,108,0,1,0,0,0,0,15,45,9,35,3,0
Sinaloa,10.7,267,0,1,0,1,1,2,3,7,53,129,61,9
Sonora,24.3,538,0,0,0,0,0,0,0,0,36,267,227,8
Tabasco,23.0,439,6,5,9,10,4,6,15,42,171,118,42,11
Tamaulipas,195.1,5266,59,30,26,130,18,11,14,75,719,2327,1259,598
Tlaxcala,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,32.7,2304,47,40,87,72,57,54,135,228,529,544,360,151
Yucatán,2.5,42,0,0,0,0,0,6,8,3,0,21,2,2
Zacatecas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,23.4,22982,239,141,191,250,290,699,915,1150,4182,10567,3325,1033
