"Estado","Tasa*","Total","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
"Aguascalientes","0.00","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Baja California","0.00","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Baja California Sur","17.07","  88","  0","  0","  0","  0","  1","  1","  0","  5","  25","  39","  13","  4"
"Campeche","10.53","  83","  1","  0","  2","  2","  5","  1","  5","  15","  18","  22","  10","  2"
"Coahuila","8.86","  228","  0","  0","  0","  0","  0","  0","  0","  1","  13","  110","  100","  4"
"Colima","232.23"," 1 390","  43","  25","  10","  2","  11","  30","  31","  53","  390","  425","  274","  96"
"Chiapas","12.00","  537","  3","  4","  14","  12","  60","  77","  62","  74","  77","  87","  51","  16"
"Chihuahua","0.00","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Distrito Federal","0.00","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Durango","7.82","  122","  0","  0","  0","  0","  0","  0","  1","  1","  2","  16","  101","  1"
"Guanajuato","0.00","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Guerrero","102.03"," 3 336","  22","  18","  31","  45","  99","  216","  352","  450","  504","  806","  660","  133"
"Hidalgo","8.80","  212","  3","  1","  2","  1","  1","  2","  1","  6","  114","  72","  9","  0"
"Jalisco","23.37"," 1 605","  0","  2","  4","  0","  4","  3","  34","  98","  248","  387","  431","  394"
"México","0.05","  7","  0","  0","  0","  0","  0","  1","  1","  1","  2","  0","  2","  0"
"Michoacán","9.81","  416","  6","  13","  6","  9","  7","  6","  21","  47","  87","  104","  83","  27"
"Morelos","139.70"," 2 425","  5","  3","  1","  3","  15","  100","  288","  428","  603","  649","  290","  40"
"Nayarit","53.49","  537","  17","  7","  17","  30","  23","  44","  40","  25","  38","  79","  166","  51"
"Nuevo León","3.09","  133","  0","  2","  3","  2","  2","  0","  14","  10","  29","  25","  41","  5"
"Oaxaca","76.66"," 2 866","  85","  63","  72","  101","  140","  115","  334","  459","  716","  477","  244","  60"
"Puebla","4.08","  228","  0","  0","  0","  1","  16","  43","  67","  49","  25","  25","  2","  0"
"Querétaro","6.75","  110","  0","  0","  0","  0","  0","  0","  0","  0","  3","  85","  22","  0"
"Quintana Roo","157.62"," 1 781","  20","  7","  15","  7","  14","  31","  128","  253","  360","  519","  277","  150"
"San Luis Potosí","11.29","  273","  0","  1","  0","  0","  11","  16","  20","  62","  93","  65","  5","  0"
"Sinaloa","14.89","  416","  5","  5","  5","  4","  5","  16","  24","  8","  46","  132","  143","  23"
"Sonora","3.41","  86","  1","  1","  0","  0","  0","  0","  0","  2","  3","  68","  10","  1"
"Tabasco","8.31","  174","  2","  1","  3","  1","  5","  7","  15","  44","  65","  21","  6","  4"
"Tamaulipas","4.72","  152","  7","  8","  13","  9","  10","  21","  40","  11","  8","  21","  3","  1"
"Tlaxcala","0.00","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Veracruz","95.57"," 6 991","  36","  12","  14","  20","  74","  226","  616","  936"," 1 814"," 2 347","  801","  95"
"Yucatán","25.40","  465","  3","  13","  5","  3","  2","  5","  11","  36","  140","  175","  52","  20"
"Zacatecas","0.00","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"TOTAL GLOBAL","22.94"," 24 661","  259","  186","  217","  252","  505","  961"," 2 105"," 3 074"," 5 423"," 6 756"," 3 796"," 1 127"
