"",,,,,,,Mes,,,,,,,
Estado,Incidencia*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,"37,90",209,1,6,2,1,1,6,2,3,6,73,72,36
Campeche,"5,85",46,0,3,1,2,2,1,12,8,11,3,2,1
Coahuila,"1,12",29,0,0,0,0,1,1,0,2,17,8,0,0
Colima,"360,57",2 139,39,33,22,71,53,62,69,90,151,501,714,334
Chiapas,"25,85",1 153,28,12,14,69,101,189,171,200,160,143,45,21
Chihuahua,"0,09",3,0,0,0,0,1,2,0,0,0,0,0,0
Distrito Federal,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,"4,21",65,0,0,0,0,4,3,1,1,1,28,27,0
Guanajuato,"0,28",14,0,0,0,0,0,0,0,9,5,0,0,0
Guerrero,"105,26",3 311,96,147,83,104,235,281,307,463,533,532,413,117
Hidalgo,"24,03",579,0,3,8,13,265,147,24,22,11,49,31,6
Jalisco,"20,54",1 430,25,30,16,7,4,4,21,185,430,483,225,0
México,"0,40",58,0,0,0,0,0,0,0,6,31,17,4,0
Michoacán,"64,51",2 566,102,51,22,78,217,95,100,370,488,441,500,102
Morelos,"357,62",5 943,31,27,49,74,466,976,1 164,975,746,891,509,35
Nayarit,"31,54",305,7,7,5,3,7,23,51,21,39,19,31,92
Nuevo León,"18,28",803,14,104,37,22,26,25,38,77,114,257,89,0
Oaxaca,"37,75",1 341,47,25,41,68,83,337,230,182,157,100,52,19
Puebla,"10,74",601,5,12,5,18,48,24,88,141,118,121,16,5
Querétaro,"0,18",3,0,0,0,0,0,0,0,0,1,2,0,0
Quintana Roo,"33,23",421,64,30,32,70,39,61,36,31,23,18,17,0
San Luis Potosí,"10,71",265,4,4,3,2,3,9,62,73,33,45,21,6
Sinaloa,"42,29",1 120,11,4,7,8,10,15,8,52,288,537,104,76
Sonora,"43,54",1 083,0,2,0,0,1,5,3,14,191,578,266,23
Tabasco,"42,65",870,33,34,36,39,47,118,93,120,105,127,87,31
Tamaulipas,"32,14",1 014,21,10,13,17,27,44,53,81,141,355,194,58
Tlaxcala,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,"28,49",2 069,237,177,87,57,101,96,210,377,261,292,129,45
Yucatán,"30,19",573,42,24,28,29,19,25,46,52,72,151,61,24
Zacatecas,"0,15",2,0,0,0,0,0,0,0,1,0,1,0,0
TOTAL GLOBAL,"26,26",28 015,807,745,511,752,1 761,2 549,2 789,3 556,4 133,5 772,3 609,1 031
