"",,,,,,Mes de ocu,rrencia,,,,,
Estado,Total,ENE,FEB,MAR,ABR,MAY JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,0,0,0,0,0,0   0,0,0,0,0,0,0
Baja California,0,0,0,0,0,0   0,0,0,0,0,0,0
Baja California Sur,519,30,10,43,9,8   9,6,5,30,69,146,154
Campeche,766,4,0,4,0,1   4,2,18,19,267,342,105
Coahuila,538,0,0,0,0,0   2,0,46,54,332,104,0
Colima,6 479,470,313,365,412,346   349,379,538,1 093,1 002,630,582
Chiapas,3 081,22,38,44,41,66   100,222,492,720,869,388,79
Chihuahua,0,0,0,0,0,0   0,0,0,0,0,0,0
Distrito Federal,0,0,0,0,0,0   0,0,0,0,0,0,0
Durango,297,0,0,2,0,0   0,0,0,5,206,80,4
Guanajuato,197,0,0,0,0,0   0,0,0,28,169,0,0
Guerrero,5 229,108,109,140,228,126   119,246,542,840,1 113,1 134,524
Hidalgo,1 319,3,6,2,6,28   139,186,444,264,162,71,8
Jalisco,55 289,674,633,243,215,135   930,2 992,13 870,15 204,9 718,8 114,2 561
México,261,0,0,1,2,22   30,50,35,41,37,32,11
Michoacán,4 740,184,189,196,129,163   134,168,637,940,1 139,547,314
Morelos,1 073,51,52,59,64,34   50,77,179,150,186,123,48
Nayarit,10 064,54,219,163,110,594   650,803,1 950,3 990,1 431,66,34
Nuevo León,612,4,10,23,7,15   13,15,32,44,238,173,38
Oaxaca,2 191,16,42,41,59,60   89,223,231,474,551,246,159
Puebla,595,3,4,19,21,34   27,83,200,111,39,44,10
Querétaro,36,0,1,1,0,0   0,0,0,2,21,11,0
Quintana Roo,790,11,8,32,41,40   61,20,52,123,175,140,87
San Luis Potosí,3 322,15,28,11,29,29   132,344,719,735,745,398,137
Sinaloa,2 439,218,114,100,94,90   50,80,108,236,767,522,60
Sonora,456,34,18,40,40,18   17,18,14,20,89,121,27
Tabasco,5 810,39,74,46,88,75   70,405,1 712,1 704,1 154,382,61
Tamaulipas,1 113,27,17,24,34,57   41,78,80,85,247,347,76
Tlaxcala,0,0,0,0,0,0   0,0,0,0,0,0,0
Veracruz,9 905,174,139,125,159,195   308,773,2 354,2 717,1 942,795,224
Yucatán,3 528,45,29,39,43,45   108,72,165,619,1 186,772,405
Zacatecas,0,0,0,0,0,0   0,0,0,0,0,0,0
TOTAL GLOBAL,120 649,2 186,2 053,1 763,1 831,2 181  3 432,7 242,24 423,30 248,23 854,15 728,5 708
