"",,,,,,,Mes de ocur,rencia,,,,,
Estado,Total,,,,,,,,,,,,
"",,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,3,0,0,0,1,0,0,0,0,0,0,1,1
Baja California,20,0,0,1,11,2,0,5,0,0,0,0,1
Baja California Sur,63,16,4,1,1,0,3,2,2,2,7,22,3
Campeche,935,14,19,14,12,24,18,30,65,89,276,285,89
Coahuila,5,0,0,0,3,0,0,1,1,0,0,0,0
Colima,373,20,22,30,30,39,40,24,37,36,46,29,20
Chiapas,665,34,20,26,39,71,57,61,100,105,94,48,10
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,12,0,1,0,0,1,2,1,1,0,6,0,0
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,710,29,19,31,37,29,51,118,109,111,98,64,14
Hidalgo,50,1,0,3,0,0,0,5,9,8,5,18,1
Jalisco,219,11,12,19,18,18,21,30,24,16,22,21,7
México,6,1,1,0,0,1,1,0,1,0,0,0,1
Michoacán,577,35,34,48,34,46,28,49,56,45,108,79,15
Morelos,767,13,18,9,11,26,54,52,123,124,215,82,40
Nayarit,54,0,0,2,5,4,6,3,7,8,13,4,2
Nuevo León,715,26,46,80,46,57,69,88,50,63,79,90,21
Oaxaca,950,5,24,31,25,65,85,128,171,125,147,124,20
Puebla,174,5,10,17,12,25,15,22,23,17,20,6,2
Querétaro,76,0,0,0,1,0,0,1,20,46,8,0,0
Quintana Roo,1 762,7,10,24,31,43,36,132,199,401,560,259,60
San Luis Potosí,81,7,1,5,10,6,10,6,11,18,7,0,0
Sinaloa,91,4,4,4,8,11,5,13,20,11,4,7,0
Sonora,87,6,0,10,8,16,10,10,7,9,6,5,0
Tabasco,321,2,14,10,10,15,10,6,38,62,81,51,22
Tamaulipas,85,4,7,4,5,5,7,12,8,14,13,5,1
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,1 257,15,13,16,18,21,16,79,154,340,316,222,47
Yucatán,5 366,47,24,14,9,16,17,45,173,855,1 970,1 506,690
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL GLOBAL,15 424,302,303,399,385,541,561,923,1 409,2 505,4 101,2 928,1 067
