"",,,,,,Mes de,ocurrencia,,,,,,
Estado,,,,,,,,,,,,,Total
"",Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,
Aguascalientes,0,0,0,0,0,0,0,0,2,22,0,0,24
Baja California,0,2,0,2,0,2,4,10,29,200,108,8,365
Baja California Sur,35,8,1,6,8,8,14,22,73,225,128,43,571
Campeche,147,85,119,107,237,447,322,351,136,91,102,51,2 195
Coahuila,1,2,2,2,0,4,1,8,8,19,19,1,67
Colima,169,208,282,435,896,1 485,755,1 252,327,96,107,40,6 052
Chiapas,144,89,99,146,316,366,194,234,158,184,184,158,2 272
Chihuahua,0,0,0,0,0,0,0,1,12,12,1,0,26
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,1,2,2,0,19,72,26,4,0,126
Guanajuato,0,0,0,0,0,0,0,0,0,1,2,0,3
Guerrero,395,499,510,386,310,278,365,289,101,55,180,218,3 586
Hidalgo,0,0,1,2,2,20,9,7,11,8,6,5,71
Jalisco,73,36,25,87,135,371,484,1 172,1 592,3 043,1 364,371,8 753
México,0,0,0,0,0,87,4,40,0,0,0,0,131
Michoacán,59,36,59,110,149,185,685,646,462,359,425,167,3 342
Morelos,42,39,38,47,97,164,311,219,123,206,134,12,1 432
Nayarit,33,66,88,153,361,395,493,1 554,1 489,1 761,284,262,6 939
Nuevo León,18,36,45,70,59,95,71,82,69,143,121,18,827
Oaxaca,123,86,65,90,11,61,184,119,53,48,71,18,929
Puebla,15,28,20,30,61,72,234,347,247,240,131,52,1 477
Querétaro,0,1,0,1,0,0,0,0,3,0,1,1,7
Quintana Roo,128,121,69,142,127,197,295,360,328,407,299,87,2 560
San Luis Potosí,6,5,10,15,19,6,13,9,10,15,17,8,133
Sinaloa,93,66,73,66,84,103,44,159,303,334,301,81,1 707
Sonora,73,28,29,94,103,250,177,183,531,1 674,1 133,244,4 519
Tabasco,104,56,100,132,128,120,217,360,299,400,336,128,2 380
Tamaulipas,8,12,17,45,43,43,50,91,47,95,166,51,668
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,90,62,66,105,182,419,1 137,1 287,926,785,489,147,5 695
Yucatán,88,44,52,70,74,125,722,1 723,818,304,80,40,4 140
Zacatecas,0,0,0,0,0,29,165,152,250,114,3,0,713
TOTAL GLOBAL,1 844,1 615,1 770,2 344,3 404,5 334,6 950,10 696,8 479,10 867,6 196,2 211,61 710
