"Estado","Enero","Febrero","Marzo","Abril","Mayo","Mes de ocJunio","urrenciaJulio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","Total"
"Aguascalientes","0","0","0","1","0","1","0","1","1","0","0","0","4"
"Baja California","0","1","2","0","0","2","0","0","2","7","1","0","15"
"Baja California Sur","0","0","0","4","2","4","4","7","20","11","2","0","54"
"Campeche","0","0","0","0","210","0","70","70","0","1","0","0","351"
"Coahuila","17","0","17","17","34","85","0","17","253","406","236","34","1 116"
"Colima","10","5","28","14","48","23","14","0","10","23","14","0","189"
"Chiapas","32","29","29","54","135","115","73","129","146","82","40","16","880"
"Chihuahua","0","0","0","0","0","0","0","0","0","23","0","0","23"
"Ciudad de México","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0","0","0","0","0","2","5","32","227","328","31","5","630"
"Guanajuato","3","0","3","0","24","161","279","2 804","4 077","4 167","1 854","73","13 445"
"Guerrero","62","37","56","15","46","83","102","87","71","60","6","6","631"
"Hidalgo","0","2","0","2","7","14","31","105","162","104","4","0","431"
"Jalisco","76","38","84","47","233","173","250","653","517","666","1 478","136","4 351"
"México","13","5","5","31","57","49","88","142","124","135","119","7","775"
"Michoacán","39","30","30","16","2","29","23","88","73","66","71","12","479"
"Morelos","118","84","101","17","151","268","34","68","17","64","51","0","973"
"Nayarit","88","44","61","9","176","97","36","80","44","8","35","0","678"
"Nuevo León","101","74","82","79","94","140","255","600","1 215","1 100","269","85","4 094"
"Oaxaca","0","5","26","16","32","42","27","89","69","115","37","10","468"
"Puebla","21","23","16","21","50","75","71","219","188","323","94","4","1 105"
"Querétaro","0","0","0","0","0","0","0","2","36","19","34","0","91"
"Quintana Roo","7","12","24","17","19","53","43","14","15","5","12","5","226"
"San Luis Potosí","1","2","5","9","14","14","17","19","15","19","5","1","121"
"Sinaloa","39","35","21","11","7","11","35","39","25","18","4","0","245"
"Sonora","6","3","9","12","7","14","15","20","72","32","2","0","192"
"Tabasco","23","32","7","13","16","32","19","23","0","12","3","0","180"
"Tamaulipas","87","46","50","15","93","176","268","299","212","179","117","30","1 572"
"Tlaxcala","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","41","43","52","41","51","184","182","393","373","302","159","44","1 865"
"Yucatán","9","18","24","24","24","38","47","18","12","9","3","3","229"
"Zacatecas","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL GLOBAL","793","568","732","485","1 532","1 885","1 988","6 018","7 976","8 284","4 681","471","35 413"

