ENTIDAD,TOTAL,TASA*,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGT,SEP,OCT,NOV,DIC
Aguascalientes,6,1.27,8,0,0,0,0,0,0,0,0,0,0,0
Baja California,3,0.23,3,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,28,10.03,0,0,3,2,2,2,5,5,3,1,5,0
Campeche,20,3.75,0,0,1,2,0,0,5,1,4,6,0,1
Coahuila,1342,74.28,0,0,0,0,0,0,0,0,265,736,341,0
Colima,2115,530.99,17,16,42,47,24,39,68,261,422,369,403,407
Chiapas,56,2.34,2,3,6,1,5,3,6,10,0,10,10,0
Chihuahua,5,0.23,0,0,5,0,0,0,0,0,0,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanajuato,3,0.09,0,0,2,0,0,0,0,0,0,1,0,0
Guerrero,386,15.93,9,4,4,75,8,0,118,12,37,38,23,58
Hidalgo,1,0.06,0,0,0,0,0,0,0,0,0,0,1,0
Jalisco,577,11.6,9,0,1,361,46,1,5,19,0,81,0,54
México,1,0.01,0,0,0,0,0,0,0,0,0,0,0,1
Michoacán,520,16.08,37,32,63,44,44,5,40,54,71,37,4,89
Morelos,3,0.26,0,0,0,0,0,0,3,0,0,0,0,0
Nayarit,464,57.06,5,3,70,7,92,13,15,34,45,37,54,89
Nuevo León,933,31.42,0,0,0,0,0,0,0,0,309,190,307,127
Oaxaca,923,35.67,7,3,21,13,19,7,61,19,0,1,173,599
Puebla,100,2.6,0,1,0,1,0,0,22,7,5,7,23,34
Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintana Roo,106,32.05,0,6,10,6,4,3,10,1,3,16,39,8
San Luis Potosí,2627,137.1,0,0,125,17,20,4,1,12,2209,195,43,1
Sinaloa,2341,106.47,10,7,8,2,7,0,13,19,525,967,729,54
Sonora,8,0.47,0,0,0,0,0,0,8,0,0,0,0,0
Tabasco,548,44.6,0,0,0,0,0,3,12,0,112,69,92,260
Tamaulipas,5,0.23,0,0,3,1,0,1,0,0,0,0,0,0
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,380,6.07,6,6,6,8,5,5,6,5,36,101,146,50
Yucatán,185,15.04,36,12,4,7,17,0,33,15,32,16,2,11
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,13688,17.56,149,93,374,594,293,86,431,474,4078,2878,2395,1843
