Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,101.96,486,0,0,0,0,0,0,34,70,113,200,65,4
Campeche,2.27,17,2,1,1,0,0,1,0,3,4,3,1,1
Coahuila,0.16,4,0,0,0,0,0,0,1,2,1,0,0,0
Colima,5.2,30,7,12,5,5,0,1,0,0,0,0,0,0
Chiapas,0.93,40,1,1,0,3,2,2,4,1,1,10,14,1
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0.06,1,0,0,0,0,0,0,0,0,1,0,0,0
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,12.08,391,47,57,24,18,18,12,44,64,58,33,12,4
Hidalgo,0.13,3,0,0,0,0,0,0,2,0,1,0,0,0
Jalisco,0.49,33,1,4,8,4,1,0,0,2,0,2,10,1
México,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michoacán,2.55,107,4,9,8,5,3,1,1,7,12,29,25,3
Morelos,4.59,77,1,0,0,1,9,4,7,14,12,25,4,0
Nayarit,9.14,90,15,7,3,9,5,19,12,6,4,7,2,1
Nuevo León,0.88,36,1,1,2,4,2,3,5,5,5,3,4,1
Oaxaca,4.66,171,2,2,0,0,3,1,7,13,56,56,27,4
Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintana Roo,10.05,102,8,7,1,1,1,1,2,6,4,21,29,21
San Luis Potosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinaloa,45.58,1241,1,1,0,1,8,33,75,148,340,425,180,29
Sonora,48.92,1179,3,0,0,0,0,20,52,58,164,597,265,20
Tabasco,4.95,100,0,4,0,0,1,0,12,20,28,29,6,0
Tamaulipas,0.3,9,0,1,1,3,0,1,2,1,0,0,0,0
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,14.95,1084,5,1,8,9,20,13,85,158,195,309,220,61
Yucatán,1.08,19,0,0,0,1,0,0,1,2,3,8,4,0
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL GLOBAL,5.01,5220,98,108,61,64,73,112,346,580,1002,1757,868,151
