"Población total"
""
"Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Tamaño localidad 2 tam"
"","","Total","Menos de 2,500 habitantes","2,500 y más habitantes",""
" ","Estados Unidos Mexicanos","103,263,388","24,276,536","78,986,852"
"=CONCATENAR(0,01) ","Aguascalientes","1,065,416","200,866","864,550"
"=CONCATENAR(0,02) ","Baja California","2,844,469","199,668","2,644,801"
"=CONCATENAR(0,03) ","Baja California Sur","512,170","78,053","434,117"
"=CONCATENAR(0,04) ","Campeche","754,730","196,073","558,657"
"=CONCATENAR(0,05) ","Coahuila de Zaragoza","2,495,200","248,503","2,246,697"
"=CONCATENAR(0,06) ","Colima","567,996","70,426","497,570"
"=CONCATENAR(0,07) ","Chiapas","4,293,459","2,243,712","2,049,747"
"=CONCATENAR(0,08) ","Chihuahua","3,241,444","502,586","2,738,858"
"=CONCATENAR(0,09) ","Distrito Federal","8,720,916","30,366","8,690,550"
"=CONCATENAR( ,10) ","Durango","1,509,117","494,437","1,014,680"
"=CONCATENAR( ,11) ","Guanajuato","4,893,812","1,482,857","3,410,955"
"=CONCATENAR( ,12) ","Guerrero","3,115,202","1,322,247","1,792,955"
"=CONCATENAR( ,13) ","Hidalgo","2,345,514","1,118,457","1,227,057"
"=CONCATENAR( ,14) ","Jalisco","6,752,113","935,509","5,816,604"
"=CONCATENAR( ,15) ","México","14,007,495","1,807,281","12,200,214"
"=CONCATENAR( ,16) ","Michoacán de Ocampo","3,966,073","1,271,532","2,694,541"
"=CONCATENAR( ,17) ","Morelos","1,612,899","224,857","1,388,042"
"=CONCATENAR( ,18) ","Nayarit","949,684","318,699","630,985"
"=CONCATENAR( ,19) ","Nuevo León","4,199,292","236,835","3,962,457"
"=CONCATENAR( ,20) ","Oaxaca","3,506,821","1,856,026","1,650,795"
"=CONCATENAR( ,21) ","Puebla","5,383,133","1,582,425","3,800,708"
"=CONCATENAR( ,22) ","Querétaro Arteaga","1,598,139","481,442","1,116,697"
"=CONCATENAR( ,23) ","Quintana Roo","1,135,309","163,686","971,623"
"=CONCATENAR( ,24) ","San Luis Potosí","2,410,414","900,449","1,509,965"
"=CONCATENAR( ,25) ","Sinaloa","2,608,442","761,706","1,846,736"
"=CONCATENAR( ,26) ","Sonora","2,394,861","340,381","2,054,480"
"=CONCATENAR( ,27) ","Tabasco","1,989,969","895,670","1,094,299"
"=CONCATENAR( ,28) ","Tamaulipas","3,024,238","385,324","2,638,914"
"=CONCATENAR( ,29) ","Tlaxcala","1,068,207","232,631","835,576"
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","7,110,214","2,799,452","4,310,762"
"=CONCATENAR( ,31) ","Yucatán","1,818,948","309,650","1,509,298"
"=CONCATENAR( ,32) ","Zacatecas","1,367,692","584,730","782,962"

"FUENTE: INEGI. II Conteo de población y vivienda 2005."
