"Población total"
""
"Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Tamaño de localidad"
"","","Total","1 a 2,499 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 y más habitantes",""
" ","Total","97,483,412","24,723,641","13,340,563","13,285,900","46,133,308"
"=CONCATENAR(0,01) ","Aguascalientes","944,285","186,706","69,592","93,895","594,092"
"=CONCATENAR(0,02) ","Baja California","2,487,367","209,367","189,320","166,634","1,922,046"
"=CONCATENAR(0,03) ","Baja California Sur","424,041","79,306","77,106","104,675","162,954"
"=CONCATENAR(0,04) ","Campeche","690,689","200,380","124,526","48,946","316,837"
"=CONCATENAR(0,05) ","Coahuila de Zaragoza","2,298,070","243,317","117,937","444,166","1,492,650"
"=CONCATENAR(0,06) ","Colima","542,627","78,189","83,737","261,062","119,639"
"=CONCATENAR(0,07) ","Chiapas","3,920,892","2,129,034","670,169","404,829","716,860"
"=CONCATENAR(0,08) ","Chihuahua","3,052,907","533,460","217,039","457,257","1,845,151"
"=CONCATENAR(0,09) ","Distrito Federal","8,605,239","20,320","80,171","113,231","8,391,517"
"=CONCATENAR( ,10) ","Durango","1,448,661","524,606","186,164","100,643","637,248"
"=CONCATENAR( ,11) ","Guanajuato","4,663,032","1,529,249","411,892","967,175","1,754,716"
"=CONCATENAR( ,12) ","Guerrero","3,079,649","1,376,446","502,181","332,861","868,161"
"=CONCATENAR( ,13) ","Hidalgo","2,235,591","1,132,897","418,684","452,408","231,602"
"=CONCATENAR( ,14) ","Jalisco","6,322,002","976,700","834,219","1,028,826","3,482,257"
"=CONCATENAR( ,15) ","México","13,096,686","1,792,276","1,752,449","1,264,191","8,287,770"
"=CONCATENAR( ,16) ","Michoacán de Ocampo","3,985,667","1,378,901","856,328","851,745","898,693"
"=CONCATENAR( ,17) ","Morelos","1,555,296","226,574","405,010","317,159","606,553"
"=CONCATENAR( ,18) ","Nayarit","920,185","329,757","205,598","119,013","265,817"
"=CONCATENAR( ,19) ","Nuevo León","3,834,141","252,770","177,722","273,174","3,130,475"
"=CONCATENAR( ,20) ","Oaxaca","3,438,765","1,907,391","758,798","520,730","251,846"
"=CONCATENAR( ,21) ","Puebla","5,076,686","1,610,175","1,210,804","779,436","1,476,271"
"=CONCATENAR( ,22) ","Querétaro de Arteaga","1,404,306","455,434","233,029","179,380","536,463"
"=CONCATENAR( ,23) ","Quintana Roo","874,963","153,425","81,362","121,383","518,793"
"=CONCATENAR( ,24) ","San Luis Potosí","2,299,360","941,729","272,333","180,795","904,503"
"=CONCATENAR( ,25) ","Sinaloa","2,536,844","826,442","374,776","265,908","1,069,718"
"=CONCATENAR( ,26) ","Sonora","2,216,969","374,852","249,537","512,363","1,080,217"
"=CONCATENAR( ,27) ","Tabasco","1,891,829","875,252","369,108","316,623","330,846"
"=CONCATENAR( ,28) ","Tamaulipas","2,753,222","401,293","187,379","348,929","1,815,621"
"=CONCATENAR( ,29) ","Tlaxcala","962,646","207,383","383,752","371,511",""
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","6,908,975","2,829,007","1,199,121","1,233,332","1,647,515"
"=CONCATENAR( ,31) ","Yucatán","1,658,210","309,457","372,937","313,286","662,530"
"=CONCATENAR( ,32) ","Zacatecas","1,353,610","631,546","267,783","340,334","113,947"

"Fuente: INEGI. XII Censo General de Población y Vivienda 2000."
