"Población total (con información hasta localidad)"
""
"Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Tamaño localidad 15 tam"
"","","Total","Menos de 2,500 habitantes","2,500 y más habitantes",""
" ","Total","81,249,645","23,289,963","57,959,682"
"=CONCATENAR(0,01) ","Aguascalientes","719,659","168,962","550,697"
"=CONCATENAR(0,02) ","Baja California","1,660,855","151,061","1,509,794"
"=CONCATENAR(0,03) ","Baja California Sur","317,764","69,099","248,665"
"=CONCATENAR(0,04) ","Campeche","535,185","160,405","374,780"
"=CONCATENAR(0,05) ","Coahuila de Zaragoza","1,972,340","275,061","1,697,279"
"=CONCATENAR(0,06) ","Colima","428,510","71,476","357,034"
"=CONCATENAR(0,07) ","Chiapas","3,210,496","1,913,754","1,296,742"
"=CONCATENAR(0,08) ","Chihuahua","2,441,873","552,107","1,889,766"
"=CONCATENAR(0,09) ","Distrito Federal","8,235,744","21,901","8,213,843"
"=CONCATENAR( ,10) ","Durango","1,349,378","574,961","774,417"
"=CONCATENAR( ,11) ","Guanajuato","3,982,593","1,457,060","2,525,533"
"=CONCATENAR( ,12) ","Guerrero","2,620,637","1,251,101","1,369,536"
"=CONCATENAR( ,13) ","Hidalgo","1,888,366","1,042,648","845,718"
"=CONCATENAR( ,14) ","Jalisco","5,302,689","962,257","4,340,432"
"=CONCATENAR( ,15) ","México","9,815,795","1,530,588","8,285,207"
"=CONCATENAR( ,16) ","Michoacán","3,548,199","1,361,845","2,186,354"
"=CONCATENAR( ,17) ","Morelos","1,195,059","171,831","1,023,228"
"=CONCATENAR( ,18) ","Nayarit","824,643","312,912","511,731"
"=CONCATENAR( ,19) ","Nuevo León","3,098,736","248,079","2,850,657"
"=CONCATENAR( ,20) ","Oaxaca","3,019,560","1,828,257","1,191,303"
"=CONCATENAR( ,21) ","Puebla","4,126,101","1,473,322","2,652,779"
"=CONCATENAR( ,22) ","Querétaro","1,051,235","423,396","627,839"
"=CONCATENAR( ,23) ","Quintana Roo","493,277","128,900","364,377"
"=CONCATENAR( ,24) ","San Luis Potosí","2,003,187","898,164","1,105,023"
"=CONCATENAR( ,25) ","Sinaloa","2,204,054","791,607","1,412,447"
"=CONCATENAR( ,26) ","Sonora","1,823,606","380,539","1,443,067"
"=CONCATENAR( ,27) ","Tabasco","1,501,744","756,026","745,718"
"=CONCATENAR( ,28) ","Tamaulipas","2,249,581","425,877","1,823,704"
"=CONCATENAR( ,29) ","Tlaxcala","761,277","178,926","582,351"
"=CONCATENAR( ,30) ","Veracruz","6,228,239","2,726,513","3,501,726"
"=CONCATENAR( ,31) ","Yucatán","1,362,940","291,322","1,071,618"
"=CONCATENAR( ,32) ","Zacatecas","1,276,323","690,006","586,317"

"Fuente: Censo General de Población y Vivienda 1990"
