"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Baja California Sur",7,3,0,1,0,0,0,0,0,0,4,15,8.28,1994
"Campeche",1,0,0,0,0,1,0,5,4,0,35,46,15.56,1994
"Coahuila",0,0,0,0,0,0,0,0,0,0,631,52,31.44,1994
"Colima",2,7,14,2,2,1,0,3,1,5,3,8,9.89,1994
"Chiapas",3,0,13,4,5,2,5,2,6,6,64,32,4.01,1994
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,1,0.04,1994
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Durango",0,1,0,0,0,0,0,0,0,0,0,0,0.07,1994
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Guerrero",4,1,7,6,18,38,16,16,7,2,13,10,4.86,1994
"Hidalgo",0,0,0,1,0,0,0,0,0,0,0,0,0.05,1994
"Jalisco",0,0,0,0,0,1,0,0,0,69,0,4,1.25,1994
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Michoacán",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Morelos",0,0,0,0,0,0,0,9,30,91,5,57,13.99,1994
"Nayarit",4,10,4,7,4,6,8,9,3,3,44,23,13.72,1994
"Nuevo León",0,0,0,1,1,4,0,13,67,146,200,92,15.05,1994
"Oaxaca",7,7,5,3,8,14,22,48,120,250,360,177,31.01,1994
"Puebla",0,6,0,0,0,0,0,0,0,0,0,5,0.24,1994
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
"Quintana Roo",0,0,0,0,0,0,0,0,0,68,16,8,15.17,1994
"SanLuis Potosí",1,0,0,0,0,0,1,6,2,0,104,32,6.62,1994
"Sinaloa",6,9,2,1,3,9,0,5,41,89,47,0,8.78,1994
"Sonora",0,0,0,0,0,0,0,1,0,0,0,0,0.05,1994
"Tabasco",0,0,1,2,0,1,0,10,113,289,495,112,61.91,1994
"Tamaulipas",1,13,4,2,4,3,0,1,0,1,127,87,9.6,1994
"Tlaxcala",3,0,0,0,0,0,0,0,0,0,0,0,0.35,1994
"Veracruz",0,2,0,0,2,1,220,53,117,841,897,432,37.44,1994
"Yucatán",3,0,1,3,6,4,11,59,55,58,264,240,47.03,1994
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1994
