"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Baja California Sur",0,0,0,0,0,0,34,70,113,200,65,4,101.96,2003
"Campeche",2,1,1,0,0,1,0,3,4,3,1,1,2.27,2003
"Coahuila",0,0,0,0,0,0,1,2,1,0,0,0,0.16,2003
"Colima",7,12,5,5,0,1,0,0,0,0,0,0,5.2,2003
"Chiapas",1,1,0,3,2,2,4,1,1,10,14,1,0.93,2003
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Durango",0,0,0,0,0,0,0,0,1,0,0,0,0.06,2003
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Guerrero",47,57,24,18,18,12,44,64,58,33,12,4,12.08,2003
"Hidalgo",0,0,0,0,0,0,2,0,1,0,0,0,0.13,2003
"Jalisco",1,4,8,4,1,0,0,2,0,2,10,1,0.49,2003
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Michoacán",4,9,8,5,3,1,1,7,12,29,25,3,2.55,2003
"Morelos",1,0,0,1,9,4,7,14,12,25,4,0,4.59,2003
"Nayarit",15,7,3,9,5,19,12,6,4,7,2,1,9.14,2003
"Nuevo León",1,1,2,4,2,3,5,5,5,3,4,1,0.88,2003
"Oaxaca",2,2,0,0,3,1,7,13,56,56,27,4,4.66,2003
"Puebla",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Quintana Roo",8,7,1,1,1,1,2,6,4,21,29,21,10.05,2003
"San Luis Potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Sinaloa",1,1,0,1,8,33,75,148,340,425,180,29,45.58,2003
"Sonora",3,0,0,0,0,20,52,58,164,597,265,20,48.92,2003
"Tabasco",0,4,0,0,1,0,12,20,28,29,6,0,4.95,2003
"Tamaulipas",0,1,1,3,0,1,2,1,0,0,0,0,0.3,2003
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"Veracruz",5,1,8,9,20,13,85,158,195,309,220,61,14.95,2003
"Yucatán",0,0,0,1,0,0,1,2,3,8,4,0,1.08,2003
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2003
