State,Population
Aguascalientes,1065416
Baja California,2844469
Baja California Sur,512170
Campeche,754730
Coahuila de Zaragoza,2495200
Colima,567996
Chiapas,4293459
Chihuahua,3241444
Distrito Federal,8720916
Durango,1509117
Guanajuato,4893812
Guerrero,3115202
Hidalgo,2345514
Jalisco,6752113
México,14007495
Michoacán de Ocampo,3966073
Morelos,1612899
Nayarit,949684
Nuevo León,4199292
Oaxaca,3506821
Puebla,5383133
Querétaro Arteaga,1598139
Quintana Roo,1135309
San Luis Potosí,2410414
Sinaloa,2608442
Sonora,2394861
Tabasco,1989969
Tamaulipas,3024238
Tlaxcala,1068207
Veracruz,7110214
Yucatán,1818948
Zacatecas,1367692
