"Year","State","Population"
1990,"Aguascalientes",719659
1990,"Baja California",1660855
1990,"Baja California Sur",317764
1990,"Campeche",535185
1990,"Coahuila de Zaragoza",1972340
1990,"Colima",428510
1990,"Chiapas",3210496
1990,"Chihuahua",2441873
1990,"Distrito Federal",8235744
1990,"Durango",1349378
1990,"Guanajuato",3982593
1990,"Guerrero",2620637
1990,"Hidalgo",1888366
1990,"Jalisco",5302689
1990,"México",9815795
1990,"Michoacán",3548199
1990,"Morelos",1195059
1990,"Nayarit",824643
1990,"Nuevo León",3098736
1990,"Oaxaca",3019560
1990,"Puebla",4126101
1990,"Querétaro",1051235
1990,"Quintana Roo",493277
1990,"San Luis Potosí",2003187
1990,"Sinaloa",2204054
1990,"Sonora",1823606
1990,"Tabasco",1501744
1990,"Tamaulipas",2249581
1990,"Tlaxcala",761277
1990,"Veracruz",6228239
1990,"Yucatán",1362940
1990,"Zacatecas",1276323
1995,"Aguascalientes",862720
1995,"Baja California",2112140
1995,"Baja California Sur",375494
1995,"Campeche",642516
1995,"Coahuila de Zaragoza",2173775
1995,"Colima",488028
1995,"Chiapas",3584786
1995,"Chihuahua",2793537
1995,"Distrito Federal",8489007
1995,"Durango",1431748
1995,"Guanajuato",4406568
1995,"Guerrero",2916567
1995,"Hidalgo",2112473
1995,"Jalisco",5991176
1995,"México",11707964
1995,"Michoacán de Ocampo",3870604
1995,"Morelos",1442662
1995,"Nayarit",896702
1995,"Nuevo León",3550114
1995,"Oaxaca",3228895
1995,"Puebla",4624365
1995,"Querétaro Arteaga",1250476
1995,"Quintana Roo",703536
1995,"San Luis Potosí",2200763
1995,"Sinaloa",2425675
1995,"Sonora",2085536
1995,"Tabasco",1748769
1995,"Tamaulipas",2527328
1995,"Tlaxcala",883924
1995,"Veracruz",6737324
1995,"Yucatán",1556622
1995,"Zacatecas",1336496
2000,"Aguascalientes",944285
2000,"Baja California",2487367
2000,"Baja California Sur",424041
2000,"Campeche",690689
2000,"Coahuila de Zaragoza",2298070
2000,"Colima",542627
2000,"Chiapas",3920892
2000,"Chihuahua",3052907
2000,"Distrito Federal",8605239
2000,"Durango",1448661
2000,"Guanajuato",4663032
2000,"Guerrero",3079649
2000,"Hidalgo",2235591
2000,"Jalisco",6322002
2000,"México",13096686
2000,"Michoacán de Ocampo",3985667
2000,"Morelos",1555296
2000,"Nayarit",920185
2000,"Nuevo León",3834141
2000,"Oaxaca",3438765
2000,"Puebla",5076686
2000,"Querétaro de Arteaga",1404306
2000,"Quintana Roo",874963
2000,"San Luis Potosí",2299360
2000,"Sinaloa",2536844
2000,"Sonora",2216969
2000,"Tabasco",1891829
2000,"Tamaulipas",2753222
2000,"Tlaxcala",962646
2000,"Veracruz",6908975
2000,"Yucatán",1658210
2000,"Zacatecas",1353610
2005,"Aguascalientes",1065416
2005,"Baja California",2844469
2005,"Baja California Sur",512170
2005,"Campeche",754730
2005,"Coahuila de Zaragoza",2495200
2005,"Colima",567996
2005,"Chiapas",4293459
2005,"Chihuahua",3241444
2005,"Distrito Federal",8720916
2005,"Durango",1509117
2005,"Guanajuato",4893812
2005,"Guerrero",3115202
2005,"Hidalgo",2345514
2005,"Jalisco",6752113
2005,"México",14007495
2005,"Michoacán de Ocampo",3966073
2005,"Morelos",1612899
2005,"Nayarit",949684
2005,"Nuevo León",4199292
2005,"Oaxaca",3506821
2005,"Puebla",5383133
2005,"Querétaro Arteaga",1598139
2005,"Quintana Roo",1135309
2005,"San Luis Potosí",2410414
2005,"Sinaloa",2608442
2005,"Sonora",2394861
2005,"Tabasco",1989969
2005,"Tamaulipas",3024238
2005,"Tlaxcala",1068207
2005,"Veracruz",7110214
2005,"Yucatán",1818948
2005,"Zacatecas",1367692
2010,"Aguascalientes",1184996
2010,"Baja California",3155070
2010,"Baja California Sur",637026
2010,"Campeche",822441
2010,"Coahuila de Zaragoza",2748391
2010,"Colima",650555
2010,"Chiapas",4796580
2010,"Chihuahua",3406465
2010,"Distrito Federal",8851080
2010,"Durango",1632934
2010,"Guanajuato",5486372
2010,"Guerrero",3388768
2010,"Hidalgo",2665018
2010,"Jalisco",7350682
2010,"México",15175862
2010,"Michoacán de Ocampo",4351037
2010,"Morelos",1777227
2010,"Nayarit",1084979
2010,"Nuevo León",4653458
2010,"Oaxaca",3801962
2010,"Puebla",5779829
2010,"Querétaro",1827937
2010,"Quintana Roo",1325578
2010,"San Luis Potosí",2585518
2010,"Sinaloa",2767761
2010,"Sonora",2662480
2010,"Tabasco",2238603
2010,"Tamaulipas",3268554
2010,"Tlaxcala",1169936
2010,"Veracruz",7643194
2010,"Yucatán",1955577
2010,"Zacatecas",1490668
