"Year","State","Month","Cases","Incidence.Per.100000"
1985,"Aguascalientes","January",8,1.27
1985,"Baja California","January",3,0.23
1985,"Baja California Sur","January",0,10.03
1985,"Campeche","January",0,3.75
1985,"Coahuila","January",0,74.28
1985,"Colima","January",17,530.99
1985,"Chiapas","January",2,2.34
1985,"Chihuahua","January",0,0.23
1985,"Distrito Federal","January",0,0
1985,"Durango","January",0,0
1985,"Guanajuato","January",0,0.09
1985,"Guerrero","January",9,15.93
1985,"Hidalgo","January",0,0.06
1985,"Jalisco","January",9,11.6
1985,"México","January",0,0.01
1985,"Michoacán","January",37,16.08
1985,"Morelos","January",0,0.26
1985,"Nayarit","January",5,57.06
1985,"Nuevo León","January",0,31.42
1985,"Oaxaca","January",7,35.67
1985,"Puebla","January",0,2.6
1985,"Querétaro","January",0,0
1985,"Quintana Roo","January",0,32.05
1985,"San Luis Potosí","January",0,137.1
1985,"Sinaloa","January",10,106.47
1985,"Sonora","January",0,0.47
1985,"Tabasco","January",0,44.6
1985,"Tamaulipas","January",0,0.23
1985,"Tlaxcala","January",0,0
1985,"Veracruz","January",6,6.07
1985,"Yucatán","January",36,15.04
1985,"Zacatecas","January",0,0
1985,"Aguascalientes","February",0,1.27
1985,"Baja California","February",0,0.23
1985,"Baja California Sur","February",0,10.03
1985,"Campeche","February",0,3.75
1985,"Coahuila","February",0,74.28
1985,"Colima","February",16,530.99
1985,"Chiapas","February",3,2.34
1985,"Chihuahua","February",0,0.23
1985,"Distrito Federal","February",0,0
1985,"Durango","February",0,0
1985,"Guanajuato","February",0,0.09
1985,"Guerrero","February",4,15.93
1985,"Hidalgo","February",0,0.06
1985,"Jalisco","February",0,11.6
1985,"México","February",0,0.01
1985,"Michoacán","February",32,16.08
1985,"Morelos","February",0,0.26
1985,"Nayarit","February",3,57.06
1985,"Nuevo León","February",0,31.42
1985,"Oaxaca","February",3,35.67
1985,"Puebla","February",1,2.6
1985,"Querétaro","February",0,0
1985,"Quintana Roo","February",6,32.05
1985,"San Luis Potosí","February",0,137.1
1985,"Sinaloa","February",7,106.47
1985,"Sonora","February",0,0.47
1985,"Tabasco","February",0,44.6
1985,"Tamaulipas","February",0,0.23
1985,"Tlaxcala","February",0,0
1985,"Veracruz","February",6,6.07
1985,"Yucatán","February",12,15.04
1985,"Zacatecas","February",0,0
1985,"Aguascalientes","March",0,1.27
1985,"Baja California","March",0,0.23
1985,"Baja California Sur","March",3,10.03
1985,"Campeche","March",1,3.75
1985,"Coahuila","March",0,74.28
1985,"Colima","March",42,530.99
1985,"Chiapas","March",6,2.34
1985,"Chihuahua","March",5,0.23
1985,"Distrito Federal","March",0,0
1985,"Durango","March",0,0
1985,"Guanajuato","March",2,0.09
1985,"Guerrero","March",4,15.93
1985,"Hidalgo","March",0,0.06
1985,"Jalisco","March",1,11.6
1985,"México","March",0,0.01
1985,"Michoacán","March",63,16.08
1985,"Morelos","March",0,0.26
1985,"Nayarit","March",70,57.06
1985,"Nuevo León","March",0,31.42
1985,"Oaxaca","March",21,35.67
1985,"Puebla","March",0,2.6
1985,"Querétaro","March",0,0
1985,"Quintana Roo","March",10,32.05
1985,"San Luis Potosí","March",125,137.1
1985,"Sinaloa","March",8,106.47
1985,"Sonora","March",0,0.47
1985,"Tabasco","March",0,44.6
1985,"Tamaulipas","March",3,0.23
1985,"Tlaxcala","March",0,0
1985,"Veracruz","March",6,6.07
1985,"Yucatán","March",4,15.04
1985,"Zacatecas","March",0,0
1985,"Aguascalientes","April",0,1.27
1985,"Baja California","April",0,0.23
1985,"Baja California Sur","April",2,10.03
1985,"Campeche","April",2,3.75
1985,"Coahuila","April",0,74.28
1985,"Colima","April",47,530.99
1985,"Chiapas","April",1,2.34
1985,"Chihuahua","April",0,0.23
1985,"Distrito Federal","April",0,0
1985,"Durango","April",0,0
1985,"Guanajuato","April",0,0.09
1985,"Guerrero","April",75,15.93
1985,"Hidalgo","April",0,0.06
1985,"Jalisco","April",361,11.6
1985,"México","April",0,0.01
1985,"Michoacán","April",44,16.08
1985,"Morelos","April",0,0.26
1985,"Nayarit","April",7,57.06
1985,"Nuevo León","April",0,31.42
1985,"Oaxaca","April",13,35.67
1985,"Puebla","April",1,2.6
1985,"Querétaro","April",0,0
1985,"Quintana Roo","April",6,32.05
1985,"San Luis Potosí","April",17,137.1
1985,"Sinaloa","April",2,106.47
1985,"Sonora","April",0,0.47
1985,"Tabasco","April",0,44.6
1985,"Tamaulipas","April",1,0.23
1985,"Tlaxcala","April",0,0
1985,"Veracruz","April",8,6.07
1985,"Yucatán","April",7,15.04
1985,"Zacatecas","April",0,0
1985,"Aguascalientes","May",0,1.27
1985,"Baja California","May",0,0.23
1985,"Baja California Sur","May",2,10.03
1985,"Campeche","May",0,3.75
1985,"Coahuila","May",0,74.28
1985,"Colima","May",24,530.99
1985,"Chiapas","May",5,2.34
1985,"Chihuahua","May",0,0.23
1985,"Distrito Federal","May",0,0
1985,"Durango","May",0,0
1985,"Guanajuato","May",0,0.09
1985,"Guerrero","May",8,15.93
1985,"Hidalgo","May",0,0.06
1985,"Jalisco","May",46,11.6
1985,"México","May",0,0.01
1985,"Michoacán","May",44,16.08
1985,"Morelos","May",0,0.26
