"Country ","Week of Report ","Dengue & DHF ","Serotype ","DHF only","Deaths"," "
"Bolivia ","Week 52 ","7 ","  ","-","-"," "
"Brazil ","Week 52 ","124,887 ","DEN 1, 2 ","112","2"," "
"Colombia  ","Week 52 ","51,059 ","DEN 1, 2, 4 ","1,028","14"," "
"Ecuador ","Week 52 ","6,607 ","DEN 1, 2, 4 ","-","-"," "
"Paraguay ","Week 52 ","- ","  ","-","-"," "
"Peru ","Week 52 ","2,732 ","DEN 1, 2 ","-","-"," "
"Venezuela ","Week 52 ","32,280 ","DEN 1, 2, 4 ","5,380","43"," "
"El Salvador ","Week 52 ","9,658 ","DEN 1, 2, 3, 4 ","129","5"," "
"Guatemala ","Week 52 ","3,980 ","DEN 1, 2, 3, 4 ","1","-"," "
"Honduras ","Week 52 ","27,575 ","DEN 1, 2, 3, 4 ","15","3"," "
"Mexico ","Week 52 ","36,568 ","DEN 1, 2, 3, 4 ","539","30"," "
"Nicaragua ","Week 52 ","19,260 ","DEN 1, 2, 3 ","806","-"," "
"Dominican Republic** ","Week 52 ","249 ","  ","38","2"," "
"Haiti ","Week 52 ","- ","  ","-","-"," "
"Puerto Rico ","Week 52 ","6,534 ","DEN 1, 2, 4 ","43","4"," "
"United States** ","Week 52 ","7 ","  ","-","-"," "
"Anguila ","Week 52 ","4 ","  ","-","-"," "
"Antigua & Barbados ","Week 52 ","56 ","DEN 1 ","-","-"," "
"Aruba** ","Week 52 ","37 ","  ","-","-"," "
"Bahamas ","Week 52 ","1 ","  ","-","-"," "
"Barbados ","Week 52 ","976 ","DEN 1 ","2","1"," "
"Belize ","Week 52 ","107 ","  ","-","-"," "
"Bermuda ","Week 52 ","- ","  ","-","-"," "
"British Virgin Islands ","Week 52 ","9 ","  ","-","-"," "
"Cayman Islands ","Week 52 ","1 ","  ","-","-"," "
"Dominica ","Week 52 ","293 ","DEN 1, 2 ","11","-"," "
"French Guiana ","Week 52 ","896 ","DEN 1, 4 ","1","-"," "
"Guadaloupe** ","Week 52 ","156 ","DEN 1, 2 ","7","3"," "
"Guyana ","Week 52 ","- ","  ","-","-"," "
"Jamaica ","Week 52 ","1,884 ","DEN 1, 2 ","108","4"," "
"Martinique** ","Week 52 ","519 ","DEN 2, 4 ","3","1"," "
"Montserrat ","Week 52 ","75 ","DEN 1 ","-","-"," "
"St. Kitts/Nevis ","Week 52 ","27 ","  ","-","-"," "
"St. Lucia ","Week 52 ","52 ","  ","-","-"," "
"St. Vincent & Grenadines ","Week 52 ","224 ","DEN 1, 2 ","-","-"," "
"Suriname ","Week 52 ","344 ","DEN 4 ","-","-"," "
"Trinidad & Tobago ","Week 52 ","312 ","DEN 1, 2 ","-","-"," "
"Total ","  ","335,667 ","  ","8,228","113"," "
