"Bolivia** ","Week 52 ","52"," ","-"," ","-"
"Brazil ","Week 52 ","175,818"," ","69"," ","1"
"Colombia¨  ","Week 52 ","33,155"," ","1,757"," ","11"
"Paraguay ","Week 52 ","-"," ","-"," ","-"
"Peru ","Week 52 ","6,395"," ","-"," ","-"
"Venezuela ","Week 52 ","9,180"," ","1,680"," ","13"
"Costa Rica ","Week 52 ","2, 307"," ","-"," ","-"
"El Salvador ","Week 52 ","790"," ","1"," ","-"
"Guatemala ","Week 52 ","3,679"," ","19"," ","-"
"Honduras ","Week 52 ","5,047"," ","-"," ","-"
"Mexico ","Week 52 ","36,538"," ","1,456"," ","44"
"Nicaragua ","Week 52 ","2,792"," ","49"," ","-"
"Panama ","Week 52 ","811"," ","-"," ","-"
"Dominican Republic** ","Week 52 ","89"," ","17"," ","2"
"Haiti ","Week 52 ","-"," ","-"," ","-"
"Puerto Rico+ ","Week 52 ","4,655"," ","24"," ","7"
"Anguila ","Week 28 ","1"," ","-"," ","-"
"Antigua & Barbados ","Week 52 ","12"," ","-"," ","-"
"Aruba ","Week 04 ","10"," ","-"," ","-"
"Bahamas ","Week 52 ","-"," ","-"," ","-"
"Barbados ","Week 52 ","130"," ","-"," ","-"
"Belize ","Week 52 ","-"," ","-"," ","-"
"Bermuda ","Week 52 ","-"," ","-"," ","-"
"British Virgin Islands ","Week 49 ","-"," ","-"," ","-"
"Cayman Islands ","Week 52 ","-"," ","-"," ","-"
"Curaçao ","Week ","-"," ","-"," ","-"
"Dominica ","Week 52 ","3"," ","-"," ","-"
"Grenada ","Week 52 ","6"," ","-"," ","-"
"Guadaloupe ","Week 52 ","186"," ","-"," ","-"
"Guyana ","Week 33 ","-"," ","-"," ","-"
"Jamaica ","Week 52 ","46"," ","-"," ","-"
"Martinique ","Week 52 ","430"," ","14"," ","-"
"Montserrat ","Week 52 ","3"," ","-"," ","-"
"St. Kitts/Nevis ","Week 52 ","6"," ","-"," ","-"
"St. Lucia ","Week 52 ","65"," ","-"," ","-"
"St. Vincent & Grenadines ","Week 52 ","190"," ","-"," ","-"
"Suriname ","Week 52 ","677"," ","-"," ","-"
"Turks & Caicos Islands ","Week 48 ","-"," ","-"," ","-"
"Total ","  ","292,609"," ","5,092"," ","78"
