"Country or Subregion","aWeek","bSuspected","Incidence cRate","Lab. Confirm.","Incidence cRate","Serotype","Severe dDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 53","0","","0","","","0","0","","",""
"United States***","Week 53","470","0.15","470","","","0","0","313,085","","0.00"
"Subtotal","","470","","470","","","0","0","313,085","",""
"Belize","Week 53","5,026","1,478.24","426","125.29","","146","0","340","2.90","0.00"
"Costa Rica","Week 53","11,140","225.60","185","3.75","DEN1,2,3","4","0","4,938","0.04","0.00"
"El Salvador","Week 53","53,460","844.82","16,146","255.15","DEN1,2,3","465","6","6,328","0.87","0.01"
"Guatemala","Week 53","19,791","122.73","1,748","10.84","DEN1,2,3,4","113","13","16,125","0.57","0.07"
"Honduras","Week 53","43,456","498.06","506","5.80","DEN1,2,3","2,335","5","8,725","5.37","0.01"
"Mexico","Week 53","124,943","104.30","32,100","26.80","DEN1,2,3,4","8,668","76","119,789","6.94","0.06"
"Nicaragua","Week 53","35,430","571.64","1,932","31.17","DEN1,2,3","2","0","6,198","0.01","0.00"
"Panama","Week 53","5,517","140.99","3,145","80.37","DEN1,2,3","20","9","3,913","0.36","0.16"
"Subtotal","","298,763","179.59","56,188","","","11,753","109","166,356","3.93","0.04"
"Bolivia","Week 53","23,726","218.71","1,278","11.78","DEN4","354","0","10,848","1.49","0.00"
"Colombia","Week 53","105,356","215.32","46,842","95.73","DEN1,2,3,4","2,619","166","48,930","2.49","0.16"
"Ecuador","Week 52","15,446","96.37","1,462","9.12","DEN1,2,3,4","67","12","16,027","0.43","0.08"
"Peru","Week 53","19,043","61.89","11,623","37.78","DEN1,2,3,4","95","31","30,769","0.50","0.16"
"Venezuela","Week 44","75,020","243.17","0","0.00","DEN1,2,3,4","187","0","30,851","0.25","0.00"
"Subtotal","","238,591","173.62","61,205","","","3,322","209","137,425","1.39","0.09"
"h Argentina","Week 53","3,270","7.82","490","1.17","DEN1,4","0","0","41,803","0.00","0.00"
"Brazil","Week 53","591,080","294.02","214,760","106.83","DEN1,2,3,4","689","410","201,032","0.12","0.07"
"&Chile","Week 53","30","0.66","30","0.66","","0","0","4,537","0.00","0.00"
"Paraguay","Week 53","10,010","150.01","418","6.26","DEN1,2,4","5","5","6,673","0.05","0.05"
"Uruguay","Week 53","0","0.00","0","0.00","","0","0","3,419","…","…"
"Subtotal","","604,390","234.75","215,698","","","694","415","257,464","0.11","0.07"
"fCuba","Week 53","2,522","22.40","0","0.00","","0","0","11,259","…","…"
"Dominican Republic","Week 53","6,274","63.48","0","0.00","DEN1,2,4","424","62","9,883","6.76","0.99"
"Puerto Rico","Week 53","8,880","241.04","530","14.39","DEN1,2,4","2","0","3,684","0.02","0.00"
"Subtotal","","17,676","71.20","530","","","426","62","24,826","2.41","0.35"
"American Virgin Islands","Week 53","10","9.62","10","9.62","","0","0","104","0.00","0.00"
"Anguilla*","Week 53","86","537.50","8","50.00","DEN1,4","0","0","16","0.00","0.00"
"Antigua & Barbuda*","Week 53","37","40.66","17","18.68","","0","0","91","0.00","0.00"
"Aruba","Week 48","400","360.36","34","30.63","DEN1","0","0","111","0.00","0.00"
"Bahamas*","Week 53","146","38.12","14","3.66","DEN1,2","0","0","383","0.00","0.00"
"Barbados*","Week 53","2,689","927.24","486","167.59","DEN1","2","0","290","0.07","0.00"
"Bermuda*","Week 53","1","1.43","1","1.43","","0","0","70","…","…"
"British Virgin Islands*","Week 53","239","724.24","69","209.09","","0","0","33","0.00","0.00"
"Cayman Islands*","Week 53","124","225.45","4","7.27","DEN1,3","0","0","55","0.00","0.00"
"Curacao*","Week 36","194","131.08","20","13.51","","0","0","148","0.00","0.00"
"Dominica*","Week 53","184","259.15","7","9.86","DEN4","0","0","71","0.00","0.00"
"French Guiana","Week 47","1,180","500.00","781","330.93","DEN1,2,4","7","0","236","0.59","0.00"
"Grenada*","Week 53","39","35.45","39","35.45","","1","1","110","2.56","2.56"
"Guadaloupe","Week 48","1,397","347.51","878","218.41","DEN 2,4","8","0","402","0.57","0.00"
"Guyana","Week 48","863","107.34","863","107.34","DEN4","0","0","804","0.00","0.00"
"Haiti","Week 00","0","0.00","98","0.94","","0","0","10,461","…","…"
"Jamaica","Week 53","928","34.09","72","2.65","DEN3","0","0","2,722","0.00","0.00"
"Martinique","Week 48","1,680","424.24","710","179.29","DEN1,2,4","11","2","396","0.65","0.12"
"Montserrat*","Week 53","17","340.00","1","20.00","DEN2","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 00","0","0.00","0","0.00","","0","0","225","…","…"
"St. Bartolome","Week 48","56","618.10","56","618.10","","0","0","9","0.00","0.00"
"St. Kitts & Nevis*","Week 53","75","144.23","9","17.31","","0","0","52","0.00","0.00"
"St. Lucia","Week 53","167","97.09","90","52.33","DEN4","0","0","172","0.00","0.00"
"St. Martin","Week 48","404","1,078.48","404","1,078.48","","1","0","37","0.25","0.00"
"St. Vincent & the Grenadines","Week 53","117","113.59","10","9.71","","0","0","103","0.00","0.00"
"Suriname","Week 53","197","36.21","13","2.39","DEN2","13","0","544","6.60","0.00"
"Trinidad & Tobago*","Week 53","5,157","383.71","258","19.20","DEN1,4","0","0","1,344","0.00","0.00"
"Turks & Caicos Islands*","Week 53","252","514.29","252","514.29","DEN1","0","0","49","0.00","0.00"
"Subtotal","","16,639","87.37","5,204","27.33","","43","3","19,044","0.26","0.02"
"TOTAL","","          1 ,176,529","194.43","339,295","","","       16,238","                  798","605,115","","0.07"
