"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 27","0","0.00","0","","","0","0","","","0.00"
"fUnited States","Week 27","56","0.02","62","","DEN","0","0","325,128","","0.00"
"Subtotal","","56","0.02","62","","","0","0","325128","","0.00"
"Belize","Week 00","","0.00","","0.00","","","","348","0.00","0.00"
"Costa Rica","Week 27","2,680","53.58","","0.00","DEN 1,2","0","0","5,002","0.00","0.00"
"El Salvador","Week 27","2,194","34.14","49","0.76","DEN 2","50","0","6,426","2.28","0.00"
"Guatemala","Week 24","1,296","7.97","230","1.41","DEN 1,2"," ","","16,255","0.00","0.00"
"Honduras","Week 27","3,279","37.60","0","0.00","DEN1,2,3","54","0","8,721","0.00","0.00"
"gMexico","Week 27","4,968","3.97","2,412","1.93","DEN 1,2,3,4","623","3","125,236","12.54","0.06"
"Nicaragua","Week 26","33,434","534.35","1,325","21.18","DEN","","2","6,257","0.00","0.01"
"Panama","Week 25","2,906","72.87","1,305","32.72","DEN 1,2","7","0","3,988","0.00","0.00"
"Subtotal","","50,757","29.47","5,321","3.09","","734","5","172,233","1.45","0.01"
"Bolivia","Week 20","6,668","60.48","","0.00","","47","","11,025","0.00","0.00"
"Colombia","Week 27","16,200","32.71","8,357","16.87","DEN","175","47","49,529","1.08","0.29"
"hEcuador","Week 27","9,569","58.97","9,569","58.97","DEN","8","4","16,226","0.08","0.04"
"Peru","Week 27","67,477","216.54","21,494","68.98","DEN 2,3","208","70","31,161","0.31","0.10"
"Venezuela","Week 17","2,722","8.77","309","1.00","DEN","7","0","31,028","0.00","0.00"
"Subtotal","","102,636","73.86","39,729","28.59","","445","121","138,969","0.43","0.12"
"iArgentina ","Week 27","7,290","121.00","254","0.60","DEN 1","0","0","42,155","0.00","0.00"
"Brazil","Week 25","192,123","94.34","","0.00","DEN","131","57","203,657","0.00","0.03"
"kChile","Week 27","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.00"
"Paraguay","Week 26","1,285","18.27","285","4.05","DEN 1","","0","7,033","0.00","0.00"
"Uruguay","Week 27","0","0.00","0","0.00","","0","0","3,430","0.00","0.00"
"Subtotal","","200,703","73.20","544","0.20","","131","57","274,199","0.03","0.03"
"Cuba","Week 25","270","2.40","","0.00","DEN 2,3","","","11,249","0.00","0.00"
"Dominican Republic","Week 27","624","5.86","","0.00","DEN","31","0","10,652","0.00","0.00"
"jPuerto Rico ","Week 27","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.00"
"Subtotal","","903","3.53","9","0.04","","31","0","25,581","2.67","0.00"
"American Virgin Islands","Week 19","1","0.96","1","0.96","DEN","0","0","104","0.00","0.00"
"Anguilla","Week 12","15","93.75","2","12.50","DEN","0","0","16","0.00","0.00"
"Antigua & Barbuda","Week 24","1","1.09","0"," 0.00","","0","0","92","0.00","0.00"
"Aruba","Week 24","661","590.18","8","7.14","DEN","0","0","112","0.00","0.00"
"Bahamas","Week 20","4","1.03","0","0.00","","0","0","388","0.00","0.00"
"Barbados","Week 20","151","51.89","29","9.97","DEN","0","0","291","0.00","0.00"
"Bermuda","Week 24","0","0.00","0","0.00","","0","0","70","0.00","0.00"
"British Virgin Islands","Week 20","28","84.85","28","84.85","DEN","0","0","33","0.00","0.00"
"Cayman Islands","Week 24","12","21.43","0","0.00","","0","0","56","0.00","0.00"
"Curacao","Week 00","0","0.00","0","0.00","","0","0","148","0.00","0.00"
"Dominica","Week 27","22","29.73","0","0.00","","0","0","74","0.00","0.00"
"French Guiana","Week 17","165","69.04","0","0.00","","0","0","239","0.00","0.00"
"Grenada","Week 20","59","53.15","59","53.15","DEN","0","0","111","0.00","0.00"
"Guadaloupe","Week 22","80","19.46","0","0.00","","0","0","411","0.00","0.00"
"Guyana","Week 00","","0.00","","0.00","","0","0","808","0.00","0.00"
"Haiti","Week 00","","0.00","","0.00","","0","0","10,604","0.00","0.00"
"Jamaica","Week 27","58","2.06","2","0.07","DEN","0","0","2,813","0.00","0.00"
"Martinique","Week 22","130","32.66","0","0.00","","0","0","398","0.00","0.00"
"Montserrat","Week 24","0","0.00","0","0.00","","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 00","","0.00","","0.00","","0","0","225","0.00","0.00"
"St. Bartolome","Week 22","24","264.90","0","0.00","","0","0","9","0.00","0.00"
"St. Kitts & Nevis","Week 24","4","7.69","0","0.00","","0","0","52","0.00","0.00"
"St. Lucia","Week 24","14","8.54","14","8.54","DEN","0","0","164","0.00","0.00"
"St. Martin","Week 22","82","200.00","0","0.00","","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","Week 16","2","1.94","1","0.97","","0","0","103","0.00","0.00"
"Suriname","Week 00","","0.00","","0.00","","0","0","548","0.00","0.00"
"Trinidad & Tobago","Week 19","61","4.53","0","0.00","","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands","Week 16","124","248.00","124","248.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","1,698","8.79","268","1.39","","0","0","19,312","0.00","0.00"
"TOTAL","","             356,753","37.34","        45,933","","","        1,341","                 183","955,422","0.38","0.051"
