"Country or Subregion","Epidemiological aweek","Total of dengue bcases ","Incidence crate ","Confirmed","Incidence drate ","Serotype","Severe edengue ","Deaths","PopulationX 1000","(SD/D) fx100 ","gCFR "
"Canada","39","0","0.00","0","0","0","0","0","0","0","0.000"
"hUnited States of America ","39","167","0.05","167","0.05","DEN","0","0","325,128","0","0.000"
"Belize","38","2,626","754.60","18","5.17","DEN","2","0","348","0.08","0.000"
"Costa Rica","34","4,254","85.05","0","0.00","DEN 1,2","0","0","5,002","0.00","0.000"
"El Salvador","39","3,203","51.28","159","2.55","DEN 2","4","0","6,246","0.12","0.000"
"Guatemala","37","2,831","17.42","658","4.05","DEN 1,2,3,4","30","9","16,255","1.06","0.318"
"Honduras","39","4,503","51.63","0","0.00","DEN 1,2,3","89","0","8,721","1.98","0.000"
"iMexico ","39","49,231","39.31","7,538","6.02","DEN 1,2,3","237","17","125,236","0.48","0.035"
"Nicaragua","38","51,291","819.74","1,897","30.32","DEN 2","0","2","6,257","0.00","0.004"
"Panama","37","5,540","138.92","2,539","63.67","DEN 1,2","12","0","3,988","0.22","0.000"
"Subtotal","","123,479","71.77","12,809","7.44","","374","28","172,053","0.30","0.023"
"Bolivia","39","8,954","81.22","852","7.73","DEN","71","2","11,025","0.79","0.022"
"Colombia","39","21,646","43.70","5,446","11.00","DEN 1,2,3,4","223","38","49,529","1.03","0.176"
"jEcuador ","39","10,828","66.73","10,828","66.73","DEN","15","4","16,226","0.14","0.037"
"Peru","39","73,170","234.81","24,688","79.23","DEN 2,3","234","82","31,161","0.32","0.112"
"Venezuela","31","4,929","15.89","860","2.77","DEN","19","0","31,028","0.39","0.000"
"Subtotal","","119,527","86.01","42,674","30.71","","562","126","138,969","0.47","0.105"
"kArgentina ","38","304","0.72","253","0.60","DEN 1,3","0","0","42,155","0.00","0.000"
"Brazil","35","219,040","107.55","0","0.00","DEN 1,2,3,4","184","88","203,657","0.08","0.040"
"lChile ","26","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.000"
"Paraguay","37","1,382","19.65","313","4.45","DEN 1","0","0","7,033","0.00","0.000"
"Uruguay","39","0","0.00","0","0.00","","0","0","3,430","0.00","0.000"
"Subtotal","","220,731","80.50","571","0.21","","184","88","274,199","0.08","0.040"
"Cuba","25","270","2.40","270","2.40","DEN 2,3","0","0","11,249","0.00","0.000"
"Dominican Republic","38","931","8.74","18","0.17","DEN","59","1","10,652","6.34","0.107"
"mPuerto Rico ","39","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.000"
"Subtotal","","1,210","4.73","297","1.16","","59","1","25,581","4.88","0.083"
"American Virgin Islands","39","1","0.96","1","0.96","DEN","0","0","104","0.00","0.000"
"Anguilla","28","18","112.50","2","12.50","DEN","0","0","16","0.00","0.000"
"Antigua & Barbuda","28","1","1.09","0","0.00","DEN","0","0","92","0.00","0.000"
"Country or Subregion","Epidemiological aweek","Total of dengue bcases ","Incidence crate ","Confirmed","Incidence drate ","Serotype","Severe edengue ","Deaths","PopulationX 1000","(SD/D) fx100 ","gCFR "
"Aruba","26","688","614.29"," 9","8.04","DEN","0","0","112","0.00","0.000"
"Bahamas","28","4","1.03","0","0.00","DEN","0","0","388","0.00","0.000"
"Barbados","28","192","65.98","29","9.97","DEN","0","0","291","0.00","0.000"
"Bermuda","28","0","0.00","0","0.00","","0","0","70","0.00","0.000"
"Bonaire, Saba and St. Eustatius","0","0","0.00","0","0.00","","0","0","0","0.00","0.000"
"British Virgin Islands","32","42","127.27","42","127.27","DEN","0","0","33","0.00","0.000"
"Cayman Islands","28","23","41.07","0","0.00","DEN","0","0","56","0.00","0.000"
"Curacao","0","0","0.00","0","0.00","","0","0","0","0.00","0.000"
"Dominica","28","31","41.89","0","0.00","DEN","0","0","74","0.00","0.000"
"French Guiana","37","625","261.51","0","0.00","DEN","0","0","239","0.00","0.000"
"Grenada","28","80","72.07","80","72.07","DEN","0","0","111","0.00","0.000"
"Guadaloupe","30","455","110.71","0","0.00","DEN","0","0","411","0.00","0.000"
"Haiti","0","0","0.00","0","0.00","","0","0","0","0.00","0.000"
"Jamaica","38","70","2.49","14","0.50","DEN 3","0","0","2,813","0.00","0.000"
"Martinique","30","72","18.09","1","0.25","DEN 2","0","0","398","0.00","0.000"
"Montserrat","28","0","0.00","0","0.00","","0","0","5","0.00","0.000"
"St. Bartolome","30","35","388.89","0","0.00","DEN","0","0","9","0.00","0.000"
"St. Kitts & Nevis","28","7","13.46","0","0.00","DEN","0","0","52","0.00","0.000"
"St. Lucia","24","14","8.54","14","8.54","DEN","0","0","164","0.00","0.000"
"St. Martin","30","157","382.93","0","0.00","DEN","0","0","41","0.00","0.000"
"St. Vincent & the Grenadines","28","3","2.91","0","0.00","DEN","0","0","103","0.00","0.000"
"Suriname","0","0","0.00","0","0.00","","0","0","0","0.00","0.000"
"Trinidad & Tobago","32","206","15.29","0","0.00","DEN","0","0","1,347","0.00","0.000"
"Turks & Caicos Islands","24","157","314.00","157","314.00","DEN","0","0","50","0.00","0.000"
"Subtotal","","2,886","37.06","349","4.48","","0","0","7,787","0.00","0.000"
"TOTAL","","                468,000","49.59","         56,867","","","         1,179","                              243","943,717","0.25","0.052"
