"Country.or.Subregion","Week","Probable","Lab.Confirm","Serotype","Severe.Dengue","Deaths","Population.x.1000"
"Canada","Week 24",0,0,NA,0,0,NA
"United States","Week 24",47,47,"DEN",0,0,325128
"Belize","Week 00",NA,NA,NA,NA,NA,348
"Costa Rica","Week 23",1856,NA,"DEN 1,2",0,0,5002
"El Salvador","Week 24",1794,45,"DEN 2",39,0,6426
"Guatemala","Week 17",794,98,"DEN 2",3,0,16255
"Honduras","Week 24",2679,0,"DEN",48,0,8721
"Mexico","Week 24",3782,1793,"DEN 1,2,3",477,3,125236
"Nicaragua","Week 11",12169,621,"DEN",NA,1,6257
"Panama","Week 20",2471,844,"DEN 1,2",7,0,3988
"Bolivia","Week 20",6668,NA,NA,47,NA,11025
"Colombia","Week 24",14522,8357,"DEN",178,51,49529
"Ecuador","Week 23",8576,8576,"DEN",8,4,16226
"Peru","Week 24",61981,18057,"DEN 2,3",183,63,31161
"Venezuela","Week 17",2722,309,"DEN",7,0,31028
"Argentina","Week 24",7028,249,"DEN 1",0,0,42155
"Brazil","Week 19",144326,NA,"DEN",82,23,203657
"Chile","Week 19",5,5,"DEN 2",0,0,17924
"Paraguay","Week 22",1036,265,"DEN 1",NA,0,7033
"Uruguay","Week 24",0,0,NA,0,0,3430
"Cuba","Week 00",NA,NA,NA,NA,NA,11249
"Dominican Republic","Week 23",502,NA,"DEN",23,0,10652
"Puerto Rico","Week 23",9,9,"DEN 2",0,0,3680
"American Virgin Islands","Week 19",1,1,"DEN",0,0,104
"Anguilla","Week 12",12,2,"DEN",0,0,16
"Antigua & Barbuda","Week 16",1,0,"DEN",0,0,92
"Aruba","Week 22",690,7,"DEN",0,0,112
"Bahamas","Week 12",0,0,NA,0,0,388
"Barbados","Week 12",96,21,"DEN",0,0,291
"Bermuda","Week 16",0,0,NA,0,0,70
"British Virgin Islands","Week 12",16,7,"DEN",0,0,33
"Cayman Islands","Week 16",7,0,"DEN",0,0,56
"Curacao","Week 00",0,0,NA,0,0,148
"Dominica","Week 08",10,0,"DEN",0,0,74
"French Guiana","Week 17",165,0,NA,0,0,239
"Grenada","Week 16",37,37,"DEN",0,0,111
"Guadaloupe","Week 22",80,0,NA,0,0,411
"Guyana","Week 00",NA,NA,NA,0,0,808
"Haiti","Week 00",NA,NA,NA,0,0,10604
"Jamaica","Week 12",18,0,"DEN",2,0,2813
"Martinique","Week 22",130,0,NA,0,0,398
"Montserrat","Week 16",0,0,NA,0,0,5
"Netherlands Antilles","Week 00",NA,NA,NA,0,0,225
"St. Bartolome","Week 22",24,0,NA,0,0,9
"St. Kitts & Nevis","Week 00",NA,NA,NA,0,0,52
"St. Lucia","Week 12",11,11,"DEN",0,0,164
"St. Martin","Week 22",82,0,NA,0,0,41
"St. Vincent & the Grenadines","Week 16",2,1,NA,0,0,103
"Suriname","Week 00",NA,NA,NA,0,0,548
"Trinidad & Tobago","Week 19",61,0,"DEN",0,0,1347
"Turks & Caicos Islands","Week 16",124,124,"DEN",0,0,50
