0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,8.74,8.74,0,0.000,6,Virgin Islands (US),Islas Vírgenes (EUA),0,15,850,9,15,1,103,DEN,0,9,final,2016
0,0.01,0.00,0,0.000,4,Argentina,Argentina,0,15,32,1,3,1,44271,DEN 1,0,4,Preliminar,2018
0,,,,,1,Canada,Canadá,0,15,124,0,15,1,0,  ,0,0,Preliminar,2017
0,0.01,0.01,0,0.000,1,United States of America,Estados Unidos de América,0,15,840,23,15,1,324460,DEN,0,23,Preliminar,2017
0,380.53,3.73,0.140154170,0.000,2,Belize,Belice,0,15,84,14,15,1,375,DEN,2,1427,Preliminar,2017
0,26.54,,0,0.000,2,Costa Rica,Costa Rica,0,15,188,,15,1,4906,"DEN 1,2",0,1302,final,2017
0,16.62,0.50,0,0.000,2,El Salvador,El Salvador,0,15,222,32,15,1,6378,DEN 2,0,1060,Preliminar,2017
0,3.83,,0,0.000,2,Guatemala,Guatemala,0,15,320,,15,1,16914,"DEN 1,2,3,4",0,647,Preliminar,2017
0,16.71,,1.744186047,0.000,2,Honduras,Honduras,0,15,340,,15,1,9265,"DEN 1,2,3",27,1548,Preliminar,2017
0,6.37,0.66,0.474337144,0.012,2,Mexico,México,1,15,484,854,15,1,129163,"DEN 1,2,3",39,8222,Preliminar,2017
0,273.35,14.57,,0.006,2,Nicaragua,Nicaragua,1,15,558,906,15,1,6218,DEN 2,,16997,Preliminar,2017
0,52.84,21.10,0.323176362,0.000,2,Panama,Panamá,0,15,591,865,15,1,4099,"DEN 1,2",7,2166,Preliminar,2017
0,61.56,6.80,0.440917108,0.029,3,Bolivia,Bolivia,2,15,68,751,15,1,11052,DEN,30,6804,Preliminar,2017
0,20.18,5.70,1.100898899,0.000,3,Colombia,Colombia,0,15,170,2799,15,1,49066,"DEN 1,2,3,4",109,9901,Preliminar,2017
0,31.22,31.22,0.077056444,0.039,3,Ecuador,Ecuador,2,15,218,5191,15,1,16625,DEN,4,5191,Preliminar,2017
0,49.89,14.73,0.317796610,0.087,3,Peru,Perú,14,15,604,4738,15,1,32165,"DEN 2,3",51,16048,Preliminar,2017
0,7.81,,3.924709652,0.000,3,Venezuela,Venezuela,0,15,862,,15,1,31977,DEN,98,2497,Preliminar,2017
0,0.54,0.21,0,0.000,4,Argentina,Argentina,0,15,32,91,15,1,44271,"DEN 1,3",0,237,Preliminar,2017
0,54.17,0.41,0.050272973,0.015,4,Brazil,Brasil,17,15,76,867,15,1,209288,"DEN 1,2,3,4",57,113381,Preliminar,2017
0,117.19,2.25,0.012528188,0.000,4,Paraguay,Paraguay,0,15,600,153,15,1,6811,DEN 1,1,7982,Preliminar,2017
0,0.87,0.87,0,0.000,3,Ecuador,Ecuador,0,15,218,144,2,1,16625,DEN,0,144,Preliminar,2018
0,,,,,1,Canada,Canadá,0,15,124,0,3,1,0,  ,0,0,Preliminar,2018
0,1.67,,3.288672351,0.000,3,Colombia,Colombia,0,15,170,,3,1,49066,DEN,27,821,Preliminar,2018
0,0.32,,11.764705882,0.000,5,Dominican Republic,República Dominicana,0,15,214,,3,1,10767,DEN,4,34,Preliminar,2018
0,1.32,1.32,,0.000,4,Paraguay,Paraguay,0,15,600,90,1,1,6811,DEN 1,,90,Preliminar,2018
0,1.66,,1.313320826,0.000,3,Peru,Perú,0,15,604,,2,1,32165,DEN,7,533,Preliminar,2018
0,0.00,0.00,,,5,Puerto Rico,Puerto Rico,0,15,630,0,3,1,3663,  ,0,0,Preliminar,2018
0,0.00,0.00,0,0.000,1,United States of America,Estados Unidos de América,0,15,840,2,3,1,324460,DEN,0,2,Preliminar,2018
0,0.00,0.00,,,4,Uruguay,Uruguay,0,15,858,0,3,1,3457,  ,0,0,Preliminar,2018
0,0.00,0.00,,,4,Uruguay,Uruguay,0,15,858,0,15,1,3457,  ,0,0,Preliminar,2017
0,2.60,0.03,4.285714286,0.000,5,Dominican Republic,República Dominicana,0,15,214,3,15,1,10767,DEN,12,280,Preliminar,2017
0,0.22,0.22,0,0.000,5,Puerto Rico,Puerto Rico,0,15,630,8,15,1,3663,DEN 2,0,8,Preliminar,2017
0,0.98,0.98,0,0.000,6,Virgin Islands (US),Islas Vírgenes (EUA),0,15,850,1,15,1,102,DEN,0,1,Preliminar,2017
0,88.24,11.76,0,,6,Anguilla,Anguila,,15,660,2,12,1,17,DEN,0,15,Preliminar,2017
0,1.05,0.00,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,15,28,0,15,1,95,DEN,0,1,Preliminar,2017
0,152.17,13.91,0,,6,Aruba,Aruba,,15,533,16,8,1,115,DEN,0,175,Preliminar,2017
0,0.00,0.00,,,6,Bahamas,Bahamas,0,15,44,0,12,1,395,  ,0,0,Preliminar,2017
0,32.88,7.19,0,0.000,6,Barbados,Barbados,0,15,52,21,12,1,292,DEN,0,96,Preliminar,2017
0,0.00,0.00,,,6,Bermuda,Bermuda,0,15,60,0,15,1,71,  ,0,0,Preliminar,2017
0,45.71,45.71,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,15,92,16,12,1,35,DEN,0,16,Preliminar,2017
0,10.34,0.00,0,0.000,6,Cayman Islands,Islas Caimán,0,15,136,0,12,1,58,DEN,0,6,Preliminar,2017
0,13.51,0.00,0,0.000,6,Dominica,Dominica,0,15,212,0,8,1,74,DEN,0,10,Preliminar,2017
0,15.18,15.18,0,0.000,6,Grenada,Granada,0,15,308,17,8,1,112,DEN,0,17,Preliminar,2017
0,10.00,0.00,0,0.000,6,Guadeloupe,Guadalupe,0,15,312,0,14,1,450,DEN,0,45,Preliminar,2017
0,2.56,0.13,0,0.000,2,El Salvador,El Salvador,0,15,222,8,3,1,6378,DEN,0,163,Preliminar,2018
0,0.87,0.00,0,0.000,6,Jamaica,Jamaica,0,15,388,0,15,1,2890,DEN,0,25,Preliminar,2017
0,13.51,0.00,0,0.000,6,Martinique,Martinica,0,15,474,0,15,1,385,  ,0,52,Preliminar,2017
0,0.00,0.00,,,6,Montserrat,Montserrat,0,15,500,0,15,1,5,  ,0,0,Preliminar,2017
