Code,Country,Year,Dengue
660,Anguilla,2017,22
660,Anguilla,2016,50
660,Anguilla,2015,8
660,Anguilla,2014,85
660,Anguilla,2013,8
660,Anguilla,2012,7
660,Anguilla,2011,9
660,Anguilla,2010,1
660,Anguilla,2009,0
660,Anguilla,2008,5
660,Anguilla,2007,0
660,Anguilla,2006,0
660,Anguilla,2005,0
660,Anguilla,2004,0
660,Anguilla,2003,2
660,Anguilla,2002,5
660,Anguilla,2001,25
660,Anguilla,2000,3
660,Anguilla,1999,12
660,Anguilla,1998,0
660,Anguilla,1997,0
660,Anguilla,1996,1
660,Anguilla,1995,4
660,Anguilla,1994,0
660,Anguilla,1993,0
660,Anguilla,1992,0
660,Anguilla,1991,0
660,Anguilla,1990,12
660,Anguilla,1989,0
660,Anguilla,1988,0
660,Anguilla,1987,0
660,Anguilla,1986,0
660,Anguilla,1985,0
660,Anguilla,1984,0
660,Anguilla,1983,2
660,Anguilla,1982,0
660,Anguilla,1981,1
660,Anguilla,1980,0
28,Antigua and Barbuda,2017,1
28,Antigua and Barbuda,2016,103
28,Antigua and Barbuda,2015,14
28,Antigua and Barbuda,2014,37
28,Antigua and Barbuda,2013,3
28,Antigua and Barbuda,2012,10
28,Antigua and Barbuda,2011,7
28,Antigua and Barbuda,2010,3
28,Antigua and Barbuda,2009,0
28,Antigua and Barbuda,2008,17
28,Antigua and Barbuda,2007,0
28,Antigua and Barbuda,2006,0
28,Antigua and Barbuda,2005,0
28,Antigua and Barbuda,2004,0
28,Antigua and Barbuda,2003,0
28,Antigua and Barbuda,2002,5
28,Antigua and Barbuda,2001,20
28,Antigua and Barbuda,2000,8
28,Antigua and Barbuda,1999,2
28,Antigua and Barbuda,1998,4
28,Antigua and Barbuda,1997,7
28,Antigua and Barbuda,1996,12
28,Antigua and Barbuda,1995,56
28,Antigua and Barbuda,1994,0
28,Antigua and Barbuda,1993,0
28,Antigua and Barbuda,1992,0
28,Antigua and Barbuda,1991,1
28,Antigua and Barbuda,1990,1
28,Antigua and Barbuda,1989,0
28,Antigua and Barbuda,1988,0
28,Antigua and Barbuda,1987,0
28,Antigua and Barbuda,1986,0
28,Antigua and Barbuda,1985,0
28,Antigua and Barbuda,1984,0
28,Antigua and Barbuda,1983,0
28,Antigua and Barbuda,1982,0
28,Antigua and Barbuda,1981,0
28,Antigua and Barbuda,1980,0
32,Argentina,2018,4
32,Argentina,2017,557
32,Argentina,2016,79455
32,Argentina,2015,4774
32,Argentina,2014,3270
32,Argentina,2013,9294
32,Argentina,2012,2803
32,Argentina,2011,213
32,Argentina,2010,1185
32,Argentina,2009,26600
32,Argentina,2008,40
32,Argentina,2007,173
32,Argentina,2006,181
32,Argentina,2005,34
32,Argentina,2004,3284
32,Argentina,2003,135
32,Argentina,2002,214
32,Argentina,2001,11
32,Argentina,2000,1700
32,Argentina,1999,3
32,Argentina,1998,822
32,Argentina,1997,0
32,Argentina,1996,0
32,Argentina,1995,0
32,Argentina,1994,0
32,Argentina,1993,0
32,Argentina,1992,0
32,Argentina,1991,0
32,Argentina,1990,0
32,Argentina,1989,0
32,Argentina,1988,0
32,Argentina,1987,0
32,Argentina,1986,0
32,Argentina,1985,0
32,Argentina,1984,0
32,Argentina,1983,0
32,Argentina,1982,0
32,Argentina,1981,0
