"Day_Of_Year","Reported_Dengue_Cases"
"0.61616","50.17703"
"7.84842","164.36693"
"14.77725","238.78438"
"22.36657","223.29428"
"28.98705","273.50125"
"36.55940","311.61346"
"42.56590","304.75391"
"48.88623","304.81381"
"57.73414","306.62674"
"64.70456","249.63210"
"71.97403","246.24275"
"78.93624","215.18471"
"86.51844","222.17299"
"93.17229","166.90445"
"101.06450","192.91591"
"107.39851","149.74812"
"122.88331","149.89484"
"129.20638","141.30917"
"135.81863","217.45274"
"143.74257","143.17601"
"151.62219","208.95692"
"157.61830","234.95041"
"164.26340","207.34758"
"172.14738","259.29562"
"178.77826","276.64957"
"185.99957","425.42160"
"192.65616","361.50754"
"200.83867","468.79001"
"207.46790","491.33127"
"212.17038","610.68451"
"214.67935","671.22723"
"220.91925","925.46576"
"228.83607","873.66742"
"235.75723","972.29236"
"242.77745","757.94904"
"249.70081","849.65753"
"256.71939","640.50153"
"257.99933","590.36938"
"259.62592","443.41031"
"262.86926","180.61604"
"265.13828","0.80991"
"271.66080","360.52698"
"278.31357","308.71664"
"286.18332","405.62146"
"292.80981","436.80826"
"299.47955","331.39563"
"310.54889","303.83472"
"314.03107","284.84747"
"320.67178","271.07751"
"328.58698","224.46649"
"334.58417","247.00175"
"340.90833","234.95790"
"348.18219","217.73569"
"352.61353","195.29922"
"356.72940","171.13066"
"363.66479","224.79883"
