Áreas de Planejamento, Regiões Administrativas e Bairros,População Censo 2000,Semana 01,Semana 02, Semana 03, Semana 04, Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10, Semana 11, Semana 12, Semana 13, Semana 14, Semana 15, Semana 16,Semana 17, Semana 18, Semana 19,Semana 20, Semana 21, Semana 22, Semana 23,Semana 24,Semana 25,Semana 26, Semana 27,Semana 28, Semana 29, Semana 30,Semana 31,Semana 32,Semana 33, Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42, Semana 43,Semana 44,Semana 45,Semana 46, Semana 47, Semana 48, Semana 49,Semana 50,Semana 51,Semana 52
TOTAL,6 291 773,  57,  57,  62,  97,  78,  108,  77,  68,  51,  52,  56,  36,  60,  36,  16,  12,  25,  26,  7,  17,  3,  7,  5,  7,  5,  5,  12,  3,  5,  3,  4,  6,  2,  2,  3,  5,  3,  9,  5,  9,  6,  4,  10,  32,  29,  49,  57,  60,  64,  47,  33,  24,
AREA DE PLANEJAMENTO 1, 248 908,  4,  4,  6,  15,  11,  15,  6,  5,  4,  3,  5,  2,  2,  2,  2,  1,  3,  3,  2,  0,  0,  0,  1,  1,  0,  0,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  2,  3,  4,  8,  4,  12,  3,  3,  4,
I PORTUARIA, 38 394,0,1,0,0,2,4,1,1,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,1,2,1,
SAÚDE, 2 010,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,
GAMBOA, 9 909,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SANTO CRISTO, 8 817,0,1,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,0,
CAJU, 17 658,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
II CENTRO, 33 378,  0,  0,  1,  1,  2,  1,  1,  0,  0,  1,  1,  1,  1,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  1,  3,  1,  1,  0,  1,  1,
CENTRO, 33 378,  0,  0,  1,  1,  2,  1,  1,  0,  0,  1,  1,  1,  1,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  1,  3,  1,  1,  0,  1,  1,
III RIO COMPRIDO, 68 882,  1,  1,  1,  10,  1,  3,  1,  1,  0,  0,  1,  1,  0,  2,  2,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  2,  1,  3,  1,  0,  0,
