Área Programática, Regiões Administrativas e Bairros,Pop. Censo 2010,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
Total,6.320.446,1.656,6.132,15.459,25.577,15.958,4.471,1.190,587,657,1.053,1.733,3.180,77.653,
Ignorado**,0,19,120,229,323,150,39,12,2,3,11,18,57,983,
Área de Programática 1.0,297.976,189,666,1.059,1.492,727,88,48,18,25,39,88,144,4.583,
I Portuária,48.664,19,80,125,203,117,6,11,4,2,2,7,13,589,
Saúde,2.749,2,10,15,22,16,0,2,1,1,0,3,1,73,
Gamboa,13.108,4,12,17,45,20,1,1,1,0,0,0,3,104,
Santo Cristo,12.330,9,18,57,66,42,4,3,2,1,0,1,6,209,
Caju,20.477,4,40,36,70,39,1,5,0,0,2,3,3,203,
II Centro,41.142,35,144,226,287,128,13,5,1,0,6,17,36,898,
Centro,41.142,35,144,226,287,128,13,5,1,0,6,17,36,898,
III Rio Comprido,78.975,61,211,332,472,232,33,16,4,9,13,17,25,1.425,
Catumbi,12.556,23,51,55,57,26,4,1,1,2,3,3,10,236,
Rio Comprido,43.764,16,117,211,288,126,20,10,2,6,8,12,10,826,
Cidade Nova,5.466,4,9,15,29,22,2,2,0,0,0,1,1,85,
Estácio,17.189,18,34,51,98,58,7,3,1,1,2,1,4,278,
VII São Cristóvão,84.908,38,102,134,252,104,21,11,3,10,9,32,44,760,
São Cristóvão,26.510,13,38,73,162,66,12,7,3,5,4,18,25,426,
Mangueira,17.835,3,15,19,22,15,4,3,0,1,4,3,7,96,
Benfica,25.081,22,49,42,68,23,5,1,0,4,1,11,12,238,
Vasco da Gama ,15.482,0,0,0,0,0,0,0,0,0,0,0,0,0,
XXI Paquetá,3.361,3,10,22,27,35,9,0,0,1,3,2,5,117,
Paquetá,3.361,3,10,22,27,35,9,0,0,1,3,2,5,117,
XXIII Santa Teresa,40.926,33,119,220,251,111,6,5,6,3,6,13,21,794,
Santa Teresa,40.926,33,119,220,251,111,6,5,6,3,6,13,21,794,
Área Programática 2.1,638.050,112,456,1.248,1.409,563,232,79,29,34,60,63,131,4.416,
IV Botafogo,239.729,37,192,470,453,160,89,29,16,14,27,13,37,1.537,
