"","Subsecretaria de Promoção da Saúde, Atenção Primária e Vigilância em Saúde","","","","","","","","","","","","","","","","","","",""
"","Superintendência de Vigilância em Saúde","","","","","","","","","","","","","","","","","","","","","","",""
"","Coordenação de Vigilância Epidemiológica ","","","","","","","","","","","","","","","","","","","","","","",""
"","Gerência de Vigilância de Doenças e Agravos","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Número de Casos de Dengue* por Mês, Áreas de Planejamento, Regiões Administrativas e Bairros","","","","","","","","","","","","","",""
"Município do Rio de Janeiro, 2012","","","","","","","","","","","","","",""
"Dados Atualizados em 12/12/2013","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total","","","","","","","","","","","","","",""
"Total","6.320.446","5.672","11.545","26.248","37.464","29.531","11.489","3.092","1.683","770","758","749","1.411","130.412","","","","","","","","","","","","","",""
"Bairro e/ou Distrito Ignorado**","0","51","64","244","392","367","181","38","19","10","7","21","31","1.425","","","","","","","","","","","","","",""
"Área de Programática 1.0","297.976","227","415","770","1.156","1.294","411","174","101","51","45","47","99","4.790","","","","","","","","","","","","","",""
"I Portuária","48.664","21","52","145","200","257","70","30","25","10","10","6","21","847","","","","","","","","","","","","","",""
"Saúde","2.749","1","4","9","13","10","3","2","1","1","0","4","5","53","","","","","","","","","","","","","",""
"Gamboa","13.108","3","13","26","38","43","8","3","4","0","0","0","4","142","","","","","","","","","","","","","",""
"Santo Cristo","12.330","12","19","57","74","77","24","12","1","3","1","0","3","283","","","","","","","","","","","","","",""
"Caju","20.477","5","16","53","75","127","35","13","19","6","9","2","9","369","","","","","","","","","","","","","",""
"II Centro","41.142","41","84","139","160","210","46","12","9","4","6","3","8","722","","","","","","","","","","","","","",""
"Centro","41.142","41","84","139","160","210","46","12","9","4","6","3","8","722","","","","","","","","","","","","","",""
"III Rio Comprido","78.975","57","106","169","300","335","124","43","29","13","12","17","28","1.233","","","","","","","","","","","","","",""
"Catumbi","12.556","6","22","23","40","63","30","12","7","2","2","3","8","218","","","","","","","","","","","","","",""
"Rio Comprido","43.764","38","53","103","153","175","63","22","16","8","8","10","12","661","","","","","","","","","","","","","",""
"Cidade Nova","5.466","2","6","12","33","25","6","4","1","1","0","0","1","91","","","","","","","","","","","","","",""
"Estácio","17.189","11","25","31","74","72","25","5","5","2","2","4","7","263","","","","","","","","","","","","","",""
"VII São Cristóvão","84.908","61","130","237","401","367","145","67","25","18","12","12","28","1.503","","","","","","","","","","","","","",""
"São Cristóvão","26.510","43","64","127","193","188","73","37","10","7","9","6","13","770","","","","","","","","","","","","","",""
"Mangueira","17.835","8","19","44","94","84","32","9","7","6","2","4","7","316","","","","","","","","","","","","","",""
"Benfica","25.081","10","47","66","114","95","40","21","8","5","1","2","8","417","","","","","","","","","","","","","",""
"Vasco da Gama ","15.482","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"XXI Paquetá","3.361","7","2","5","3","22","2","5","3","0","1","1","3","54","","","","","","","","","","","","","",""
"Paquetá","3.361","7","2","5","3","22","2","5","3","0","1","1","3","54","","","","","","","","","","","","","",""
"XXIII Santa Teresa","40.926","40","41","75","92","103","24","17","10","6","4","8","11","431","","","","","","","","","","","","","",""
"Santa Teresa","40.926","40","41","75","92","103","24","17","10","6","4","8","11","431","","","","","","","","","","","","","",""
"Área Programática 2.1","638.050","313","446","602","1.165","1.224","531","272","152","82","100","93","156","5.136","","","","","","","","","","","","","",""
"IV Botafogo","239.729","83","141","186","403","460","180","88","56","28","38","33","49","1.745","","","","","","","","","","","","","",""
"Flamengo","50.043","11","19","30","67","63","27","16","9","8","8","6","13","277","","","","","","","","","","","","","",""
"Glória","9.661","10","21","14","34","23","9","3","1","4","2","0","4","125","","","","","","","","","","","","","",""
"Laranjeiras","45.554","8","21","29","57","65","25","10","9","3","7","6","8","248","","","","","","","","","","","","","",""
"Catete","24.057","10","20","24","28","47","10","13","9","0","2","0","1","164","","","","","","","","","","","","","",""
"Cosme Velho","7.178","0","3","3","14","10","6","2","2","1","0","0","0","41","","","","","","","","","","","","","",""
"Botafogo","82.890","38","44","78","177","217","89","38","24","11","16","18","18","768","","","","","","","","","","","","","",""
"Humaitá","13.285","5","3","4","14","11","11","3","0","1","1","2","2","57","","","","","","","","","","","","","",""
"Urca","7.061","1","10","4","12","24","3","3","2","0","2","1","3","65","","","","","","","","","","","","","",""
"V Copacabana"," 161 191","89","143","218","309","355","168","92","52","25","29","28","49","1.557","","","","","","","","","","","","","",""
"Leme","14.799","5","8","21","27","38","10","3","3","4","3","2","3","127","","","","","","","","","","","","","",""
"Copacabana","146.392","84","135","197","282","317","158","89","49","21","26","26","46","1.430","","","","","","","","","","","","","",""
"VI Lagoa"," 167 774","63","85","101","238","230","82","32","25","18","26","24","35","959","","","","","","","","","","","","","",""
"Ipanema","42.743","14","22","23","68","65","20","12","11","4","7","7","9","262","","","","","","","","","","","","","",""
"Leblon","46.044","10","13","18","46","36","16","9","3","4","3","5","5","168","","","","","","","","","","","","","",""
"Lagoa","21.198","5","3","19","18","17","12","2","2","4","1","3","10","96","","","","","","","","","","","","","",""
"Jardim Botânico","18.009","6","9","16","26","21","7","1","5","4","5","4","4","108","","","","","","","","","","","","","",""
"Gávea","16.003","14","25","11","38","35","8","2","1","0","1","1","2","138","","","","","","","","","","","","","",""
"Vidigal","12.797","11","10","9","34","50","15","6","3","2","7","4","5","156","","","","","","","","","","","","","",""
"São Conrado","10.980","3","3","5","8","6","4","0","0","0","2","0","0","31","","","","","","","","","","","","","",""
"XXVII Rocinha"," 69 356","78","77","97","215","179","101","60","19","11","7","8","23","875","","","","","","","","","","","","","",""
"Rocinha"," 69 356","78","77","97","215","179","101","60","19","11","7","8","23","875","","","","","","","","","","","","","",""
"Área Programática 2.2"," 371 120","174","265","697","1.047","1.130","549","193","119","49","35","44","136","4.438","","","","","","","","","","","","","",""
"VIII Tijuca"," 181 810","92","130","395","508","553","248","94","64","26","13","24","90","2.237","","","","","","","","","","","","","",""
"Praça da Bandeira","8.662","6","16","37","34","39","19","7","2","1","1","1","2","165","","","","","","","","","","","","","",""
"Tijuca","163.805","79","106","333","448","498","223","84","58","23","10","22","86","1.970","","","","","","","","","","","","","",""
"Alto da Boa Vista","9.343","7","8","25","26","16","6","3","4","2","2","1","2","102","","","","","","","","","","","","","",""
"IX Vila Isabel"," 189 310","82","135","302","539","577","301","99","55","23","22","20","46","2.201","","","","","","","","","","","","","",""
"Maracanã","25.256","12","31","58","69","60","18","4","3","1","5","1","6","268","","","","","","","","","","","","","",""
"Vila Isabel","86.018","34","57","126","230","266","161","52","27","8","6","6","16","989","","","","","","","","","","","","","",""
"Andaraí","39.365","22","22","52","95","126","49","20","12","9","7","7","21","442","","","","","","","","","","","","","",""
"Grajaú","38.671","14","25","66","145","125","73","23","13","5","4","6","3","502","","","","","","","","","","","","","",""
"Área Programática 3.1"," 886 551","713","973","2.519","3.571","4.040","1.925","680","414","182","177","176","312","15.682","","","","","","","","","","","","","",""
"X Ramos"," 153 177","152","271","627","955","942","455","175","90","58","37","23","68","3.853","","","","","","","","","","","","","",""
"Manguinhos","36.160","12","21","82","95","49","24","11","10","10","5","3","6","328","","","","","","","","","","","","","",""
"Bonsucesso","18.711","52","90","167","322","346","166","83","36","24","15","11","31","1.343","","","","","","","","","","","","","",""
"Ramos","40.792","45","66","169","317","363","184","53","28","21","13","7","20","1.286","","","","","","","","","","","","","",""
"Olaria","57.514","43","94","209","221","184","81","28","16","3","4","2","11","896","","","","","","","","","","","","","",""
"XI Penha"," 321 887","205","334","1.043","1.260","1.070","445","104","50","33","32","42","73","4.691","","","","","","","","","","","","","",""
"Penha","78.678","56","158","539","492","267","74","20","11","8","11","8","13","1.657","","","","","","","","","","","","","",""
"Penha Circular","47.816","20","35","122","190","142","49","20","6","1","3","4","2","594","","","","","","","","","","","","","",""
"Brás de Pina","59.222","44","36","143","222","261","107","18","5","10","2","7","12","867","","","","","","","","","","","","","",""
"Cordovil","45.202","30","30","73","177","198","100","17","9","5","8","6","8","661","","","","","","","","","","","","","",""
"Parada de Lucas","23.923","9","17","29","58","61","46","5","4","6","3","7","17","262","","","","","","","","","","","","","",""
"Vigário Geral","41.820","21","30","60","44","69","38","11","5","1","2","6","12","299","","","","","","","","","","","","","",""
"Jardim América","25.226","25","28","77","77","72","31","13","10","2","3","4","9","351","","","","","","","","","","","","","",""
"XX Ilha Do Governador"," 212 574","317","279","657","1.029","1.512","732","260","179","75","88","82","138","5.348","","","","","","","","","","","","","",""
"Ribeira","3.528","3","2","6","12","18","9","2","6","2","1","1","0","62","","","","","","","","","","","","","",""
"Zumbi","2.016","3","5","11","15","19","13","1","2","0","1","2","0","72","","","","","","","","","","","","","",""
"Cacuia","11.013","24","17","41","78","151","71","18","19","6","6","2","4","437","","","","","","","","","","","","","",""
"Pitangueiras","11.756","13","14","24","27","77","59","20","8","4","8","2","8","264","","","","","","","","","","","","","",""
"Praia da Bandeira","5.948","3","4","10","11","18","7","0","0","1","1","0","1","56","","","","","","","","","","","","","",""
"Cocotá","4.877","15","14","31","49","93","35","9","16","3","4","4","13","286","","","","","","","","","","","","","",""
"Bancários","12.512","35","35","72","148","175","75","22","10","8","3","12","16","611","","","","","","","","","","","","","",""
"Freguesia (Ilha do Governador)","19.437","29","21","52","86","131","49","17","7","5","4","4","7","412","","","","","","","","","","","","","",""
"Jardim Guanabara","32.213","23","26","60","98","114","67","22","10","4","14","5","7","450","","","","","","","","","","","","","",""
"Jardim Carioca","24.848","33","29","65","140","211","94","40","29","16","13","8","19","697","","","","","","","","","","","","","",""
"Tauá","29.567","79","45","130","173","221","92","42","25","9","7","17","15","855","","","","","","","","","","","","","",""
"Moneró","6.476","6","8","22","33","38","18","9","8","1","4","0","3","150","","","","","","","","","","","","","",""
"Portuguesa","23.856","19","34","48","52","108","69","36","21","9","8","17","25","446","","","","","","","","","","","","","",""
"Galeão","22.971","31","22","59","87","113","70","19","17","7","14","8","20","467","","","","","","","","","","","","","",""
"Cidade Universitária","1.556","1","3","26","20","25","4","3","1","0","0","0","0","83","","","","","","","","","","","","","",""
"XXIX Complexo do Alemão"," 69 143","20","37","21","83","135","22","36","3","2","1","0","0","360","","","","","","","","","","","","","",""
"Complexo do Alemão"," 69 143","20","37","21","83","135","22","36","3","2","1","0","0","360","","","","","","","","","","","","","",""
"XXX Maré"," 129 770","19","52","171","244","381","271","105","92","14","19","29","33","1.430","","","","","","","","","","","","","",""
"Maré"," 129 770","19","52","171","244","381","271","105","92","14","19","29","33","1.430","","","","","","","","","","","","","",""
"Área Programática 3.2"," 569 970","379","1.095","2.366","3.530","3.736","1.526","301","176","85","69","49","96","13.408","","","","","","","","","","","","","",""
"XII Inhaúma"," 134 349","145","307","737","1.149","1.250","503","93","50","23","22","9","40","4.328","","","","","","","","","","","","","",""
"Higienópolis","15.734","6","17","35","63","84","37","9","5","3","0","1","1","261","","","","","","","","","","","","","",""
"Maria da Graça","7.972","6","10","14","22","54","28","12","5","0","2","1","1","155","","","","","","","","","","","","","",""
"Del Castilho","15.610","19","27","63","220","196","81","17","7","6","4","1","9","650","","","","","","","","","","","","","",""
"Inhaúma","45.698","69","126","297","510","602","243","38","21","10","9","4","17","1.946","","","","","","","","","","","","","",""
"Engenho da Rainha","26.659","14","59","160","187","182","66","8","5","2","2","1","6","692","","","","","","","","","","","","","",""
"Tomas Coelho","22.676","31","68","168","147","132","48","9","7","2","5","1","6","624","","","","","","","","","","","","","",""
"XIII Méier","397.782","230","788","1.620","2.315","2.382","977","206","126","62","47","40","56","8.849","","","","","","","","","","","","","",""
"Jacaré","8.343","12","51","84","59","128","77","42","19","7","3","4","6","492","","","","","","","","","","","","","",""
"São Francisco Xavier","8.766","3","10","32","43","32","8","4","3","1","0","0","0","136","","","","","","","","","","","","","",""
"Rocha","12.653","5","20","26","55","45","16","4","7","1","0","1","1","181","","","","","","","","","","","","","",""
"Riachuelo","10.895","5","15","43","55","55","32","7","2","1","0","1","4","220","","","","","","","","","","","","","",""
"Sampaio","42.172","2","12","38","64","112","51","11","7","0","1","0","2","300","","","","","","","","","","","","","",""
"Engenho Novo"," 9 276","22","83","168","275","339","132","47","14","4","6","9","5","1.104","","","","","","","","","","","","","",""
"Lins de Vasconcelos","37.487","15","33","87","143","205","81","11","11","3","6","3","3","601","","","","","","","","","","","","","",""
"Méier","49.828","18","64","165","310","364","161","22","13","13","10","5","7","1.152","","","","","","","","","","","","","",""
"Todos ds Santos","24.646","2","21","41","55","74","27","2","0","1","1","0","2","226","","","","","","","","","","","","","",""
"Cachambi","42.415","10","57","88","184","231","124","22","16","7","5","4","5","753","","","","","","","","","","","","","",""
"Engenho de Dentro","45.540","37","95","194","241","219","89","10","10","4","4","3","7","913","","","","","","","","","","","","","",""
"Água Santa","8.756","7","12","57","58","29","6","0","1","1","0","1","0","172","","","","","","","","","","","","","",""
"Encantado","15.021","10","14","74","139","71","22","0","5","2","1","0","3","341","","","","","","","","","","","","","",""
"Piedade","43.378","49","171","284","296","182","55","13","8","7","7","4","4","1.080","","","","","","","","","","","","","",""
"Abolição","11.356","9","47","69","96","89","33","2","2","3","1","1","3","355","","","","","","","","","","","","","",""
"Pilares","27.250","24","83","170","242","207","63","9","8","7","2","4","4","823","","","","","","","","","","","","","",""
"XVIII Jacarezinho"," 37 839","4","0","9","66","104","46","2","0","0","0","0","0","231","","","","","","","","","","","","","",""
"Jacarezinho"," 37 839","4","0","9","66","104","46","2","0","0","0","0","0","231","","","","","","","","","","","","","",""
"Área Programática 3.3"," 942 638","1.493","3.416","5.954","7.091","5.963","2.369","691","301","116","130","89","123","27.736","","","","","","","","","","","","","",""
"XIV Irajá"," 202 952","342","736","1.400","1.741","1.957","878","306","99","33","33","29","36","7.590","","","","","","","","","","","","","",""
"Vila Kosmos","18.274","9","24","51","105","158","113","37","7","0","1","1","3","509","","","","","","","","","","","","","",""
"Vicente de Carvalho","24.964","33","73","168","241","206","86","35","11","1","0","1","3","858","","","","","","","","","","","","","",""
"Vila da Penha","25.465","34","63","130","287","260","115","60","17","2","7","3","4","982","","","","","","","","","","","","","",""
"Vista Alegre","8.622","10","27","74","86","133","71","16","3","6","1","3","1","431","","","","","","","","","","","","","",""
"Irajá","96.382","177","351","690","851","1.004","412","121","47","15","22","16","14","3.720","","","","","","","","","","","","","",""
"Colégio","29.245","79","198","287","171","196","81","37","14","9","2","5","11","1.090","","","","","","","","","","","","","",""
"XV Madureira"," 372 555","774","2.000","3.248","2.900","1.882","663","190","109","52","52","22","52","11.944","","","","","","","","","","","","","",""
"Campinho","10.156","10","41","134","130","97","32","10","8","5","2","2","2","473","","","","","","","","","","","","","",""
"Quintino Bocaiúva","31.185","22","50","157","187","153","52","12","13","2","5","3","3","659","","","","","","","","","","","","","",""
"Cavalcanti","16.141","19","66","173","152","90","24","15","1","0","4","2","5","551","","","","","","","","","","","","","",""
"Engenheiro Leal","6.113","4","9","16","25","15","5","0","1","0","0","0","0","75","","","","","","","","","","","","","",""
"Cascadura","34.456","33","71","208","237","174","59","24","9","5","6","3","6","835","","","","","","","","","","","","","",""
"Madureira","50.106","58","223","447","447","332","123","32","22","11","10","5","14","1.724","","","","","","","","","","","","","",""
"Vaz Lobo","15.167","36","123","185","128","95","64","11","7","3","2","1","3","658","","","","","","","","","","","","","",""
"Turiaçu","17.246","19","59","112","94","63","13","3","1","0","1","0","2","367","","","","","","","","","","","","","",""
"Rocha Miranda","44.188","125","356","437","405","323","114","37","14","6","7","2","8","1.834","","","","","","","","","","","","","",""
"Honório Gurgel","21.989","35","92","168","180","127","36","8","9","3","2","2","0","662","","","","","","","","","","","","","",""
"Oswaldo Cruz","34.040","81","195","383","233","122","34","15","7","6","3","0","3","1.082","","","","","","","","","","","","","",""
"Bento Ribeiro","43.707","194","432","421","268","128","44","13","8","7","2","2","3","1.522","","","","","","","","","","","","","",""
"Marechal Hermes","48.061","138","283","407","414","163","63","10","9","4","8","0","3","1.502","","","","","","","","","","","","","",""
"XXII Anchieta"," 158 318","205","310","641","1.406","1.084","379","104","49","18","28","25","20","4.269","","","","","","","","","","","","","",""
"Guadalupe","47.144","104","175","325","401","301","141","30","13","7","8","3","6","1.514","","","","","","","","","","","","","",""
"Anchieta","55.652","70","100","213","651","528","163","52","25","9","15","14","10","1.850","","","","","","","","","","","","","",""
"Parque Anchieta","26.212","14","9","37","103","84","22","5","3","0","1","2","1","281","","","","","","","","","","","","","",""
"Ricardo de Albuquerque","29.310","17","26","66","251","171","53","17","8","2","4","6","3","624","","","","","","","","","","","","","",""
"XXV Pavuna"," 208 813","172","370","665","1.044","1.040","449","91","44","13","17","13","15","3.933","","","","","","","","","","","","","",""
"Coelho Neto","32.423","51","134","213","275","189","78","24","12","2","6","6","4","994","","","","","","","","","","","","","",""
"Acari","27.347","30","52","113","232","211","105","14","4","2","0","4","0","767","","","","","","","","","","","","","",""
"Barros Filho","14.049","12","21","30","65","54","21","4","3","0","1","0","0","211","","","","","","","","","","","","","",""
"Costa Barros","28.442","34","77","161","160","173","69","12","7","2","2","1","4","702","","","","","","","","","","","","","",""
"Pavuna","97.350","45","86","148","312","413","176","37","18","7","8","2","7","1.259","","","","","","","","","","","","","",""
"Parque Columbia"," 9 202","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"Área Programática 4.0","909.368","537","826","2.169","2.505","2.070","915","156","72","45","49","57","128","9.529","","","","","","","","","","","","","",""
"Xvi Jacarepagua","572.030","353","583","1.747","1.992","1.634","719","117","49","30","29","36","96","7.385","","","","","","","","","","","","","",""
"Jacarepaguá","157.326","63","59","164","231","185","97","14","5","2","2","5","8","835","","","","","","","","","","","","","",""
"Anil","24.172","22","26","82","103","53","29","3","0","1","1","2","6","328","","","","","","","","","","","","","",""
