"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Total","6.320.446","3.930","8.851","21.062","22.110","6.745","1.768","593","245","218","213","285","258","66.278"
"Bairro de Residência Ignorado**","0","105","220","290","237","129","38","11","5","2","7","6","5","1.055"
"Área de Programática 1.0","297.976","251","678","1.368","1.706","632","102","25","16","17","6","15","22","4.838"
"I Portuária","48.664","44","135","269","297","115","18","0","4","3","0","1","3","889"
"SaúdeGamboa","2.74913.108","125","1423","1241","638","916","22","00","00","00","00","00","00","55125"
"Santo Cristo","12.330","14","31","57","56","26","6","0","0","0","0","0","1","191"
"Caju","20.477","13","67","159","197","64","8","0","4","3","0","1","2","518"
"II Centro","41.142","37","76","180","210","72","12","2","2","3","2","4","3","603"
"Centro","41.142","37","76","180","210","72","12","2","2","3","2","4","3","603"
"III Rio Comprido","78.975","74","206","402","480","171","24","7","2","1","0","3","7","1.377"
"Catumbi","12.556","28","47","50","67","11","3","0","0","1","0","1","3","211"
"Rio Comprido","43.764","29","95","199","247","102","16","5","1","0","0","2","4","700"
"Cidade NovaEstácio","5.46617.189","314","2440","46107","47119","1147","05","02","01","00","00","00","00","131335"
"VII São Cristóvão","84.908","49","113","246","378","192","29","15","8","2","1","3","1","1.037"
"São CristóvãoMangueiraBenfica","26.51017.83525.081","19327","551246","1292691","2325987","1093251","14510","1014","602","101","100","210","100","579139319"
"Vasco da Gama XXI PaquetáPaquetá","15.4823.3613.361","01616","05151","04444","03838","088","011","000","000","000","000","000","000","0158158"
"XXIII Santa Teresa","40.926","31","97","227","303","74","18","1","0","8","3","4","8","774"
"Santa Teresa","40.926","31","97","227","303","74","18","1","0","8","3","4","8","774"
"Área Programática 2.1","638.050","537","1.193","2.683","2.881","970","188","46","16","13","11","17","17","8.572"
"IV Botafogo","239.729","148","351","931","1.014","318","50","10","7","5","3","8","5","2.850"

"Flamengo","50.043","26","43","126","138","44","14","2","1","2","1","2","1","400"
"GlóriaLaranjeirasCatete","9.66145.55424.057","52613","263444","90127147","75157135","313751","358","110","100","000","100","111","010","234389399"
"Cosme VelhoBotafogoHumaitá","7.17882.89013.285","7663","1915522","5231753","5038143","1311910","2153","050","050","030","010","030","120","1441.072134"
"UrcaV Copacabana","7.061 161 191","2129","8376","19834","35992","13319","047","114","06","02","04","05","04","782.732"
"Leme","14.799","13","29","103","115","27","4","4","0","0","0","0","2","297"
"Copacabana","146.392","116","347","731","877","292","43","10","6","2","4","5","2","2.435"
"VI LagoaIpanemaLeblon","167 77442.74346.044","822121","1573226","45711094","534121107","1423813","2755","1012","201","100","412","420","601","1.426331272"
"LagoaJardim BotânicoGávea","21.19818.00916.003","9139","183518","517658","697960","252014","314","112","000","100","001","010","003","177226169"
"VidigalSão ConradoXXVII Rocinha","12.79710.980 69 356","45178","199309","5018461","7325341","275191","8164","2112","011","005","000","100","202","186651.564"
"Rocinha","69 356","178","309","461","341","191","64","12","1","5","0","0","2","1.564"
"Área Programática 2.2","371 120","384","902","1.516","1.818","548","78","19","6","9","6","8","11","5.305"
"VIII Tijuca","181 810","184","419","792","977","294","38","9","2","5","1","2","9","2.732"
"Praça da Bandeira","8.662","4","11","47","51","20","4","0","0","0","0","2","0","139"
