"ÁreaProgramática,Regiões","","População","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICA","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total"
"AdministrativaseBairros","","Censo2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52",""
"Total","","6320446","150","177","176","221","188","177","181","93","111","123","137","113","105","119","80","83","81","90","76","47","29","45","37","29","29","23","27","26","32","23","28","21","21","24","22","18","19","36","23","39","26","19","2","0","0","0","0","0","0","0","0","0","3126"
"BairrodeResidênciaIgnorado**","","0","10","9","17","18","10","19","5","4","5","9","17","4","3","3","3","4","4","6","9","3","1","3","1","2","1","2","3","1","0","1","1","0","3","1","0","0","0","2","0","3","6","2","1","0","0","0","0","0","0","0","0","0","196"
"ÁreaProgramática1.0","","297976","11","14","9","13","15","18","12","12","9","6","7","10","5","12","5","9","6","7","8","5","0","3","3","2","2","0","3","4","3","1","1","2","0","2","2","0","2","1","1","5","2","1","0","0","0","0","0","0","0","0","0","0","233"
"IPortuária","","48664","2","2","0","0","2","6","3","1","2","2","0","2","1","4","0","2","1","1","3","2","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","43"
"Saúde","","2749","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Gamboa","","13108","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","1","1","1","3","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"SantoCristo","","12330","0","0","0","0","1","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","9"
"Caju","","20477","2","2","0","0","1","4","1","1","0","1","0","0","0","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","19"
