"Área Programática, Regiões","População","","","","","","","","","","","","","","","","","","","","","","","","S E M A","N A  E","P I D E","M I O","L Ó G","I C A","","","","","","","","","","","","","","","","","","","","","","","",""
"Administrativas e Bairros","Censo 2010","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","Total"
"Total","6.320.446","63","89","112","75","89","57","64","96","90","150","132","144","192","242","218","176","199","188","115","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.538"
"Bairro de Residência Ignorado**","0","2","3","3","4","1","2","1","1","0","0","1","1","6","7","9","13","10","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
"Área Programática 1.0","297.976","2","5","9","4","1","3","6","11","7","20","10","9","17","11","9","8","12","8","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","161"
"I - Portuária","48.664","0","0","2","0","0","0","1","1","0","3","0","0","6","3","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Saúde","2.749","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gamboa","13.108","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Santo Cristo","12.330","0","0","2","0","0","0","0","0","0","1","0","0","4","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Caju","20.477","0","0","0","0","0","0","0","1","0","2","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"II - Centro","41.142","0","0","1","2","0","1","2","2","4","4","1","5","3","3","2","2","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36"
"Centro","41.142","0","0","1","2","0","1","2","2","4","4","1","5","3","3","2","2","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36"
"III - Rio Comprido","78.975","0","2","4","2","0","0","0","5","0","3","1","3","3","1","0","1","3","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"Catumbi","12.556","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Rio Comprido","43.764","0","1","3","2","0","0","0","3","0","1","1","0","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Cidade Nova","5.466","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Estácio","17.189","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"VII - São Cristóvão","84.908","1","1","0","0","1","1","0","1","3","2","0","1","1","2","2","5","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"São Cristóvão","26.510","0","1","0","0","1","0","0","1","1","2","0","0","0","2","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Mangueira","17.835","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Benfica","25.081","0","0","0","0","0","0","0","0","2","0","0","1","1","0","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Vasco da Gama","15.482","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XXI - Ilha de Paquetá","3.361","0","0","0","0","0","0","1","1","0","8","7","0","2","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"Paquetá","3.361","0","0","0","0","0","0","1","1","0","8","7","0","2","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"XXIII - Santa Teresa","40.926","1","2","2","0","0","1","2","1","0","0","1","0","2","2","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Santa Teresa","40.926","1","2","2","0","0","1","2","1","0","0","1","0","2","2","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
