"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases"
"2013","Planning Area 1.0","I Portuária","Caju","20477","1","13"
"2013","Planning Area 1.0","I Portuária","Caju","20477","2","67"
"2013","Planning Area 1.0","I Portuária","Caju","20477","3","159"
"2013","Planning Area 1.0","I Portuária","Caju","20477","4","197"
"2013","Planning Area 1.0","I Portuária","Caju","20477","5","64"
"2013","Planning Area 1.0","I Portuária","Caju","20477","6","8"
"2013","Planning Area 1.0","I Portuária","Caju","20477","7","0"
"2013","Planning Area 1.0","I Portuária","Caju","20477","8","4"
"2013","Planning Area 1.0","I Portuária","Caju","20477","9","3"
"2013","Planning Area 1.0","I Portuária","Caju","20477","10","0"
"2013","Planning Area 1.0","I Portuária","Caju","20477","11","1"
"2013","Planning Area 1.0","I Portuária","Caju","20477","12","2"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","1","125"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","2","1423"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","3","1241"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","4","638"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","5","916"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","6","22"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","7","00"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","8","00"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","9","00"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","10","00"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","11","00"
"2013","Planning Area 1.0","I Portuária","Gamboa","274913108","12","00"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","1","14"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","2","31"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","3","57"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","4","56"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","5","26"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","6","6"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","7","0"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","8","0"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","9","0"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","10","0"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","11","0"
"2013","Planning Area 1.0","I Portuária","Santo Cristo","12330","12","1"
"2013","Planning Area 1.0","II Centro","Centro","41142","1","37"
"2013","Planning Area 1.0","II Centro","Centro","41142","2","76"
"2013","Planning Area 1.0","II Centro","Centro","41142","3","180"
"2013","Planning Area 1.0","II Centro","Centro","41142","4","210"
"2013","Planning Area 1.0","II Centro","Centro","41142","5","72"
"2013","Planning Area 1.0","II Centro","Centro","41142","6","12"
"2013","Planning Area 1.0","II Centro","Centro","41142","7","2"
"2013","Planning Area 1.0","II Centro","Centro","41142","8","2"
"2013","Planning Area 1.0","II Centro","Centro","41142","9","3"
"2013","Planning Area 1.0","II Centro","Centro","41142","10","2"
"2013","Planning Area 1.0","II Centro","Centro","41142","11","4"
"2013","Planning Area 1.0","II Centro","Centro","41142","12","3"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","1","28"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","2","47"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","3","50"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","4","67"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","5","11"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","6","3"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","7","0"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","8","0"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","9","1"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","10","0"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","11","1"
"2013","Planning Area 1.0","III Rio Comprido","Catumbi","12556","12","3"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","1","314"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","2","2440"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","3","46107"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","4","47119"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","5","1147"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","6","05"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","7","02"
"2013","Planning Area 1.0","III Rio Comprido","Cidade Nova","546617189","8","01"
