"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2016","Planning Area 1.0","I Portuária","Caju","20477","1","2"
"2016","Planning Area 1.0","I Portuária","Caju","20477","2","4"
"2016","Planning Area 1.0","I Portuária","Caju","20477","3","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","4","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","5","2"
"2016","Planning Area 1.0","I Portuária","Caju","20477","6","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","7","3"
"2016","Planning Area 1.0","I Portuária","Caju","20477","8","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","9","5"
"2016","Planning Area 1.0","I Portuária","Caju","20477","10","3"
"2016","Planning Area 1.0","I Portuária","Caju","20477","11","4"
"2016","Planning Area 1.0","I Portuária","Caju","20477","12","9"
"2016","Planning Area 1.0","I Portuária","Caju","20477","13","5"
"2016","Planning Area 1.0","I Portuária","Caju","20477","14","2"
"2016","Planning Area 1.0","I Portuária","Caju","20477","15","5"
"2016","Planning Area 1.0","I Portuária","Caju","20477","16","3"
"2016","Planning Area 1.0","I Portuária","Caju","20477","17","5"
"2016","Planning Area 1.0","I Portuária","Caju","20477","18","8"
"2016","Planning Area 1.0","I Portuária","Caju","20477","19","4"
"2016","Planning Area 1.0","I Portuária","Caju","20477","20","2"
"2016","Planning Area 1.0","I Portuária","Caju","20477","21","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","22","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","23","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","24","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","25","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","26","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","27","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","28","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","29","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","30","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","31","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","32","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","33","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","34","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","35","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","36","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","37","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","38","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","39","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","40","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","41","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","42","1"
"2016","Planning Area 1.0","I Portuária","Caju","20477","43","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","44","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","45","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","46","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","47","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","48","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","49","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","50","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","51","0"
"2016","Planning Area 1.0","I Portuária","Caju","20477","52","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","1","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","2","1"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","3","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","4","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","5","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","6","1"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","7","1"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","8","4"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","9","1"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","10","1"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","11","2"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","12","1"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","13","7"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","14","13"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","15","15"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","16","11"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","17","6"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","18","2"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","19","5"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","20","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","21","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","22","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","23","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","24","1"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","25","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","26","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","27","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","28","0"
