"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases","Incidence.Per.100000"
"2011","Planning Area 1.0","I Portuária","Caju","20477","January","4",19.53
"2011","Planning Area 1.0","I Portuária","Caju","20477","February","40",195.34
"2011","Planning Area 1.0","I Portuária","Caju","20477","March","36",175.81
"2011","Planning Area 1.0","I Portuária","Caju","20477","April","70",341.85
"2011","Planning Area 1.0","I Portuária","Caju","20477","May","39",190.46
"2011","Planning Area 1.0","I Portuária","Caju","20477","June","1",4.88
"2011","Planning Area 1.0","I Portuária","Caju","20477","July","5",24.42
"2011","Planning Area 1.0","I Portuária","Caju","20477","August","0",0
"2011","Planning Area 1.0","I Portuária","Caju","20477","September","0",0
"2011","Planning Area 1.0","I Portuária","Caju","20477","October","2",9.77
"2011","Planning Area 1.0","I Portuária","Caju","20477","November","3",14.65
"2011","Planning Area 1.0","I Portuária","Caju","20477","December","3",14.65
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","January","4",30.52
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","February","12",91.55
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","March","17",129.69
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","April","45",343.3
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","May","20",152.58
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","June","1",7.63
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","July","1",7.63
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","August","1",7.63
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","September","0",0
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","October","0",0
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","November","0",0
"2011","Planning Area 1.0","I Portuária","Gamboa","13108","December","3",22.89
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","January","9",72.99
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","February","18",145.99
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","March","57",462.29
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","April","66",535.28
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","May","42",340.63
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","June","4",32.44
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","July","3",24.33
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","August","2",16.22
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","September","1",8.11
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","October","0",0
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","November","1",8.11
"2011","Planning Area 1.0","I Portuária","Santo Cristo","12330","December","6",48.66
"2011","Planning Area 1.0","I Portuária","Saúde","2749","January","2",72.75
"2011","Planning Area 1.0","I Portuária","Saúde","2749","February","10",363.77
"2011","Planning Area 1.0","I Portuária","Saúde","2749","March","15",545.65
"2011","Planning Area 1.0","I Portuária","Saúde","2749","April","22",800.29
"2011","Planning Area 1.0","I Portuária","Saúde","2749","May","16",582.03
"2011","Planning Area 1.0","I Portuária","Saúde","2749","June","0",0
"2011","Planning Area 1.0","I Portuária","Saúde","2749","July","2",72.75
"2011","Planning Area 1.0","I Portuária","Saúde","2749","August","1",36.38
"2011","Planning Area 1.0","I Portuária","Saúde","2749","September","1",36.38
"2011","Planning Area 1.0","I Portuária","Saúde","2749","October","0",0
"2011","Planning Area 1.0","I Portuária","Saúde","2749","November","3",109.13
"2011","Planning Area 1.0","I Portuária","Saúde","2749","December","1",36.38
"2011","Planning Area 1.0","II Centro","Centro","41142","January","35",85.07
"2011","Planning Area 1.0","II Centro","Centro","41142","February","144",350.01
"2011","Planning Area 1.0","II Centro","Centro","41142","March","226",549.32
"2011","Planning Area 1.0","II Centro","Centro","41142","April","287",697.58
"2011","Planning Area 1.0","II Centro","Centro","41142","May","128",311.12
"2011","Planning Area 1.0","II Centro","Centro","41142","June","13",31.6
"2011","Planning Area 1.0","II Centro","Centro","41142","July","5",12.15
"2011","Planning Area 1.0","II Centro","Centro","41142","August","1",2.43
"2011","Planning Area 1.0","II Centro","Centro","41142","September","0",0
"2011","Planning Area 1.0","II Centro","Centro","41142","October","6",14.58
"2011","Planning Area 1.0","II Centro","Centro","41142","November","17",41.32
"2011","Planning Area 1.0","II Centro","Centro","41142","December","36",87.5
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","January","23",183.18
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","February","51",406.18
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","March","55",438.04
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","April","57",453.97
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","May","26",207.07
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","June","4",31.86
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","July","1",7.96
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","August","1",7.96
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","September","2",15.93
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","October","3",23.89
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","November","3",23.89
"2011","Planning Area 1.0","III Rio Comprido","Catumbi","12556","December","10",79.64
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","January","4",73.18
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","February","9",164.65
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","March","15",274.42
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","April","29",530.55
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","May","22",402.49
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","June","2",36.59
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","July","2",36.59
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","August","0",0
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","September","0",0
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","October","0",0
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","November","1",18.29
"2011","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","December","1",18.29
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","January","18",104.72
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","February","34",197.8
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","March","51",296.7
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","April","98",570.13
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","May","58",337.43
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","June","7",40.72
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","July","3",17.45
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","August","1",5.82
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","September","1",5.82
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","October","2",11.64
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","November","1",5.82
"2011","Planning Area 1.0","III Rio Comprido","Estácio","17189","December","4",23.27
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","January","16",36.56
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","February","117",267.34
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","March","211",482.13
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","April","288",658.08
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","May","126",287.91
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","June","20",45.7
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","July","10",22.85
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","August","2",4.57
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","September","6",13.71
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","October","8",18.28
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","November","12",27.42
"2011","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","December","10",22.85
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","January","22",87.72
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","February","49",195.37
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","March","42",167.46
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","April","68",271.12
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","May","23",91.7
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","June","5",19.94
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","July","1",3.99
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","August","0",0
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","September","4",15.95
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","October","1",3.99
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","November","11",43.86
"2011","Planning Area 1.0","VII São Cristovão","Benfica","25081","December","12",47.84
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","January","3",16.82
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","February","15",84.1
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","March","19",106.53
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","April","22",123.35
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","May","15",84.1
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","June","4",22.43
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","July","3",16.82
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","August","0",0
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","September","1",5.61
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","October","4",22.43
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","November","3",16.82
"2011","Planning Area 1.0","VII São Cristovão","Mangueira","17835","December","7",39.25
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","January","13",49.04
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","February","38",143.34
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","March","73",275.37
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","April","162",611.09
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","May","66",248.96
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","June","12",45.27
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","July","7",26.41
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","August","3",11.32
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","September","5",18.86
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","October","4",15.09
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","November","18",67.9
"2011","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","December","25",94.3
"2011","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15482","January","0",0
"2011","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15482","February","0",0
"2011","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15482","March","0",0
"2011","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15482","April","0",0
"2011","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15482","May","0",0
"2011","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15482","June","0",0
