"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo "," 309 "," 392 "," 340 "," 528 "," 698 "," 1610 "," 2085 "," 824 "," 863 "," 599 "," 536 "," 1339 "," 10123 "
"Gampaha "," 134 "," 119 "," 141 "," 183 "," 218 "," 537 "," 911 "," 428 "," 367 "," 321 "," 347 "," 668 "," 4374 "
"Kalutara "," 48 "," 52 "," 57 "," 133 "," 148 "," 185 "," 188 "," 107 "," 93 "," 100 "," 111 "," 194 "," 1416 "
"Kandy "," 26 "," 28 "," 32 "," 62 "," 53 "," 81 "," 218 "," 99 "," 251 "," 255 "," 182 "," 348 "," 1635 "
"Matale "," 10 "," 18 "," 16 "," 20 "," 37 "," 53 "," 66 "," 25 "," 26 "," 17 "," 21 "," 56 "," 365 "
"N Eliya "," 3 "," 8 "," 9 "," 19 "," 17 "," 20 "," 50 "," 10 "," 31 "," 43 "," 17 "," 25 "," 252 "
"Galle "," 7 "," 19 "," 30 "," 57 "," 98 "," 112 "," 168 "," 100 "," 96 "," 50 "," 49 "," 93 "," 879 "
"Hambantota "," 16 "," 8 "," 27 "," 70 "," 87 "," 48 "," 51 "," 18 "," 19 "," 13 "," 20 "," 39 "," 416 "
"Matara "," 14 "," 18 "," 35 "," 55 "," 57 "," 51 "," 83 "," 27 "," 63 "," 72 "," 141 "," 179 "," 795 "
"Jaffna "," 58 "," 34 "," 24 "," 20 "," 10 "," 16 "," 35 "," 33 "," 46 "," 19 "," 34 "," 71 "," 400 "
"Kilinochchi "," 2 "," 4 "," 10 "," 13 "," 4 "," 3 "," 3 "," 5 "," 8 "," 3 "," 4 "," 7 "," 66 "
"Mannar "," 8 "," 5 "," 4 "," 2 "," 2 "," 2 "," 2 "," 1 "," 0 "," 17 "," 8 "," 49 "," 100 "
"Vavuniya "," 13 "," 3 "," 15 "," 5 "," 7 "," 11 "," 8 "," 2 "," 3 "," 3 "," 4 "," 7 "," 81 "
"Mulativu "," 2 "," 3 "," 0 "," 1 "," 1 "," 7 "," 1 "," 0 "," 0 "," 1 "," 2 "," 1 "," 19 "
"Batticaloa "," 31 "," 41 "," 104 "," 185 "," 141 "," 112 "," 53 "," 21 "," 35 "," 123 "," 289 "," 558 "," 1693 "
"Ampara "," 12 "," 6 "," 2 "," 20 "," 10 "," 29 "," 20 "," 11 "," 24 "," 13 "," 16 "," 33 "," 196 "
"Trincomalee "," 7 "," 17 "," 25 "," 25 "," 12 "," 19 "," 21 "," 6 "," 10 "," 3 "," 8 "," 24 "," 177 "
"Kurunegala "," 31 "," 49 "," 60 "," 59 "," 91 "," 116 "," 178 "," 84 "," 84 "," 71 "," 82 "," 135 "," 1040 "
"Puttalam "," 72 "," 64 "," 49 "," 28 "," 21 "," 52 "," 62 "," 23 "," 31 "," 27 "," 40 "," 102 "," 571 "
"Apura "," 21 "," 18 "," 14 "," 21 "," 31 "," 39 "," 43 "," 21 "," 22 "," 24 "," 12 "," 33 "," 299 "
"Polonnaruwa "," 5 "," 38 "," 20 "," 28 "," 38 "," 44 "," 36 "," 23 "," 18 "," 16 "," 6 "," 32 "," 304 "
"Badulla "," 22 "," 21 "," 15 "," 36 "," 31 "," 65 "," 201 "," 54 "," 46 "," 39 "," 49 "," 53 "," 632 "
"Moneragala "," 17 "," 24 "," 15 "," 33 "," 16 "," 18 "," 32 "," 17 "," 34 "," 30 "," 40 "," 36 "," 312 "
"Ratnapura "," 47 "," 38 "," 40 "," 113 "," 89 "," 118 "," 153 "," 86 "," 117 "," 87 "," 91 "," 181 "," 1160 "
"Kegalle "," 15 "," 24 "," 28 "," 51 "," 48 "," 120 "," 141 "," 81 "," 156 "," 176 "," 88 "," 152 "," 1080 "
"Kalmunai "," 3 "," 1 "," 6 "," 4 "," 2 "," 3 "," 8 "," 0 "," 2 "," 5 "," 6 "," 48 "," 88 "
"TOTAL "," 933 "," 1052 "," 1118 "," 1771 "," 1967 "," 3471 "," 4817 "," 2106 "," 2445 "," 2127 "," 2203 "," 4463 "," 28473 "
