"Month","Week Ending","Week","Cases"
" January "," 06.01.12 "," 1 "," 867 ",""
" January "," 13.01.12 "," 2 "," 1065 ",""
" January "," 20.01.12 "," 3 "," 1081 ",""
" January "," 27.01.12 "," 4 "," 973 ",""
" February "," 03.02.12 "," 5 "," 1028 ",""
" February "," 10.02.12 "," 6 "," 724 ",""
" February "," 17.02.12 "," 7 "," 760 ",""
" February "," 24.02.12 "," 8 "," 633 ",""
" March "," 02.03.12 "," 9 "," 652 ",""
" March "," 09.03.12 "," 10 "," 464 ",""
" March "," 16.03.12 "," 11 "," 516 ",""
" March "," 23.03.12 "," 12 "," 511 ",""
" March "," 30.03.12 "," 13 "," 485 ",""
" April "," 06.04.12 "," 14 "," 464 ",""
" April "," 13.04.12 "," 15 "," 323 ",""
" April "," 20.04.12 "," 16 "," 637 ",""
" April "," 27.04.12 "," 17 "," 604 ",""
" May "," 04.05.12 "," 18 "," 538 ",""
" May "," 11.05.12 "," 19 "," 515 ",""
" May "," 18.05.12 "," 20 "," 686 ",""
" May "," 25.05.12 "," 21 "," 811 ",""
" June "," 01.06.12 "," 22 "," 920 ",""
" June "," 08.06.12 "," 23 "," 1088 ",""
" June "," 15.06.12 "," 24 "," 1403 ",""
" June "," 22.06.12 "," 25 "," 1297 ",""
" June "," 29.06.12 "," 26 "," 1247 ",""
" July "," 06.07.12 "," 27 "," 1273 ",""
" July "," 13.07.12 "," 28 "," 1317 ",""
" July "," 20.07.12 "," 29 "," 1191 ",""
" July "," 27.07.12 "," 30 "," 1412 ",""
" August "," 03.08.12 "," 31 "," 1080 ",""
" August "," 10.08.12 "," 32 "," 1253 ",""
" August "," 17.08.12 "," 33 "," 1271 ",""
" August "," 24.08.12 "," 34 "," 1011 ",""
" August "," 31.08.12 "," 35 "," 651 ",""
" September "," 07.09.12 "," 36 "," 831 ",""
" September "," 14.09.12 "," 37 "," 684 ",""
" September "," 21.09.12 "," 38 "," 650 ",""
" September "," 28.09.12 "," 39 "," 692 ",""
" October "," 05.10.12 "," 40 "," 685 ",""
" October "," 12.10.12 "," 41 "," 818 ",""
" October "," 19.10.12 "," 42 "," 880 ",""
" October "," 26.10.12 "," 43 "," 798 ",""
" November "," 02.11.12 "," 44 "," 786 ",""
" November "," 09.11.12 "," 45 "," 878 ",""
" November "," 16.11.12 "," 46 "," 734 ",""
" November "," 23.11.12 "," 47 "," 807 ",""
" November "," 30.11.12 "," 48 "," 829 ",""
" December "," 07.12.12 "," 49 "," 1014 ",""
" December "," 14.12.12 "," 50 "," 1008 ",""
" December "," 21.12.12 "," 51 "," 938 ",""
" December "," 28.12.12 "," 52 "," 678 ",""
