"Month","Week Ending","Week","Cases"
" January "," 04.01.13 "," 1 "," 877 "," "
" January "," 11.01.13 "," 2 "," 860 "," "
" January "," 18.01.13 "," 3 "," 886 "," "
" January "," 25.01.13 "," 4 "," 839 "," "
" February "," 01.02.13 "," 5 "," 818 "," "
" February "," 08.02.13 "," 6 "," 813 "," "
" February "," 15.02.13 "," 7 "," 754 "," "
" February "," 22.02.13 "," 8 "," 871 "," "
" March "," 01.03.13 "," 9 "," 677 "," "
" March "," 08.03.13 "," 10 "," 742 "," "
" March "," 15.03.13 "," 11 "," 542 "," "
" March "," 22.03.13 "," 12 "," 627 "," "
" March "," 29.03.13 "," 13 "," 407 "," "
" April "," 05.04.13 "," 14 "," 619 "," "
" April "," 12.04.13 "," 15 "," 519 "," "
" April "," 19.04.13 "," 16 "," 449 "," "
" April "," 26.04.13 "," 17 "," 522 "," "
" May "," 03.05.13 "," 18 "," 564 "," "
" May "," 10.05.13 "," 19 "," 605 "," "
" May "," 17.05.13 "," 20 "," 517 "," "
" May "," 24.05.13 "," 21 "," 428 "," "
" May "," 31.05.13 "," 22 "," 500 "," "
" June "," 07.06.13 "," 23 "," 589 "," "
" June "," 14.06.13 "," 24 "," 597 "," "
" June "," 21.06.13 "," 25 "," 607 "," "
" June "," 28.06.13 "," 26 "," 634 "," "
" July "," 05.07.13 "," 27 "," 719 "," "
" July "," 12.07.13 "," 28 "," 720 "," "
" July "," 19.07.13 "," 29 "," 723 "," "
" July "," 26.07.13 "," 30 "," 762 "," "
" August "," 02.08.13 "," 31 "," 825 "," "
" August "," 09.08.13 "," 32 "," 645 "," "
" August "," 16.08.13 "," 33 "," 713 "," "
" August "," 23.08.13 "," 34 "," 584 "," "
" August "," 30.08.13 "," 35 "," 515 "," "
" September "," 06.09.13 "," 36 "," 594 "," "
" September "," 13.09.13 "," 37 "," 497 "," "
" September "," 20.09.13 "," 38 "," 390 "," "
" September "," 27.09.13 "," 39 "," 431 "," "
" October "," 04.10.13 "," 40 "," 384 "," "
" October "," 11.10.13 "," 41 "," 398 "," "
" October "," 18.10.13 "," 42 "," 326 "," "
" October "," 25.10.13 "," 43 "," 526 "," "
" November "," 01.11.13 "," 44 "," 378 "," "
" November "," 08.11.13 "," 45 "," 497 "," "
" November "," 15.11.13 "," 46 "," 469 "," "
" November "," 22.11.13 "," 47 "," 653 "," "
" November "," 29.11.13 "," 48 "," 614 "," "
" December "," 06.12.13 "," 49 "," 713 "," "
" December "," 13.12.13 "," 50 "," 686 "," "
" December "," 20.12.13 "," 51 "," 702 "," "
" December "," 27.12.13 "," 52 "," 729 "," "
