"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo "," 2734 "," 1900 "," 2467 "," 2570 "," 3333 "," 5372 "," 7471 "," 3620 "," 1251 "," 553 ","",""," 31271 "
"Gampaha "," 1635 "," 1087 "," 1870 "," 2072 "," 3168 "," 4901 "," 9039 "," 3553 "," 1246 "," 308 ","",""," 28879 "
"Kalutara "," 581 "," 448 "," 836 "," 739 "," 946 "," 1248 "," 2612 "," 1477 "," 663 "," 165 ","",""," 9715 "
"Kandy "," 252 "," 207 "," 369 "," 443 "," 862 "," 2314 "," 3855 "," 2354 "," 1072 "," 569 ","",""," 12297 "
"Matale "," 129 "," 103 "," 145 "," 120 "," 165 "," 436 "," 766 "," 534 "," 167 "," 105 ","",""," 2670 "
"N Eliya "," 50 "," 32 "," 42 "," 37 "," 57 "," 94 "," 294 "," 159 "," 39 "," 19 ","",""," 823 "
"Galle "," 872 "," 567 "," 424 "," 265 "," 394 "," 623 "," 1072 "," 877 "," 362 "," 62 ","",""," 5518 "
"Hambantota "," 301 "," 225 "," 339 "," 333 "," 272 "," 384 "," 529 "," 359 "," 237 "," 109 ","",""," 3088 "
"Matara "," 431 "," 382 "," 337 "," 354 "," 488 "," 581 "," 1789 "," 1029 "," 389 "," 86 ","",""," 5866 "
"Jaffna "," 625 "," 478 "," 863 "," 499 "," 301 "," 288 "," 376 "," 290 "," 341 "," 341 ","",""," 4402 "
"Kilinochchi "," 55 "," 84 "," 35 "," 46 "," 21 "," 21 "," 90 "," 59 "," 30 "," 12 ","",""," 453 "
"Mannar "," 147 "," 91 "," 65 "," 90 "," 60 "," 23 "," 23 "," 5 "," 3 "," 3 ","",""," 510 "
"Vavuniya "," 58 "," 76 "," 143 "," 83 "," 65 "," 81 "," 137 "," 92 "," 52 "," 19 ","",""," 806 "
"Mulativu "," 37 "," 32 "," 21 "," 16 "," 27 "," 37 "," 71 "," 41 "," 19 "," 10 ","",""," 311 "
"Batticaloa "," 217 "," 465 "," 828 "," 1182 "," 869 "," 465 "," 273 "," 197 "," 143 "," 80 ","",""," 4719 "
"Ampara "," 51 "," 51 "," 59 "," 72 "," 75 "," 105 "," 225 "," 100 "," 62 "," 22 ","",""," 822 "
"Trincomalee "," 387 "," 661 "," 2114 "," 936 "," 158 "," 136 "," 154 "," 99 "," 67 "," 28 ","",""," 4740 "
"Kurunegala "," 403 "," 381 "," 505 "," 629 "," 1281 "," 2030 "," 2300 "," 1487 "," 576 "," 185 ","",""," 9777 "
"Puttalam "," 196 "," 132 "," 212 "," 318 "," 612 "," 783 "," 1304 "," 1192 "," 419 "," 346 ","",""," 5514 "
"Apura "," 166 "," 147 "," 255 "," 193 "," 249 "," 378 "," 709 "," 291 "," 81 "," 27 ","",""," 2496 "
"Polonnaruwa "," 54 "," 64 "," 98 "," 172 "," 160 "," 190 "," 293 "," 76 "," 44 "," 22 ","",""," 1173 "
"Badulla "," 226 "," 130 "," 139 "," 167 "," 186 "," 400 "," 1220 "," 490 "," 273 "," 77 ","",""," 3308 "
"Moneragala "," 97 "," 97 "," 112 "," 126 "," 164 "," 449 "," 569 "," 348 "," 300 "," 196 ","",""," 2458 "
"Ratnapura "," 439 "," 360 "," 507 "," 519 "," 1161 "," 1908 "," 3175 "," 1638 "," 723 "," 170 ","",""," 10600 "
"Kegalle "," 210 "," 230 "," 377 "," 332 "," 700 "," 1945 "," 2551 "," 1684 "," 746 "," 147 ","",""," 8922 "
"Kalmunai "," 574 "," 294 "," 378 "," 197 "," 162 "," 127 "," 197 "," 151 "," 128 "," 84 ","",""," 2292 "
"TOTAL "," 10927 "," 8724 "," 13540 "," 12510 "," 15936 "," 25319 "," 41094 "," 22202 "," 9433 "," 3745 ","",""," 163430 "
