"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo "," 1159 "," 615 "," 84 ","","","","","","","","",""," 1858 "
"Gampaha "," 711 "," 398 "," 33 ","","","","","","","","",""," 1142 "
"Kalutara "," 431 "," 266 "," 17 ","","","","","","","","",""," 714 "
"Kandy "," 481 "," 271 "," 29 ","","","","","","","","",""," 781 "
"Matale "," 139 "," 69 "," 4 ","","","","","","","","",""," 212 "
"Nuwara Eliya "," 23 "," 16 "," 3 ","","","","","","","","",""," 42 "
"Galle "," 67 "," 30 "," 1 ","","","","","","","","",""," 98 "
"Hambantota "," 126 "," 120 "," 24 ","","","","","","","","",""," 270 "
"Matara "," 136 "," 119 "," 9 ","","","","","","","","",""," 264 "
"Jaffna "," 637 "," 310 "," 23 ","","","","","","","","",""," 970 "
"Kilinochchi "," 38 "," 28 "," 6 ","","","","","","","","",""," 72 "
"Mannar "," 12 "," 2 "," 3 ","","","","","","","","",""," 17 "
"Vavuniya "," 71 "," 46 "," 7 ","","","","","","","","",""," 124 "
"Mulativu "," 10 "," 2 "," 0 ","","","","","","","","",""," 12 "
"Batticaloa "," 598 "," 467 "," 35 ","","","","","","","","",""," 1100 "
"Ampara "," 24 "," 14 "," 0 ","","","","","","","","",""," 38 "
"Trincomalee "," 90 "," 74 "," 9 ","","","","","","","","",""," 173 "
"Kurunegala "," 505 "," 309 "," 42 ","","","","","","","","",""," 856 "
"Puttalam "," 537 "," 270 "," 27 ","","","","","","","","",""," 834 "
"Anuradhapura "," 107 "," 95 "," 6 ","","","","","","","","",""," 208 "
"Polonnaruwa "," 45 "," 20 "," 2 ","","","","","","","","",""," 67 "
"Badulla "," 74 "," 28 "," 1 ","","","","","","","","",""," 103 "
"Moneragala "," 185 "," 120 "," 24 ","","","","","","","","",""," 329 "
"Ratnapura "," 178 "," 155 "," 9 ","","","","","","","","",""," 342 "
"Kegalle "," 188 "," 113 "," 3 ","","","","","","","","",""," 304 "
"Kalmunai "," 573 "," 229 "," 31 ","","","","","","","","",""," 833 "
"TOTAL "," 7145 "," 4186 "," 432 ","","","","","","","","",""," 11763 "
