"Month","Week Ending","Week","Cases"
"",""," 0 ","",""
" January "," 05.01.2018 "," 1 "," 2020 ",""
" January "," 12.01.2018 "," 2 "," 1853 ",""
" January "," 19.01.2018 "," 3 "," 1718 ",""
" January "," 26.01.2018 "," 4 "," 1587 ",""
" February "," 02.02.2018 "," 5 "," 1268 ",""
" February "," 09.02.2018 "," 6 "," 1162 ",""
" February "," 16.02.2018 "," 7 "," 989 ",""
" February "," 23.02.2018 "," 8 "," 969 ",""
" March "," 02.03.2018 "," 9 "," 749 ",""
" March "," 09.03.2018 "," 10 "," 706 ",""
" March "," 16.03.2018 "," 11 "," 635 ",""
" March "," 23.03.2018 "," 12 "," 655 ",""
" March "," 30.03.2018 "," 13 "," 485 ",""
" April "," 06.04.2018 "," 14 "," 515 ",""
" April "," 14.04.2018 "," 15 "," 223 ",""
