"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo","1802","1101","537","317","515","515","907","711","401","769","985","1321","9881"
"Gampaha","817","492","255","193","264","225","317","233","186","277","387","496","4142"
"Kalutara","276","180","106","72","86","78","125","92","57","118","167","202","1559"
"Kandy","253","156","95","63","71","70","64","47","62","154","120","170","1325"
"Matale","166","92","26","16","10","16","8","7","8","12","18","22","401"
"N Eliya","38","26","13","5","8","8","15","5","6","15","14","27","180"
"Galle","150","118","70","35","26","20","46","80","75","131","151","128","1030"
"Hambantota","46","51","28","18","12","11","26","27","17","61","56","45","398"
"Matara","81","46","41","28","25","12","21","24","24","72","43","42","459"
"Jaffna","614","218","113","48","66","63","69","45","51","76","216","437","2016"
"Kilinochchi","18","11","3","0","2","4","9","7","7","14","11","6","92"
"Mannar","50","16","2","1","4","2","1","1","2","2","4","20","105"
"Vavuniya","32","15","8","4","15","9","5","4","11","19","16","59","197"
"Mulativu","36","17","8","10","12","14","13","7","2","2","6","15","142"
"Batticaloa","335","347","210","124","139","82","65","18","8","31","40","75","1474"
"Ampara","10","5","6","0","5","9","4","6","5","3","3","11","67"
"Trincomalee","131","96","59","81","65","39","30","9","8","6","15","48","587"
"Kurunegala","329","178","108","73","62","61","82","70","27","56","107","100","1253"
"Puttalam","256","85","34","20","32","42","65","14","12","23","77","79","739"
"Apura","122","78","27","18","12","15","18","13","14","12","29","43","401"
"Polonnaruwa","47","48","13","9","12","9","18","12","8","21","25","28","250"
"Badulla","195","60","30","31","22","30","33","19","10","35","54","47","566"
"Moneragala","46","29","15","7","7","18","16","14","2","16","23","30","223"
"Ratnapura","163","122","90","59","70","68","105","74","46","64","93","87","1041"
"Kegalle","104","57","36","40","54","38","50","49","36","70","80","97","711"
"Kalmunai","228","87","29","21","29","19","13","16","14","7","22","53","538"
"TOTAL","6345","3731","1962","1293","1625","1477","2125","1604","1099","2066","2762","3688","29777"
""
