"Month","Week Ending","Week","Cases"
"January","06.01.2017","1","2774"
"January","13.01.2017","2","2594"
"January","20.01.2017","3","2925"
"January","27.01.2017","4","2634"
"February","03.02.2017","5","2417"
"February","10.02.2017","6","2125"
"February","17.02.2017","7","2350"
"February","24.02.2017","8","1832"
"March","03.03.2017","9","2396"
"March","10.03.2017","10","2695"
"March","17.03.2017","11","2583"
"March","24.03.2017","12","2971"
"March","31.03.2017","13","2895"
"April","07.04.2017","14","2957"
"April","14.04.2017","15","1991"
"April","21.04.2017","16","3992"
"April","28.04.2017","17","3570"
"May","05.05.2017","18","3808"
"May","12.05.2017","19","3230"
"May","19.05.2017","20","4662"
"May","26.05.2017","21","4236"
"June","02.06.2017","22","4192"
"June","09.06.2017","23","4438"
"June","16.06.2017","24","4709"
"June","23.06.2017","25","6292"
"June","30.06.2017","26","5688"
"July","07.07.2017","27","10064"
"July","14.07.2017","28","10213"
"July","21.07.2017","29","10699"
"July","28.07.2017","30","10145"
"August","04.08.2017","31","7926"
"August","11.08.2017","32","5930"
"August","18.08.2017","33","5042"
"August","25.08.2017","34","3372"
"September","01.09.2017","35","2496"
"September","08.09.2018","36","2057"
"September","15.09.2017","37","1875"
"September","22.09.2017","38","1588"
"September","29.09.2017","39","1498"
"October","06.10.2017","40","1508"
"October","13.10.2017","41","1680"
"October","20.10.2017","42","1526"
"October","27.10.2017","43","1880"
"November","03.11.2017","44","1863"
"November","10.11.2017","45","2505"
"November","17.11.2017","46","2227"
"November","24.11.2017","47","2219"
"December","01.12.2017","48","1948"
"December","08.12.2017","49","2520"
"December","15.12.2017","50","2204"
"December","22.12.2017","51","1913"
"December","29.12.2017","52","1341"
""
