"year","area","city","town","week","cases"
1998,"Southern","Tainan City","Anding District",1,"0"
1998,"Southern","Tainan City","Anding District",2,"0"
1998,"Southern","Tainan City","Anding District",3,"0"
1998,"Southern","Tainan City","Anding District",4,"0"
1998,"Southern","Tainan City","Anding District",5,"0"
1998,"Southern","Tainan City","Anding District",6,"0"
1998,"Southern","Tainan City","Anding District",7,"0"
1998,"Southern","Tainan City","Anding District",8,"0"
1998,"Southern","Tainan City","Anding District",9,"0"
1998,"Southern","Tainan City","Anding District",10,"0"
1998,"Southern","Tainan City","Anding District",11,"0"
1998,"Southern","Tainan City","Anding District",12,"0"
1998,"Southern","Tainan City","Anding District",13,"0"
1998,"Southern","Tainan City","Anding District",14,"0"
1998,"Southern","Tainan City","Anding District",15,"0"
1998,"Southern","Tainan City","Anding District",16,"0"
1998,"Southern","Tainan City","Anding District",17,"0"
1998,"Southern","Tainan City","Anding District",18,"0"
1998,"Southern","Tainan City","Anding District",19,"0"
1998,"Southern","Tainan City","Anding District",20,"0"
1998,"Southern","Tainan City","Anding District",21,"0"
1998,"Southern","Tainan City","Anding District",22,"0"
1998,"Southern","Tainan City","Anding District",23,"0"
1998,"Southern","Tainan City","Anding District",24,"0"
1998,"Southern","Tainan City","Anding District",25,"0"
1998,"Southern","Tainan City","Anding District",26,"0"
1998,"Southern","Tainan City","Anding District",27,"0"
1998,"Southern","Tainan City","Anding District",28,"0"
1998,"Southern","Tainan City","Anding District",29,"0"
1998,"Southern","Tainan City","Anding District",30,"0"
1998,"Southern","Tainan City","Anding District",31,"0"
1998,"Southern","Tainan City","Anding District",32,"0"
1998,"Southern","Tainan City","Anding District",33,"0"
1998,"Southern","Tainan City","Anding District",34,"0"
1998,"Southern","Tainan City","Anding District",35,"0"
1998,"Southern","Tainan City","Anding District",36,"0"
1998,"Southern","Tainan City","Anding District",37,"0"
1998,"Southern","Tainan City","Anding District",38,"0"
1998,"Southern","Tainan City","Anding District",39,"0"
1998,"Southern","Tainan City","Anding District",40,"0"
1998,"Southern","Tainan City","Anding District",41,"0"
1998,"Southern","Tainan City","Anding District",42,"0"
1998,"Southern","Tainan City","Anding District",43,"0"
1998,"Southern","Tainan City","Anding District",44,"0"
1998,"Southern","Tainan City","Anding District",45,"0"
1998,"Southern","Tainan City","Anding District",46,"0"
1998,"Southern","Tainan City","Anding District",47,"0"
1998,"Southern","Tainan City","Anding District",48,"0"
1998,"Southern","Tainan City","Anding District",49,"0"
1998,"Southern","Tainan City","Anding District",50,"0"
1998,"Southern","Tainan City","Anding District",51,"0"
1998,"Southern","Tainan City","Anding District",52,"0"
1998,"Southern","Tainan City","Anding District",53,"0"
1999,"Southern","Tainan City","Anding District",1,"0"
1999,"Southern","Tainan City","Anding District",2,"0"
1999,"Southern","Tainan City","Anding District",3,"0"
1999,"Southern","Tainan City","Anding District",4,"0"
1999,"Southern","Tainan City","Anding District",5,"0"
1999,"Southern","Tainan City","Anding District",6,"0"
1999,"Southern","Tainan City","Anding District",7,"0"
1999,"Southern","Tainan City","Anding District",8,"0"
1999,"Southern","Tainan City","Anding District",9,"0"
1999,"Southern","Tainan City","Anding District",10,"0"
1999,"Southern","Tainan City","Anding District",11,"0"
1999,"Southern","Tainan City","Anding District",12,"0"
1999,"Southern","Tainan City","Anding District",13,"0"
1999,"Southern","Tainan City","Anding District",14,"0"
1999,"Southern","Tainan City","Anding District",15,"0"
1999,"Southern","Tainan City","Anding District",16,"0"
1999,"Southern","Tainan City","Anding District",17,"0"
1999,"Southern","Tainan City","Anding District",18,"0"
1999,"Southern","Tainan City","Anding District",19,"0"
1999,"Southern","Tainan City","Anding District",20,"0"
1999,"Southern","Tainan City","Anding District",21,"0"
1999,"Southern","Tainan City","Anding District",22,"0"
1999,"Southern","Tainan City","Anding District",23,"0"
1999,"Southern","Tainan City","Anding District",24,"0"
1999,"Southern","Tainan City","Anding District",25,"0"
1999,"Southern","Tainan City","Anding District",26,"0"
1999,"Southern","Tainan City","Anding District",27,"0"
1999,"Southern","Tainan City","Anding District",28,"0"
1999,"Southern","Tainan City","Anding District",29,"0"
1999,"Southern","Tainan City","Anding District",30,"0"
1999,"Southern","Tainan City","Anding District",31,"0"
1999,"Southern","Tainan City","Anding District",32,"0"
1999,"Southern","Tainan City","Anding District",33,"0"
1999,"Southern","Tainan City","Anding District",34,"0"
1999,"Southern","Tainan City","Anding District",35,"0"
1999,"Southern","Tainan City","Anding District",36,"0"
1999,"Southern","Tainan City","Anding District",37,"0"
1999,"Southern","Tainan City","Anding District",38,"0"
1999,"Southern","Tainan City","Anding District",39,"0"
