"year","area","city","town","week","cases"
1998,"Taipei","Keelung City","Anle District",1,"0"
1998,"Taipei","Keelung City","Anle District",2,"0"
1998,"Taipei","Keelung City","Anle District",3,"0"
1998,"Taipei","Keelung City","Anle District",4,"0"
1998,"Taipei","Keelung City","Anle District",5,"0"
1998,"Taipei","Keelung City","Anle District",6,"0"
1998,"Taipei","Keelung City","Anle District",7,"0"
1998,"Taipei","Keelung City","Anle District",8,"0"
1998,"Taipei","Keelung City","Anle District",9,"0"
1998,"Taipei","Keelung City","Anle District",10,"0"
1998,"Taipei","Keelung City","Anle District",11,"0"
1998,"Taipei","Keelung City","Anle District",12,"0"
1998,"Taipei","Keelung City","Anle District",13,"0"
1998,"Taipei","Keelung City","Anle District",14,"0"
1998,"Taipei","Keelung City","Anle District",15,"0"
1998,"Taipei","Keelung City","Anle District",16,"0"
1998,"Taipei","Keelung City","Anle District",17,"0"
1998,"Taipei","Keelung City","Anle District",18,"0"
1998,"Taipei","Keelung City","Anle District",19,"0"
1998,"Taipei","Keelung City","Anle District",20,"0"
1998,"Taipei","Keelung City","Anle District",21,"0"
1998,"Taipei","Keelung City","Anle District",22,"0"
1998,"Taipei","Keelung City","Anle District",23,"0"
1998,"Taipei","Keelung City","Anle District",24,"0"
1998,"Taipei","Keelung City","Anle District",25,"0"
1998,"Taipei","Keelung City","Anle District",26,"0"
1998,"Taipei","Keelung City","Anle District",27,"0"
1998,"Taipei","Keelung City","Anle District",28,"0"
1998,"Taipei","Keelung City","Anle District",29,"0"
1998,"Taipei","Keelung City","Anle District",30,"0"
1998,"Taipei","Keelung City","Anle District",31,"0"
1998,"Taipei","Keelung City","Anle District",32,"0"
1998,"Taipei","Keelung City","Anle District",33,"0"
1998,"Taipei","Keelung City","Anle District",34,"0"
1998,"Taipei","Keelung City","Anle District",35,"0"
1998,"Taipei","Keelung City","Anle District",36,"0"
1998,"Taipei","Keelung City","Anle District",37,"0"
1998,"Taipei","Keelung City","Anle District",38,"0"
1998,"Taipei","Keelung City","Anle District",39,"0"
1998,"Taipei","Keelung City","Anle District",40,"0"
